Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Lande,Reference
4d5.(6S).5s,a 7S,3,7,,0.00,,2.02,L3466
4d6,a 5D,4,9,,3461.27,,1.47,
4d6,a 5D,3,7,,4217.17,,1.50,
4d6,a 5D,2,5,,4669.22,,1.52,
4d6,a 5D,1,3,,4961.14,,1.56,
4d6,a 5D,0,1,,5100.98,,0,
4d5.(6S).5s,a 5S,2,5,,12617.20,,2.04,
4d5.(5G).5s,a 5G,2,5,,23838.39,+x,0.37,
4d5.(5G).5s,a 5G,3,7,,23917.17,+x,0.89,
4d5.(5G).5s,a 5G,4,9,,23978.65,+x,1.15,
4d5.(5G).5s,a 5G,6,13,,24000.00,+x,1.32,
4d5.(5G).5s,a 5G,5,11,,24024.88,+x,1.30,
4d5.(6S).5p,z 7P*,2,5,,37767.21,,2.36,
4d5.(6S).5p,z 7P*,3,7,,38302.80,,1.88,
4d5.(6S).5p,z 7P*,4,9,,39308.38,,1.78,
4d5.(6S).5p,z 5P*,3,7,,43500.96,,1.65,
4d5.(6S).5p,z 5P*,2,5,,43741.33,,1.86,
4d5.(6S).5p,z 5P*,1,3,,43905.00,,2.50,
4d5.(4G).5p,z 5G*,2,5,,59034.69,+x,0.42,
4d5.(4G).5p,z 5G*,3,7,,59227.75,+x,0.90,
4d5.(4G).5p,z 5G*,4,9,,59412.20,+x,1.16,
4d5.(4G).5p,z 5G*,5,11,,59581.18,+x,1.26,
4d5.(4G).5p,z 5G*,6,13,,59757.65,+x,1.36,
4d5.(4G).5p,z 5H*,3,7,,60535.64,+x,0.54,
4d5.(4G).5p,z 5H*,4,9,,60594.78,+x,0.97,
4d5.(4G).5p,z 5H*,5,11,,61243.52,+x,,
4d5.(4G).5p,z 5H*,6,13,,61716.05,+x,1.24,
4d5.(4G).5p,z 5H*,7,15,,61940.66,+x,1.31,
4d5.(4G).5p,z 5F*,1,3,,60707.68,+x,0.04,
4d5.(4G).5p,z 5F*,2,5,,61029.24,+x,,
4d5.(4G).5p,z 5F*,3,7,,61347.68,+x,1.15,
4d5.(4G).5p,z 5F*,4,9,,61419.15,+x,1.34,
4d5.(4G).5p,z 5F*,5,11,,61803.08,+x,1.41,
Tc III (4d5 6S<5/2>),Limit,---,,[,123100,],,"L3466,L17503"
