Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d4.(5D).6s,6D,1/2,2,,0.000,,0.0006,3.186,  80                                 :     8  5d4.(3P2).6s         4P   ,L12177
5d4.(5D).6s,6D,3/2,4,,1518.829,,0.0008,1.839,  90                                 :     4  5d4.(3P1).6s         4P   ,L12177
5d4.(5D).6s,6D,5/2,6,,3172.473,,0.0010,1.639,  95                                 :     1  5d4.(3P1).6s         4P   ,L12177
5d4.(5D).6s,6D,7/2,8,,4716.278,,0.0010,1.563,  94                                 :     2  5d4.(3F2).6s         4F   ,L12177
5d4.(5D).6s,6D,9/2,10,,6147.085,,0.0010,1.522,  88                                 :     7  5d4.(3F2).6s         4F   ,L12177
5d5,6S,5/2,6,,7420.261,,0.0010,1.913,  81                                 :    11  5d5                  4P   ,L12177
5d3.6s2,4F,3/2,4,,8711.274,,0.0011,0.624,  54                                 :    12  5d4.(3F2).6s         4F   ,L12177
5d3.6s2,4F,5/2,6,,11301.024,,0.0011,1.084,  55                                 :    19  5d4.(3F2).6s         4F   ,L12177
5d3.6s2,4F,7/2,8,,13411.939,,0.0011,1.186,  40                                 :    26  5d4.(3F2).6s         4F   ,L12177
,,1/2,2,,8832.728,,0.0014,2.383,  30  5d4.(3P2).6s 4P                :    16  5d4.(5D).6s          6D   ,L12177
,,3/2,4,,10592.485,,0.0011,1.471,  29  5d4.(3P2).6s 4P                :    17  5d3.6s2              4P   ,L12177
5d4.(5D).6s,4D,1/2,2,,13173.337,,0.0010,0.455,  62                                 :    10  5d5                  4D   ,L12177
5d4.(5D).6s,4D,3/2,4,,14634.336,,0.0010,1.183,  55                                 :    15  5d5                  4D   ,L12177
,,5/2,6,,13434.070,,0.0011,1.526,  25  5d4.(3P2).6s 4P                :    15  5d3.6s2              4P   ,L12177
,,9/2,10,,14857.160,,0.0012,1.234,  24  5d4.(3F2).6s 4F                :    22  5d3.6s2              4F   ,L12177
,,5/2,6,,14967.745,,0.0011,1.013,  25  5d4.(5D).6s 4D                 :    18  5d4.(3G).6s          4G   ,L12177
5d4.(3H).6s,4H,7/2,8,,15146.977,,0.0012,0.872,  46                                 :    12  5d3.6s2              4F   ,L12177
5d4.(3H).6s,4H,9/2,10,,16553.087,,0.0013,1.137,  39                                 :    20  5d3.6s2              4F   ,L12177
5d4.(3H).6s,4H,11/2,12,,17436.932,,0.0013,1.181,  53                                 :    32  5d4.(3G).6s          4G   ,L12177
5d4.(3H).6s,4H,13/2,14,,19442.466,,0.002,,  90                                 :    10  5d4.(1I).6s          2I   ,L12177
,,5/2,6,,16234.715,,0.0013,0.995,  28  5d4.(3G).6s 4G                 :    18  5d5                  4G   ,L12177
,,7/2,8,,16589.603,,0.0011,1.153,  22  5d4.(5D).6s 4D                 :    19  5d4.(3G).6s          4G   ,L12177
,,7/2,8,,18000.627,,0.0012,1.098,  20  5d4.(3G).6s 4G                 :    19  5d4.(3H).6s          4H   ,L12177
,,3/2,4,,18990.929,,0.003,0.90,  19  5d3.6s2 2D2                    :    11  5d4.(3D).6s          2D   ,L12177
,,9/2,10,,19070.550,,0.0013,1.102,  26  5d4.(3G).6s 4G                 :    24  5d5                  4G   ,L12177
,,5/2,6,,19276.431,,0.002,0.997,  19  5d4.(3F2).6s 2F                :    12  5d4.(3D).6s          4D   ,L12177
,,1/2,2,,19403.991,,0.003,0.64,  21  5d4.(3D).6s 4D                 :    21  5d4.(3P2).6s         2P   ,L12177
,,5/2,6,,19637.309,,0.002,1.102,  12  5d4.(3D).6s 2D                 :    11  5d3.6s2              4F   ,L12177
,,7/2,8,,20039.682,,0.002,1.107,  20  5d4.(3D).6s 4D                 :    17  5d4.(3H).6s          4H   ,L12177
5d4.(3F2).6s,4F,3/2,4,,20455.888,,0.002,0.51,  38                                 :    21  5d3.6s2              4F   ,L12177
5d4.(3F2).6s,4F,5/2,6,,22139.861,,0.002,1.06,  38                                 :    18  5d4.(3F1).6s         4F   ,L12177
,,11/2,12,,20534.191,,0.0014,1.197,  39  5d4.(3H).6s 4H                 :    39  5d5                  4G   ,L12177
,,9/2,10,,20780.358,,0.002,1.065,  32  5d4.(3H).6s 4H                 :    14  5d3.6s2              2G   ,L12177
,,7/2,8,,22194.031,,0.002,1.119,  33  5d3.6s2 2G                     :    21  5d4.(3D).6s          4D   ,L12177
5d4.(3D).6s,4D,3/2,4,,22502.951,,0.003,1.22,  41                                 :    18  5d5                  4D   ,L12177
5d4.(3D).6s,4D,5/2,6,,23450.418,,0.002,1.297,  41                                 :    26  5d4.(5D).6s          4D   ,L12177
5d4.(3D).6s,4D,1/2,2,,25045.238,,0.004,0.32,  41                                 :    20  5d4.(5D).6s          4D   ,L12177
,,1/2,2,,22535.610,,0.004,2.2,  29  5d3.6s2 4P                     :    19  5d4.(3P1).6s         4P   ,L12177
,,7/2,8,,23046.724,,0.002,0.86,  21  5d4.(3G).6s 2G                 :    17  5d3.6s2              4F   ,L12177
,,9/2,10,,23234.778,,0.002,1.249,  28  5d4.(3G).6s 2G                 :    28  5d4.(3H).6s          2H   ,L12177
,,7/2,8,,23803.702,,0.002,,  19  5d5 4G                         :    17  5d5                  2F1  ,L12177
,,11/2,12,,23955.349,,0.0014,1.10,  39  5d4.(3H).6s 2H                 :    18  5d3.6s2              2H   ,L12177
,,7/2,8,,24804.612,,0.002,1.10,  13  5d4.(3F2).6s 2F                :    11  5d4.(3D).6s          4D   ,L12177
,,3/2,4,,24991.591,,0.005,0.9,  20  5d5 2D3                        :    18  5d4.(3D).6s          2D   ,L12177
,,3/2,4,,25169.877,,0.003,1.64,  30  5d4.(3P1).6s 4P                :    24  5d5                  4P   ,L12177
,,9/2,10,,25209.233,,0.002,,  27  5d3.6s2 4F                     :    25  5d3.6s2              2H   ,L12177
,,5/2,6,,25672.099,,0.003,0.9,  23  5d5 4G                         :    14  5d4.(3G).6s          4G   ,L12177
5d5,4G,9/2,10,,26158.581,,0.002,,  49                                 :    21  5d4.(3G).6s          4G   ,L12177
,,5/2,6,,26226.897,,0.003,1.04,  28  5d5 4G                         :    13  5d5                  4P   ,L12177
5d5,4P,1/2,2,,26526.710,,0.009,,  39                                 :    19  5d5                  2S   ,L12177
5d4.(1I).6s,2I,11/2,12,,26929.008,,0.002,,  50                                 :    21  5d5                  2I   ,L12177
5d4.(1I).6s,2I,13/2,14,,28187.578,,0.002,,  75                                 :    16  5d5                  2I   ,L12177
,,7/2,8,,27273.753,,0.002,,  31  5d5 4G                         :    23  5d4.(3G).6s          4G   ,L12177
5d4.(3P1).6s,4P,5/2,6,,28118.836,,0.004,,  40                                 :    10  5d3.6s2              4P   ,L12177
,,11/2,12,,28377.585,,0.002,,  37  5d5 4G                         :    31  5d4.(3G).6s          4G   ,L12177
,,3/2,4,,28490.920,,0.004,,  19  5d4.(1D2).6s 2D                :    19  5d3.6s2              2P   ,L12177
,,7/2,8,,28631.688,,0.002,,  15  5d5 4D                         :    14  5d4.(3F2).6s         2F   ,L12177
,,9/2,10,,29341.426,,0.003,,  22  5d4.(3F2).6s 4F                :    21  5d5                  2G2  ,L12177
,,3/2,4,,30223.744,,0.005,,  20  5d3.6s2 4P                     :    16  5d5                  4P   ,L12177
,,5/2,6,,30618.045,,0.004,,  20  5d4.(1F).6s 2F                 :    18  5d4.(3F2).6s         2F   ,L12177
,,9/2,10,,30632.927,,0.002,,  27  5d4.(3H).6s 2H                 :    17  5d3.6s2              2H   ,L12177
5d5,2I,11/2,12,,31100.286,,0.002,,  56                                 :    26  5d4.(1I).6s          2I   ,L12177
5d5,2I,13/2,14,,31347.087,,0.003,,  84                                 :    15  5d4.(1I).6s          2I   ,L12177
,,7/2,8,,31446.928,,0.003,,  29  5d5 4F                         :    15  5d5                  4D   ,L12177
,,5/2,6,,31538.785,,0.004,,  20  5d5 4D                         :    14  5d5                  4F   ,L12177
,,3/2,4,,32486.525,,0.007,,  29  5d5 4D                         :    16  5d4.(3D).6s          4D   ,L12177
,,3/2,4,,32950.226,,0.007,,  21  5d4.(3F1).6s 4F                :    18  5d5                  4F   ,L12177
,,7/2,8,,32950.460,,0.003,,  21  5d4.(1G1).6s 2G                :    16  5d4.(3G).6s          2G   ,L12177
,,11/2,12,,33910.548,,0.003,,  44  5d4.(3H).6s 2H                 :    40  5d3.6s2              2H   ,L12177
5d5,4F,9/2,10,,34090.867,,0.003,,  38                                 :    12  5d4.(3H).6s          2H   ,L12177
,,5/2,6,,34447.663,,0.008,,  15  5d5 4F                         :    15  5d5                  4D   ,L12177
,,7/2,8,,35315.585,,0.005,,  32  5d4.(1F).6s 2F                 :    17  5d4.(3F2).6s         2F   ,L12177
,,9/2,10,,35826.644,,0.005,,  24  5d4.(3F1).6s 4F                :    16  5d5                  2H   ,L12177
,,5/2,6,,35925.336,,0.007,,  31  5d5 4F                         :    18  5d4.(3D).6s          2D   ,L12177
,,1/2,2,,36165.356,,0.0008,0.678,  17  5d4.(5D).6p 6F*                :    10  5d4.(3P1).6p         4D*  ,L12177
,,7/2,8,,37312.218,,0.007,,  20  5d5 4F                         :    14  5d4.(3F1).6s         4F   ,L12177
5d3.(4F).6s.(5F).6p,6G*,3/2,4,,37971.528,,0.002,,  79                                 :     5  5d3.(4F).6s.(5F).6p  4F*  ,L12177
5d3.(4F).6s.(5F).6p,6G*,5/2,6,,39936.842,,0.0010,0.889,  82                                 :     5  5d3.(4F).6s.(5F).6p  4F*  ,L12177
5d3.(4F).6s.(5F).6p,6G*,7/2,8,,42390.287,,0.0010,1.161,  73                                 :     4  5d4.(5D).6p          6F*  ,L12177
5d3.(4F).6s.(5F).6p,6G*,9/2,10,,46493.356,,0.0011,1.311,  53                                 :     8  5d4.(5D).6p          4F*  ,L12177
5d3.(4F).6s.(5F).6p,6G*,11/2,12,,48332.758,,0.0013,,  50                                 :    12  5d3.(4F).6s.(5F).6p  6F*  ,L12177
5d3.(4F).6s.(5F).6p,6G*,13/2,14,,53641.254,,0.004,,  87                                 :    11  5d3.(2G).6s.(3G).6p  4H*  ,L12177
,,1/2,2,,38576.313,,0.0010,1.614,  21  5d4.(5D).6p 4P*                :    17  5d4.(5D).6p          6F*  ,L12177
5d4.(5D).6p,6F*,3/2,4,,39129.460,,0.0008,1.147,  34                                 :    12  5d3.(4F).6s.(5F).6p  4D*  ,L12177
5d4.(5D).6p,6F*,5/2,6,,42049.478,,0.0010,1.292,  45                                 :    11  5d3.(4F).6s.(5F).6p  6F*  ,L12177
5d4.(5D).6p,6F*,7/2,8,,44877.209,,0.0011,1.277,  44                                 :    15  5d3.(4F).6s.(5F).6p  6G*  ,L12177
5d4.(5D).6p,6F*,1/2,2,,45457.066,,0.003,0.519,  32                                 :    10  5d3.(4F).6s.(5F).6p  6F*  ,L12177
5d4.(5D).6p,6F*,9/2,10,,50863.106,,0.0013,1.194,  31                                 :     9  5d4.(3G).6p          4H*  ,L12177
5d4.(5D).6p,6F*,11/2,12,,54229.082,,0.004,,  35                                 :    17  5d3.(4F).6s.(5F).6p  6F*  ,L12177
,,9/2,10,,41583.988,,0.005,,  22  5d5 2G2                        :    20  5d4.(3G).6s          2G   ,L12177
,,3/2,4,,42298.223,,0.0011,1.498,  23  5d4.(5D).6p 6D*                :    17  5d4.(5D).6p          4P*  ,L12177
