Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f5.(6H*).5d.6s?,*,5/2,6,,21813.61,,,0.255,                                ,
4f6.(7F).6p?,*,3/2,4,,21904.12,,,1.81,                                ,
4f5.(6H*).5d.6s?,*,5/2,6,,22039.98,,,0.70,                                ,
4f6.(7F).6p?,*,5/2,6,,22248.32,,,1.360,                                ,
4f6.(7F).6p?,*,5/2,6,,22429.49,,,1.30,                                ,
4f5.(6H*).5d.6s?,*,7/2,8,,22788.68,,,1.045,                                ,
4f6.(7F).6p?,*,7/2,8,,22875.41,,,1.46,                                ,
4f6.(7F).6p?,*,3/2,4,,23177.49,,,0.70,                                ,
4f6.(7F).6p?,*,7/2,8,,23260.95,,,1.355,                                ,
,*,5/2,6,,23321.24,,,0.37,                                ,
,*,1/2,2,,23352.41,,,-0.505,                                ,
4f6.(7F).6p?,*,9/2,10,,23646.90,,,1.35,                                ,
,*,1/2,2,,23659.99,,,0.235,                                ,
4f5.(6H*).5d.6s?,*,9/2,10,,23752.70,,,1.32,                                ,
4f6.(7F).6p?,*,5/2,6,,23842.20,,,1.125,                                ,
4f6.(7F).6p?,*,3/2,4,,23962.25,,,1.25,                                ,
,*,3/2,4,,24013.56,,,0.83,                                ,
,*,5/2,6,,24194.38,,,0.275,                                ,
,*,1/2,2,,24221.81,,,2.41,                                ,
4f6.(7F).6p?,*,9/2,10,,24257.37,,,1.445,                                ,
,*,7/2,8,,24358.12,,,0.75,                                ,
4f6.(7F).6p?,*,3/2,4,,24429.52,,,1.030,                                ,
4f6.(7F).6p?,*,5/2,6,,24582.59,,,1.29,                                ,
4f6.(7F).6p?,*,11/2,12,,24588.00,,,1.39,                                ,
,*,3/2,4,,24685.53,,,0.360,                                ,
4f6.(7F).6p?,*,7/2,8,,24689.84,,,1.41,                                ,
4f5.(6H*).5d.6s?,*,11/2,12,,24816.28,,,1.36,                                ,
,*,5/2,6,,24848.47,,,1.08,                                ,
,*,7/2,8,,24897.91,,,0.835,                                ,
4f5.(6H*).5d.6s?,*,1/2,2,,24919.90,,,-0.85,                                ,
4f6.(7F).6p?,*,5/2,6,,24928.80,,,1.220,                                ,
,*,3/2,4,,25055.54,,,1.21,                                ,
,8F*,1/2,2,,25115.55,,,3.52,                                ,
,*,5/2,6,,25175.32,,,0.945,                                ,
4f5.(6H*).5d.6s?,*,3/2,4,,25178.45,,,0.98,                                ,
4f6.(7F).6p?,*,7/2,8,,25304.09,,,1.26,                                ,
,*,9/2,10,,25336.52,,,1.010,                                ,
4f6.(7F).6p?,*,3/2,4,,25361.45,,,1.49,                                ,
4f6.(7F).6p?,*,11/2,12,,25385.36,,,1.49,                                ,
,*,5/2,6,,25417.14,,,0.82,                                ,
,*,5/2,6,,25546.03,,,0.77,                                ,
,*,3/2,4,,25552.80,,,1.86,                                ,
4f6.(7F).6p?,*,7/2,8,,25565.97,,,1.33,                                ,
4f6.(7F).6p?,*,9/2,10,,25597.70,,,1.535,                                ,
4f6.(7F).6p?,*,13/2,14,,25664.97,,,1.415,                                ,
,*,7/2,8,,25790.15,,,1.25,                                ,
4f5.(6H*).5d.6s?,*,13/2,14,,25939.87,,,1.405,                                ,
4f5.(6H*).5d.6s?,*,5/2,6,,25980.32,,,1.33,                                ,
4f6.(7F).6p?,*,9/2,10,,26046.35,,,1.34,                                ,
,*,7/2,8,,26086.63,,,1.30,                                ,
,*,7/2,8,,26159.60,,,1.28,                                ,
,*,5/2,6,,26190.92,,,1.32:,                                ,
,*,5/2,6,,26214.05,,,0.645:,                                ,
,8F*,1/2,2,,26253.55,,,3.59,                                ,
,*,5/2,6,,26357.90,,,1.20,                                ,
,*,11/2,12,,26413.29,,,1.15,                                ,
,8G*,1/2,2,,26442.18,,,-1.21,                                ,
,*,3/2,4,,26484.66,,,0.25,                                ,
4f6.(7F).6p?,*,11/2,12,,26505.53,,,1.535,                                ,
,*,7/2,8,,26509.67,,,0.835,                                ,
4f6.(7F).6p?,*,13/2,14,,26540.12,,,1.51,                                ,
4f6.(7F).6p?,*,9/2,10,,26565.61,,,1.28,                                ,
,*,3/2,4,,26599.08,,,1.630,                                ,
4f5.5d.6s?,8G*,1/2,2,,26690.30,,,-1.100,                                ,
,*,3/2,4,,26723.87,,,1.05,                                ,
,*,7/2,8,,26771.62,,,0.785,                                ,
4f5.5d.6s?,*,9/2,10,,26820.81,,,1.415,                                ,
4f6.(7F).6p?,*,11/2,12,,26828.29,,,1.315,                                ,
,*,11/2,12,,26880.60,,,1.29,                                ,
4f5.5d.6s?,*,15/2,16,,26889.18,,,1.395,                                ,
,*,7/2,8,,26938.42,,,1.50,                                ,
,*,5/2,6,,26974.67,,,0.980,                                ,
,*,9/2,10,,27001.20,,,1.32,                                ,
4f5.5d.6s?,*,3/2,4,,27063.30,,,0.860,                                ,
,*,5/2,6,,27078.30,,,0.84,                                ,
,*,7/2,8,,27107.62,,,1.11,                                ,
,*,5/2,6,,27165.35,,,0.92,                                ,
4f6.(7F).6p?,*,7/2,8,,27188.30,,,1.20,                                ,
,*,1/2,2,,27210.12,,,-0.485,                                ,
4f6.(7F).6p?,*,15/2,16,,27263.25,,,1.445,                                ,
,*,5/2,6,,27284.69,,,1.47,                                ,
4f5.5d.6s?,*,9/2,10,,27309.73,,,1.335,                                ,
,*,9/2,10,,27386.69,,,1.060,                                ,
4f6.(7F).6p?,*,7/2,8,,27464.20,,,1.206,                                ,
