Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,143,5,11,,44947.15,,,,                                                        ,
,144,4,9,,46032.03,,,1.418:,                                                        ,
,145,4,9,,46584.45,,,,                                                        ,
,146,2,5,,48171.51,,,1.455,                                                        ,
,147,1 or 2,3,,48180.68,,,,                                                        ,
,148,5,11,,48378.03,,,1.428?,                                                        ,
,149,2,5,,48522.28,,,,                                                        ,
,150,3,7,,48536.61,,,1.576,                                                        ,
,151,4,9,,48872.85,,,,                                                        ,
,152,3,7,,48910.95,,,,                                                        ,
,153,4 or 5,9,,49003.10,,,,                                                        ,
,154,2,5,,49043.00,,,1.319,                                                        ,
4f7.(8S*).7s,e 9S*,4,9,,49128.03,,,1.985,                                                        ,
,155,2,5,,49254.68,,,1.558,                                                        ,
,156,3,7,,49480.46,,,,                                                        ,
4f7.(8S*).7s,e 7S*,3,7,,49646.62,,,1.974,                                                        ,
,157,2,5,,49720.89,,,,                                                        ,
,158,1,3,,50947.46,,,2.874,                                                        ,
4f6.5d.6p?,e 7F*,6,13,,,,,,                                                        ,
4f6.5d.6p?,e 7F*,1,3,,,,,,                                                        ,
4f6.5d.6p?,e 7F*,0,1,,,,,,                                                        ,
4f6.5d.6p?,e 7F*,5,11,,52963.40,,,1.526,                                                        ,
4f6.5d.6p?,e 7F*,4,9,,53150.34,,,1.552,                                                        ,
4f6.5d.6p?,e 7F*,3,7,,53490.44,,,1.525,                                                        ,
4f6.5d.6p?,e 7F*,2,5,,53861.26,,,1.563,                                                        ,
,1*,4,9,,53783.01,,,1.875:,                                                        ,
4f7.(8S*).6d,e 9D*,2,5,,54273.98,,,2.620:,                                                        ,
4f7.(8S*).6d,e 9D*,3,7,,54320.69,,,1.912,                                                        ,
4f7.(8S*).6d,e 9D*,4,9,,54380.30,,,1.807,                                                        ,
4f7.(8S*).6d,e 9D*,5,11,,54484.27,,,1.507,                                                        ,
4f7.(8S*).6d,e 9D*,6,13,,54565.04,,,1.655,                                                        ,
4f7.(8S*).6d,e 7D*,4,9,,54295.02,,,,                                                        ,
4f7.(8S*).6d,e 7D*,5,11,,54428.76,,,1.414,                                                        ,
4f7.(8S*).6d,e 7D*,1,3,,54435.41,,,2.852,                                                        ,
4f7.(8S*).6d,e 7D*,2,5,,54490.63,,,,                                                        ,
4f7.(8S*).6d,e 7D*,3,7,,54589.10,,,,                                                        ,
,2*,3 or 4,7,,54600.07,,,,                                                        ,
,3*,3,7,,55156.18,,,,                                                        ,
