Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d8.4s2""","=""3F""","=""3""","=""""","=""71531.542""","=""""","=""0.003""","=""""","=""  95                                    :     4  3d8.(3F).4p2.(1S)    3F       ""","=""L19804"""
"=""3d8.4s2""","=""3F""","=""2""","=""""","=""72723.817""","=""""","=""0.004""","=""""","=""  94                                    :     4  3d8.(3F).4p2.(1S)    3F       ""","=""L19804"""
"=""3d9.4p""","=""1F*""","=""3""","=""""","=""70841.4669""","=""""","=""0.0014""","=""""","=""  49                                    :    31  3d9.4p               3D*      ""","=""L19804"""
"=""3d9.4p""","=""1D*""","=""2""","=""""","=""71493.8548""","=""""","=""0.0007""","=""1.08""","=""  54                                    :    35  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3D*""","=""3""","=""""","=""71920.0961""","=""""","=""0.0008""","=""""","=""  64                                    :    19  3d9.4p               3F*      ""","=""L19804"""
"=""3d9.4p""","=""3D*""","=""1""","=""""","=""73102.0408""","=""""","=""0.0007""","=""0.47""","=""  92                                    :     3  3d9.4p               1P*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3D*""","=""2""","=""""","=""73353.2957""","=""""","=""0.0008""","=""0.99""","=""  54                                    :    41  3d9.4p               1D*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""1P*""","=""1""","=""""","=""73595.8143""","=""""","=""0.0018""","=""1.04""","=""  93                                    :     4  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d8.4s2""","=""1D""","=""2""","=""""","=""85388.772""","=""""","=""0.003""","=""""","=""  73                                    :    21  3d8.4s2              3P       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""2""","=""""","=""88362.001""","=""""","=""0.003""","=""""","=""  74                                    :    21  3d8.4s2              1D       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""1""","=""""","=""88605.096""","=""""","=""0.004""","=""""","=""  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""0""","=""""","=""88926.002""","=""""","=""0.003""","=""""","=""  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ""","=""L19804"""
"=""3d8.4s2""","=""1G""","=""4""","=""""","=""95565.619""","=""""","=""0.003""","=""0.98""","=""  95                                    :     4  3d8.(1G).4p2.(1S)    1G       ""","=""L19804,L10559"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""4""","=""""","=""107942.795""","=""""","=""0.010""","=""""","=""  93                                    :     4  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
