Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
6p4,3P,2,5,,0,,,L15918
At III (6p3 4S*<3/2>),Limit,---,,[,144210,],160,L15918
