Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
6p6,1S,0,1,,0,,,L16139
Fr III (6p5 2P*<3/2>),Limit,---,,[,181000,],15000,L16139
