Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5d10.6s2,1S,0,1,,0.00,,,L12967
5d10.6s.6p,3P*,0,1,,49451.45,,,L12967
5d10.6s.6p,3P*,1,3,,52393.96,,,L12967
5d10.6s.6p,3P*,2,5,,61727.26,,,L12967
5d10.6s.6p,1P*,1,3,,75663.33,,,L12967
5d10.6s.7s,3S,1,3,,105229.28,,,L12967
5d10.6s.7s,1S,0,1,,107999.96,,,L12967
5d9.6s2.6p,1*,2,5,,110387,,,L3466
5d10.6s.6d,1D,2,5,,115165.60,,,L12967
5d10.6s.6d,3D,1,3,,116152.00,,,L12967
5d10.6s.6d,3D,2,5,,116436.16,,,L12967
5d10.6s.6d,3D,3,7,,116830.90,,,L12967
5d10.6p2,3P,0,1,,117408,,,L3466
5d10.6p2,3P,1,3,,125338,,,L3466
5d10.6p2,3P,2,5,,128817,,,L3466
5d10.6s.7p,3P*,0,1,,119361,,,L3466
5d10.6s.7p,3P*,1,3,,119576,,,L3466
5d10.6s.7p,3P*,2,5,,122029,,,L3466
5d10.6s.7p,1P*,1,3,,122379,,,L3466
5d9.6s2.6p,4*,2,5,,125437,,,L3466
5d9.6s2.6p,5*,1,3,,126204,,,L3466
5d9.6s2.6p,6*,3,7,,128663,,,L3466
5d9.6s2.6p,7*,2,5,,129158,,,L3466
5d10.6s.8s,3S,1,3,,133568,,,L3466
5d10.6s.8s,1S,0,1,,134292,,,L3466
5d9.6s2.6p,8*,1,3,,134362,,,L3466
5d10.6s.5f,3F*,3,7,,136115,,,L3466
5d10.6s.5f,3F*,2,5,,136216,,,L3466
5d10.6s.5f,3F*,4,9,,136230,,,L3466
5d10.6s.5f,1F*,3,7,,136263,,,L3466
5d10.6s.7d,1D,2,5,,136891,,,L3466
5d10.6s.7d,3D,1,3,,137927,,,L3466
5d10.6s.7d,3D,2,5,,138053,,,L3466
5d10.6s.7d,3D,3,7,,138203,,,L3466
5d10.6s.8p,3P*,0,1,,,,,L3466
5d10.6s.8p,3P*,1,3,,139365,,,L3466
5d10.6s.8p,3P*,2,5,,140304,,,L3466
5d10.6s.8p,1P*,1,3,,141000,,,L3466
5d10.6p2,1D,2,5,,141982,,,L3466
5d9.6s2.6p,10*,3,7,,142781,,,L3466
5d9.6s2.6p,11*,1,3,,143612,,,L3466
5d9.6s2.6p,12*,2,5,,145092,,,L3466
5d10.6s.9s,3S,1,3,,145415,,,L3466
5d10.6s.9s,1S,0,1,,145591,,,L3466
5d10.6s.6f,3F*,4,9,,146500,,,L3466
5d10.6s.6f,3F*,2,5,,146523,,,L3466
5d10.6s.6f,3F*,3,7,,146534,,,L3466
5d10.6s.6f,1F*,3,7,,146543,,,L3466
5d10.6s.5g,"1,3G","3,4,5",27,,147065,,,L3466
5d10.6s.8d,3D,1,3,,147602,,,L3466
5d10.6s.8d,3D,2,5,,147652,,,L3466
5d10.6s.8d,3D,3,7,,147747,,,L3466
5d10.6s.9p,3P*,0,1,,,,,L3466
5d10.6s.9p,3P*,1,3,,148349,,,L3466
5d10.6s.9p,3P*,2,5,,148825,,,L3466
5d10.6s.8d,1D,2,5,,148465,,,L3466
5d10.6s.9p,1P*,1,3,,149063,,,L3466
5d10.6s.10s,3S,1,3,,151568,,,L3466
5d10.6s.7f,3F*,2,5,,152104,,,L3466
5d10.6s.7f,3F*,"3,4",16,,152110,,,L3466
5d10.6s.7f,1F*,3,7,,152140,,,L3466
5d10.6s.6g,"1,3G","3,4,5",27,,152470,,,L3466
5d10.6s.9d,3D,1,3,,152819,,,L3466
5d10.6s.9d,3D,2,5,,152847,,,L3466
5d10.6s.9d,3D,3,7,,152906,,,L3466
5d10.6s.9d,1D,2,5,,153200,,,L3466
5d10.6s.10p,3P*,1,3,,,,,L3466
5d10.6s.10p,3P*,0,1,,,,,L3466
5d10.6s.10p,3P*,2,5,,153530,?,,L3466
5d10.6s.10p,1P*,1,3,,153633,?,,L3466
5d10.6s.11s,3S,1,3,,155181,,,L3466
5d10.6s.10d,3D,1,3,,155963,,,L3466
5d10.6s.10d,3D,2,5,,155982,,,L3466
5d10.6s.10d,3D,3,7,,156018,,,L3466
5d10.6s.10d,1D,2,5,,156177,,,L3466
5d10.6s.11p,1P*,1,3,,156475,?,,L3466
5d10.6s.12s,3S,1,3,,157481,,,L3466
5d10.6s.11d,3D,1,3,,,,,L3466
5d10.6s.11d,3D,2,5,,158027,?,,L3466
5d10.6s.11d,3D,3,7,,158038,?,,L3466
5d10.6s.11d,1D,2,5,,158136,?,,L3466
Tl III (6s 2S<1/2>),Limit,---,,,164765,,5,L3272
