Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""7s.7d""","=""3D""","=""2""","=""""","=""58121.36""","=""""","=""0.07""","=""  48         :    26  6d.8s 1D   ""","=""L22136"""
"=""7s.7d""","=""3D""","=""3""","=""""","=""59325.48""","=""?""","=""0.13""","=""  50         :    41  6d.8s 3D   ""","=""L22136"""
"=""6d.8s""","=""1D""","=""2""","=""""","=""58803.51""","=""""","=""0.08""","=""  20         :    35  7s.7d 3D   ""","=""L22136"""
"=""5f.7p""","=""1F""","=""3""","=""""","=""59071.84""","=""""","=""0.04""","=""  22         :    27  5f.7p 3F   ""","=""L22136,L7344c157"""
"=""6d.7d""","=""1F""","=""3""","=""""","=""59807.52""","=""""","=""0.03""","=""  48         :    22  6d.7d 3G   ""","=""L22136,L7344c157"""
"=""6d.7d""","=""3F""","=""2""","=""""","=""60238.20""","=""""","=""0.07""","=""  38         :    14  6d.7d 3D   ""","=""L22136"""
"=""6d.7d""","=""3F""","=""3""","=""""","=""63581.61""","=""""","=""0.03""","=""  66         :    20  6d.7d 3D   ""","=""L22136,L7344c157"""
"=""6d.7d""","=""3F""","=""4""","=""""","=""64285.02""","=""""","=""0.05""","=""  72         :    18  6d.7d 3G   ""","=""L22136c157"""
"=""6d.7d""","=""3G""","=""5""","=""""","=""61417.16""","=""?""","=""0.11""","=""  51         :    47  5f.7p 3G   ""","=""L22136"""
"=""6d.7d""","=""3G""","=""3""","=""""","=""61466.70""","=""?""","=""0.09""","=""  30         :    20  5f.7p 3G   ""","=""L22136"""
"=""6d.7d""","=""3G""","=""4""","=""""","=""62650.44""","=""""","=""0.06""","=""  33         :    35  5f.7p 3G   ""","=""L22136"""
"=""6d.7d""","=""3D""","=""2""","=""""","=""62304.01""","=""""","=""0.06""","=""  34         :    19  7p2   3P   ""","=""L22136c157"""
"=""6d.7d""","=""3D""","=""3""","=""""","=""62350.67""","=""""","=""0.03""","=""  35         :    24  6d.7d 1F   ""","=""L22136,L7344c157"""
"=""5f.7p""","=""3D""","=""1""","=""""","=""62565.61""","=""""","=""0.07""","=""  73         :     8  6d.7d 3D   ""","=""L22136"""
"=""5f.7p""","=""3D""","=""3""","=""""","=""64332.11""","=""""","=""0.06""","=""  47         :    17  6d.7d 3D   ""","=""L22136"""
"=""5f.7p""","=""1G""","=""4""","=""""","=""62869.82""","=""""","=""0.03""","=""  51         :    33  5f.7p 3F   ""","=""L22136,L7344c157"""
"=""6d.7d""","=""1D""","=""2""","=""""","=""64154.91""","=""?""","=""0.08""","=""  28         :    15  7p2   1D   ""","=""L22136"""
"=""7p2""","=""1D""","=""2""","=""""","=""68692.14""","=""""","=""0.06""","=""  34         :    14  5f.7p 1D   ""","=""L22136"""
"=""Ac III (6p6.7s 2S<1/2>)""","=""Limit""","=""---""","=""[""","=""94800""","=""]""","=""250""","=""                                 ""","=""L15123"""
