Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d10.6s,2S,1/2,2,,0.000,,0.006,                                                  ,L11760
5d9.6s2,2D,5/2,6,,35514.624,,0.002,                                                  ,
5d9.6s2,2D,3/2,4,,50555.567,,0.004,                                                  ,
5d10.6p,2P*,1/2,2,,51486.070,,0.008,"  98         :     1  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.6p,2P*,3/2,4,,60608.362,,0.003,"  96         :     2  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,6,,79705.262,,0.010,"  61         :    32  5d9.6s.6p  (2D<5/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,8,,84212.404,,0.015,"  91         :     7  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,6,,84836.143,,0.007,"  56         :    35  5d9.6s.6p  (2D<5/2>,3P<0>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,4,,86178.478,,0.009,"  79         :     6  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,10,,91139.508,,0.027,  99                                              ,
5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,4,,94092.834,,0.023,"  59         :    24  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,8,,95187.361,,0.020,"  96         :     1  5d8.6s2.6p (3F<4>,1/2)*     ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,6,,95304.138,,0.020,"  87         :     4  5d9.6s.6p  (2D<5/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,2,,96187.932,,0.027,"  64         :    22  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.7s,2S,1/2,2,,95714.406,,0.004,                                                  ,
5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,4,,97095.774,,0.018,"  62         :    14  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,6,,100861.369,,0.016,"  84         :     5  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,4,,103183.874,,0.014,"  48         :    19  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,2,,103873.302,,0.010,"  66         :    20  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d10.6d,2D,3/2,4,,104984.138,,0.014,                                                  ,
5d10.6d,2D,5/2,6,,105544.042,,0.007,                                                  ,
5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,4,,106086.013,,0.006,  44         :    20  5d10.7p    2P*              ,
5d9.6s.6p,"(2D<5/2>,1P<1>)*",7/2,8,,106215.059,,0.013,"  70         :    22  5d9.6s.6p  (2D<3/2>,3P<2>)* ",
5d9.6s.6p,"(2D<5/2>,1P<1>)*",5/2,6,,108975.732,,0.011,"  62         :    29  5d9.6s.6p  (2D<3/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",1/2,2,,106299.401,,0.029,"  83         :    12  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,4,,109191.648,,0.013,  73         :    18  5d10.7p    2P*              ,
5d9.6s.6p,"(2D<3/2>,3P<2>)*",7/2,8,,110604.447,,0.012,"  74         :    17  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",5/2,6,,111174.092,,0.011,"  62         :    24  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d10.7p,2P*,1/2,2,,108298.183,,0.004,"  87         :     6  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.7p,2P*,3/2,4,,111971.464,,0.005,"  60         :    20  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d10.8s,2S,1/2,2,,121416.626,,0.006,                                                  ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,2,,121753.739,,0.023,  81         :     5  5d10.8p    2P*              ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,6,,121960.399,,0.009,  63         :    26  5d10.5f    2F*              ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,4,,124614.794,,0.008,"  85         :     4  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.5f,2F*,7/2,8,,123153.775,,0.006,  99                                              ,
5d10.5f,2F*,5/2,6,,123411.351,,0.007,"  74         :    22  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.7d,2D,3/2,4,,125325.531,,0.006,                                                  ,
5d10.7d,2D,5/2,6,,125579.636,,0.007,                                                  ,
5d10.8p,2P*,1/2,2,,126941.844,,0.007,"  94         :     4  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.8p,2P*,3/2,4,,127795.481,,0.005,"  98         :     1  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.9s,2S,1/2,2,,132560.550,,0.016,                                                  ,
5d10.6f,2F*,7/2,8,,133269.525,,0.019,                                                  ,
5d10.6f,2F*,5/2,6,,133283.820,,0.033,                                                  ,
5d10.5g,2G,9/2,10,,133654.879,,0.007,                                                  ,
5d10.5g,2G,7/2,8,,133654.913,,0.007,                                                  ,
5d10.8d,2D,3/2,4,,134562.854,,0.014,                                                  ,
5d10.8d,2D,5/2,6,,134699.466,,0.020,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",7/2,8,,135302.600,,0.016,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,6,,136714.118,,0.012,                                                  ,
5d10.9p,2P*,3/2,4,,135810.522,,0.008,                                                  ,
5d10.10s,2S,1/2,2,,138434.682,,0.022,                                                  ,
5d10.7f,2F*,7/2,8,,138795.581,,0.010,                                                  ,
5d10.7f,2F*,5/2,6,,138813.721,,0.008,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,4,,138921.375,,0.012,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,6,,140137.134,,0.009,                                                  ,
5d10.6g,2G,7/2,8,,139044.521,,0.011,                                                  ,
5d10.6g,2G,9/2,10,,139044.524,,0.009,                                                  ,
5d10.9d,2D,3/2,4,,139627.043,,0.008,                                                  ,
5d10.9d,2D,5/2,6,,139688.308,,0.006,                                                  ,
5d10.11s,2S,1/2,2,,141912.265,,0.022,                                                  ,
5d10.8f,2F*,7/2,8,,142128.476,,0.012,                                                  ,
5d10.8f,2F*,5/2,6,,142134.148,,0.012,                                                  ,
5d10.7g,2G,7/2,8,,142294.773,,0.011,                                                  ,
5d10.7g,2G,9/2,10,,142294.817,,0.012,                                                  ,
5d10.10d,2D,3/2,4,,142660.277,,0.010,                                                  ,
5d10.10d,2D,5/2,6,,142712.211,,0.008,                                                  ,
5d10.8g,2G,9/2,10,,144403.510,,0.014,                                                  ,
5d10.8g,2G,7/2,8,,144403.864,,0.020,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,4,,144559.816,,0.018,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",9/2,10,,144619.360,,0.012,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,6,,145859.294,,0.014,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,8,,145968.295,,0.016,                                                  ,
5d10.11d,2D,3/2,4,,144653.677,,0.033,                                                  ,
5d10.11d,2D,5/2,6,,144686.984,,0.009,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,4,,144911.731,,0.016,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,6,,145171.560,,0.018,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",1/2,2,,145246.433,,0.024,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",11/2,12,,146062.814,,0.011,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2,8,,146505.679,,0.012,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",9/2,10,,146727.968,,0.008,                                                  ,
5d10.9g,2G,7/2,8,,145849.294,,0.016,                                                  ,
5d10.9g,2G,9/2,10,,145849.628,,0.033,                                                  ,
5d9.6p2,"(2D<5/2>,3P<0>)",5/2,6,,146652.263,,0.014,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,2,,148133.339,,0.024,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,4,,148222.473,,0.028,                                                  ,
5d9.6s.7p,"[(2D<5/2>,1/2)<2>,3/2]*",5/2?,6,,148820.8,,0.4,                                                  ,
5d8.6s2.6p,"(3F<4>,3/2)*",5/2?,6,,149494.8,,0.4,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,5/2]",7/2,8,,149633.577,,0.044,                                                  ,
5d8.6s2.6p,"(3P<2>,3/2)*",5/2?,6,,150361.0,,0.4,                                                  ,
5d8.6s2.6p,"(3P<2>,3/2)*",3/2,4,,165335.3,,0.8,                                                  ,
Hg III (5d10 1S<0>),Limit,---,,,151284.4,,0.3,                                                  ,L11760
5d9.6p2,"(2D<5/2>,3P<1>)",7/2,8,,152053.602,,0.049,                                                  ,
5d9.6p2,"(2D<5/2>,3P<1>)",5/2,6,,155288.900,,0.044,                                                  ,
5d8.6s2.6p,"(3F<2>,1/2)*",3/2?,4,,152981.0,,0.5,                                                  ,
5d8.6s2.6p,"(3F<2>,1/2)*",5/2?,6,,157327.5,,0.5,                                                  ,
5d8.6s2.6p,"(3P<2>,1/2)*",3/2,4,,153766.4,,0.4,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",9/2,10,,157905.52,,0.13,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",5/2,6,,157925.207,,0.066,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",7/2,8,,158408.647,,0.041,                                                  ,
5d8.6s2.6p,"(3F<3>,3/2)*",5/2?,6,,158656.3,,0.5,                                                  ,
5d8.6s2.6p,"(3F<3>,3/2)*",3/2?,4,,161506.6,,0.5,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<1>,3/2]",5/2,6,,161137.50,,0.17,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<1>,5/2]",5/2,6,,162043.299,,0.035,                                                  ,
5d9.6s.7p,"[(2D<3/2>,1/2)<2>,3/2]*",3/2?,4,,164616.0,,0.8,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<2>,5/2]",7/2,8,,164916.716,,0.035,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",13/2,14,,165270.619,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",11/2,12,,165661.563,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",9/2,10,,165700.298,,0.015,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",11/2,12,,165336.537,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",9/2,10,,165670.728,,0.010,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",7/2,8,,165931.728,,0.013,                                                  ,
5d8.6s2.6p,"(3P<0>,3/2)*",3/2?,4,,165642.6,,0.6,                                                  ,
5d9.6p2,"(2D<5/2>,1D<2>)",7/2,8,,169124.734,,0.054,                                                  ,
5d8.6s2.6p,"(3P<1>,3/2)*",5/2?,6,,170811.1,,0.8,                                                  ,
5d8.6s2.6p,"(1D<2>,1/2)*",3/2?,4,,174426.0,,0.7,                                                  ,
