Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""4d4.(3H).5p""","=""z 2I*""","=""11/2""","=""""","=""62728.35""","=""""","=""""","=""0.902""","="""""
"=""4d4.(3H).5p""","=""z 2I*""","=""13/2""","=""""","=""62980.24""","=""""","=""""","=""1.091""","="""""
"=""4d4.(3H).5p""","=""y 4G*""","=""7/2""","=""""","=""62917.94""","=""""","=""""","=""1.004""","="""""
"=""4d4.(3H).5p""","=""y 4G*""","=""9/2""","=""""","=""62953.75""","=""""","=""""","=""1.214""","="""""
"=""4d4.(3H).5p""","=""y 4G*""","=""5/2""","=""""","=""63041.47""","=""""","=""""","=""0.851""","="""""
"=""4d4.(3H).5p""","=""y 4G*""","=""11/2""","=""""","=""63207.43""","=""""","=""""","=""1.272""","="""""
"=""4d4.(a 3F).5p""","=""y 4F*""","=""3/2""","=""""","=""63002.58""","=""""","=""""","=""0.899""","="""""
"=""4d4.(a 3F).5p""","=""y 4F*""","=""7/2""","=""""","=""63104.63""","=""""","=""""","=""1.060""","="""""
"=""4d4.(a 3F).5p""","=""y 4F*""","=""5/2""","=""""","=""63392.52""","=""""","=""""","=""1.002""","="""""
"=""4d4.(a 3F).5p""","=""y 4F*""","=""9/2""","=""""","=""63783.10""","=""""","=""""","=""""","="""""
"=""""","=""2*""","=""7/2""","=""""","=""63012.24""","=""""","=""""","=""1.186""","="""""
"=""4d4.(3G).5p""","=""y 4H*""","=""7/2""","=""""","=""63298.23""","=""""","=""""","=""0.933""","="""""
"=""4d4.(3G).5p""","=""y 4H*""","=""9/2""","=""""","=""63497.54""","=""""","=""""","=""1.024""","="""""
"=""4d4.(3G).5p""","=""y 4H*""","=""11/2""","=""""","=""64139.98""","=""""","=""""","=""1.166""","="""""
"=""4d4.(3G).5p""","=""y 4H*""","=""13/2""","=""""","=""65114.83""","=""""","=""""","=""""","="""""
"=""4d4.(3G).5p""","=""z 2F*""","=""7/2""","=""""","=""63876.68""","=""""","=""""","=""1.105""","="""""
"=""4d4.(3G).5p""","=""z 2F*""","=""5/2""","=""""","=""64394.64""","=""""","=""""","=""0.802""","="""""
"=""4d4.(3G).5p""","=""x 4F*""","=""3/2""","=""""","=""63903.90""","=""""","=""""","=""0.535""","="""""
"=""4d4.(3G).5p""","=""x 4F*""","=""5/2""","=""""","=""64167.84""","=""""","=""""","=""1.012""","="""""
"=""4d4.(3G).5p""","=""x 4F*""","=""7/2""","=""""","=""64203.09""","=""""","=""""","=""1.208""","="""""
"=""4d4.(3G).5p""","=""x 4F*""","=""9/2""","=""""","=""64326.40""","=""""","=""""","=""1.258""","="""""
"=""4d4.(3H).5p""","=""z 2H*""","=""9/2""","=""""","=""64130.22""","=""""","=""""","=""0.934""","="""""
"=""4d4.(3H).5p""","=""z 2H*""","=""11/2""","=""""","=""65074.71""","=""""","=""""","=""1.112""","="""""
"=""4d4.(a 3P).5p""","=""z 4S*""","=""3/2""","=""""","=""64750.66""","=""""","=""""","=""1.926""","="""""
"=""4d4.(a 3F).5p""","=""y 2G*""","=""7/2""","=""""","=""64852.22""","=""""","=""""","=""1.040""","="""""
"=""4d4.(a 3F).5p""","=""y 2G*""","=""9/2""","=""""","=""65694.91""","=""""","=""""","=""1.105""","="""""
"=""4d4.(a 3F).5p""","=""y 2F*""","=""7/2""","=""""","=""65260.95""","=""""","=""""","=""""","="""""
"=""4d4.(a 3F).5p""","=""y 2F*""","=""5/2""","=""""","=""65272.77""","=""""","=""""","=""0.856""","="""""
"=""4d4.(3G).5p""","=""y 2H*""","=""9/2""","=""""","=""65282.58""","=""""","=""""","=""""","="""""
"=""4d4.(3G).5p""","=""y 2H*""","=""11/2""","=""""","=""65424.65""","=""""","=""""","=""1.175""","="""""
"=""4d4.(a 3P).5p""","=""y 2D*""","=""3/2""","=""""","=""65444.30""","=""""","=""""","=""0.769""","="""""
"=""4d4.(a 3P).5p""","=""y 2D*""","=""5/2""","=""""","=""66082.31""","=""""","=""""","=""1.166""","="""""
"=""4d4.(3G).5p""","=""x 4G*""","=""5/2""","=""""","=""65732.23""","=""""","=""""","=""0.751""","="""""
"=""4d4.(3G).5p""","=""x 4G*""","=""7/2""","=""""","=""66087.55""","=""""","=""""","=""""","="""""
"=""4d4.(3G).5p""","=""x 4G*""","=""9/2""","=""""","=""66391.46""","=""""","=""""","=""""","="""""
"=""4d4.(3G).5p""","=""x 4G*""","=""11/2""","=""""","=""66743.72""","=""""","=""""","=""1.209""","="""""
"=""""","=""3*""","=""7/2""","=""""","=""65831.24""","=""""","=""""","=""1.070""","="""""
"=""4d4.(3D).5p""","=""w 4D*""","=""1/2""","=""""","=""66373.65""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""w 4D*""","=""3/2""","=""""","=""66399.44""","=""""","=""""","=""1.075""","="""""
"=""4d4.(3D).5p""","=""w 4D*""","=""5/2""","=""""","=""66667.98""","=""""","=""""","=""1.289""","="""""
"=""4d4.(3D).5p""","=""w 4D*""","=""7/2""","=""""","=""66716.34""","=""""","=""""","=""1.436""","="""""
"=""4d4.(a 1G).5p""","=""x 2F*""","=""7/2""","=""""","=""67391.42""","=""""","=""""","=""1.130""","="""""
"=""4d4.(a 1G).5p""","=""x 2F*""","=""5/2""","=""""","=""67658.13""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""x 4P*""","=""5/2""","=""""","=""67712.92""","=""""","=""""","=""1.426""","="""""
"=""4d4.(3D).5p""","=""x 4P*""","=""3/2""","=""""","=""68441.66""","=""""","=""""","=""1.535""","="""""
"=""4d4.(3D).5p""","=""x 4P*""","=""1/2""","=""""","=""69049.75""","=""""","=""""","=""2.410""","="""""
"=""4d4.(3G).5p""","=""x 2G*""","=""7/2""","=""""","=""67760.30""","=""""","=""""","=""0.921""","="""""
"=""4d4.(3G).5p""","=""x 2G*""","=""9/2""","=""""","=""68052.47""","=""""","=""""","=""1.150""","="""""
"=""4d4.(3D).5p""","=""w 4F*""","=""3/2""","=""""","=""67821.60""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""w 4F*""","=""5/2""","=""""","=""68015.92""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""w 4F*""","=""7/2""","=""""","=""68179.70""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""w 4F*""","=""9/2""","=""""","=""68323.50""","=""""","=""""","=""1.250""","="""""
"=""4d4.(1I).5p""","=""z 2K*""","=""13/2""","=""""","=""67888.85""","=""""","=""""","=""0.933""","="""""
"=""4d4.(1I).5p""","=""z 2K*""","=""15/2""","=""""","=""69047.45""","=""""","=""""","=""""","="""""
"=""4d4.(1I).5p""","=""y 2I*""","=""11/2""","=""""","=""68472.84""","=""""","=""""","=""""","="""""
"=""4d4.(1I).5p""","=""y 2I*""","=""13/2""","=""""","=""68908.60""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5p""","=""y 2P*""","=""1/2""","=""""","=""68645.50""","=""""","=""""","=""0.768""","="""""
"=""4d4.(3D).5p""","=""y 2P*""","=""3/2""","=""""","=""68902.80""","=""""","=""""","=""1.420""","="""""
"=""4d4.(3D).5p""","=""w 2F*""","=""5/2""","=""""","=""69729.90""","=""""","=""""","=""0.885""","="""""
"=""4d4.(3D).5p""","=""w 2F*""","=""7/2""","=""""","=""70101.55""","=""""","=""""","=""1.075""","="""""
"=""4d4.(a 1G).5p""","=""x 2H*""","=""9/2""","=""""","=""70003.84""","=""""","=""""","=""""","="""""
"=""4d4.(a 1G).5p""","=""x 2H*""","=""11/2""","=""""","=""70670.57""","=""""","=""""","=""""","="""""
"=""4d4.(a 1D).5p""","=""x 2D*""","=""5/2""","=""""","=""70713.10""","=""""","=""""","=""""","="""""
"=""4d4.(a 1D).5p""","=""x 2D*""","=""3/2""","=""""","=""70738.00""","=""""","=""""","=""0.946""","="""""
"=""4d4.(a 1G).5p""","=""w 2G*""","=""9/2""","=""""","=""71011.20""","=""""","=""""","=""""","="""""
"=""4d4.(a 1G).5p""","=""w 2G*""","=""7/2""","=""""","=""71193.53""","=""""","=""""","=""""","="""""
"=""4d4.(1I).5p""","=""w 2H*""","=""11/2""","=""""","=""71546.56""","=""""","=""""","=""""","="""""
"=""4d4.(1I).5p""","=""w 2H*""","=""9/2""","=""""","=""71920.22""","=""""","=""""","=""""","="""""
"=""4d4.(a 1S).5p""","=""x 2P*""","=""1/2""","=""""","=""71966.30""","=""""","=""""","=""0.670""","="""""
"=""4d4.(a 1S).5p""","=""x 2P*""","=""3/2""","=""""","=""73218.97""","=""""","=""""","=""1.082""","="""""
"=""4d4.(3D).5p""","=""w 2D*""","=""3/2""","=""""","=""72039.00""","=""""","=""""","=""1.086""","="""""
"=""4d4.(3D).5p""","=""w 2D*""","=""5/2""","=""""","=""72829.62""","=""""","=""""","=""1.156""","="""""
"=""4d4.(a 1D).5p""","=""v 2F*""","=""5/2""","=""""","=""72484.19""","=""""","=""""","=""""","="""""
"=""4d4.(a 1D).5p""","=""v 2F*""","=""7/2""","=""""","=""73032.28""","=""""","=""""","=""""","="""""
