Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""4d4.(1I).5s""","=""b 2I""","=""11/2""","=""""","=""35406.02""","=""""","=""""","=""""","="""""
"=""4d4.(a 3F).5s""","=""c 2F""","=""5/2""","=""""","=""36288.80""","=""""","=""""","=""0.913""","="""""
"=""4d4.(a 3F).5s""","=""c 2F""","=""7/2""","=""""","=""36741.30""","=""""","=""""","=""1.065""","="""""
"=""4d4.(3G).5s""","=""c 2G""","=""7/2""","=""""","=""37431.45""","=""""","=""""","=""0.927""","="""""
"=""4d4.(3G).5s""","=""c 2G""","=""9/2""","=""""","=""38053.88""","=""""","=""""","=""1.105""","="""""
"=""4d4.(a 1D).5s""","=""c 2D""","=""3/2""","=""""","=""39243.45""","=""""","=""""","=""0.800""","="""""
"=""4d4.(a 1D).5s""","=""c 2D""","=""5/2""","=""""","=""39912.95""","=""""","=""""","=""1.203""","="""""
"=""4d4.(3D).5s""","=""d 2D""","=""5/2""","=""""","=""41421.34""","=""""","=""""","=""""","="""""
"=""4d4.(3D).5s""","=""d 2D""","=""3/2""","=""""","=""41542.00""","=""""","=""""","=""0.761""","="""""
"=""4d4.(a 1S).5s""","=""b 2S""","=""1/2""","=""""","=""41873.66""","=""""","=""""","=""1.993""","="""""
"=""4d5""","=""d 2G""","=""7/2""","=""""","=""42169.30""","=""""","=""""","=""""","="""""
"=""4d5""","=""d 2G""","=""9/2""","=""""","=""42306.62""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5s""","=""d 2F""","=""5/2""","=""""","=""42925.34""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5s""","=""d 2F""","=""7/2""","=""""","=""42992.18""","=""""","=""""","=""1.085""","="""""
"=""4d4.(b 3F).5s""","=""c 4F""","=""3/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5s""","=""c 4F""","=""5/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5s""","=""c 4F""","=""7/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5s""","=""c 4F""","=""9/2""","=""""","=""44212.16""","=""""","=""""","=""""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""1/2""","=""""","=""45853.08""","=""""","=""""","=""-0.650""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""3/2""","=""""","=""46148.12""","=""""","=""""","=""1.072""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""5/2""","=""""","=""46614.14""","=""""","=""""","=""1.305""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""7/2""","=""""","=""47231.98""","=""""","=""""","=""1.375""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""9/2""","=""""","=""47999.47""","=""""","=""""","=""1.415""","="""""
"=""4d4.(5D).5p""","=""z 6F*""","=""11/2""","=""""","=""48959.68""","=""""","=""""","=""""","="""""
