Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""198436.26""","=""""","=""0.04""","=""""","=""  94         :     5  2p3                   2D*  ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""""","=""198844.00""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""198865.27""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""198879.03""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""""","=""199941.27""","=""""","=""0.16""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""""","=""199983.13""","=""""","=""0.13""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""""","=""202179.86""","=""""","=""0.05""","=""""","=""  91         :     5  2p3                   2P*  ""","=""L22145"""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""""","=""202204.56""","=""""","=""0.05""","=""""","=""  91         :     5  2p3                   2P*  ""","=""L22145"""
"=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""209552.39""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""209576.49""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""209622.32""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""2P""","=""1/2""","=""""","=""214404.34""","=""""","=""0.07""","=""""","=""  97                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""2P""","=""3/2""","=""""","=""214429.94""","=""""","=""0.05""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""""","=""214759.76""","=""""","=""0.11""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""""","=""214772.83""","=""""","=""0.06""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""""","=""214795.28""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""""","=""214829.74""","=""""","=""0.05""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4S""","=""3/2""","=""""","=""215767.79""","=""""","=""0.05""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""""","=""216362.72""","=""""","=""0.09""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""""","=""216379.60""","=""""","=""0.05""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""""","=""216400.57""","=""""","=""0.06""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""2D""","=""3/2""","=""""","=""216877""","=""""","=""10""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""2D""","=""5/2""","=""""","=""216923""","=""""","=""9""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4p""","=""2S""","=""1/2""","=""""","=""218402""","=""""","=""31""","=""""","=""  95         :     2  2s.2p.(3P*).5p        2S   ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4F*""","=""3/2""","=""""","=""219557.50""","=""""","=""0.42""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4F*""","=""5/2""","=""""","=""219570.20""","=""""","=""0.11""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4F*""","=""7/2""","=""""","=""219590.79""","=""""","=""0.08""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4F*""","=""9/2""","=""""","=""219619.86""","=""""","=""0.42""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""1/2""","=""""","=""220125.53""","=""""","=""0.09""","=""""","="" 100                                             ""","=""L22145"""
