Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,17,,0.00,,,  97     or  :    97   5I*  ,L3974
4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,15,,637.40,,,  97     or  :    72   3I*  ,
4f11.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,15,,5617.04,,,         or  :    74   5I*  ,
4f11.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,13,,5849.74,,,         or  :    54   5I*  ,
4f11.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,11,,8850.55,,,         or  :    69   5I*  ,
4f11.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,13,,9001.65,,,         or  :    48   3I*  ,
4f11.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,9,,10838.85,,,         or  :    67   5I*  ,
4f11.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,11,,11204.50,,,         or  :    45   3I*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",6,13,,16281.60,,,         or  :    80   5G*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",7,15,,16748.98,,,         or  :    82   5H*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",9,19,,17713.75,,,         or  :    48   3L*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",8,17,,18404.87,,,         or  :    47   5I*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",10,21,,18258.95,,,         or  :    97   5L*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",9,19,,19111.47,,,         or  :    74   5K*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",5,11,,19882.92,,,         or  :    57   5G*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",8,17,,20029.35,,,         or  :    43   3K*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",6,13,,20314.90,,,         or  :    49   5H*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",7,15,,20492.00,,,         or  :    46   3I*  ,
,*,5,11,,19000.54,,,                            ,
,,7 or 8,15,,21688.7,,,                            ,
,,7,15,,24712.0,,,                            ,
,,7 or 8,15,,26008.3,,,                            ,
4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",7,15,,26234.19,,,  95                        ,
4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",8,17,,26330.85,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",9,19,,28926.70,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8,17,,29412.38,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",6,13,,29588.49,o,,  94                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",7,15,,29899.21,o,,  94                        ,
,,6,13,,29074.26,,,                            ,
,,7 or 8,15,,29275.0,,,                            ,
,,7 or 8,15,,29325.2,,,                            ,
,,7,15,,29810.85,,,                            ,
,,7 or 8,15,,30884.7,,,                            ,
4f11.(4I*<13/2>).6p<1/2>,"(13/2,1/2)",6,13,,31505.0,,,  95                        ,
4f11.(4I*<13/2>).6p<1/2>,"(13/2,1/2)",7,15,,31556.3,,,  97                        ,
,,6,13,,33882.7,,,                            ,
,,6,13,,34099.0,,,                            ,
,,5,11,,34653.7,,,                            ,
4f11.(4I*<11/2>).6p<1/2>,"(11/2,1/2)",5,11,,,,,  45                        ,
4f11.(4I*<11/2>).6p<1/2>,"(11/2,1/2)",6,13,,34770.4,,,  51                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",5,11,,,,,  52                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",7,15,,34779.1,,,  98                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",8,17,,34802.8,,,  99                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",6,13,,35067.2,,,  58                        ,
,,7 or 8,15,,35559.3,,,                            ,
,,4,9,,36055.8,,,                            ,
,,4,9,,36884.1,,,                            ,
,,5,11,,37159.2,,,                            ,
,,5,11,,37499.0,,,                            ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",6,13,,,,,  83                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",5,11,,,,,  80                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",4,9,,,,,  79                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",7,15,,37779.1,,,  85                        ,
,,5,11,,40332.8,,,                            ,
Ho III (4f11 4I*<15/2>),Limit,---,,[,95020,],160,                            ,L19870c180
