Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
6p5,2P*,3/2,4,,0.0,,,L3466
6p5,2P*,1/2,2,,30895.1,,,L16068
Rn III (6p4 3P<2>),Limit,---,,(,153160,),520,L22090
