Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5s2.5p2,3P,0,1,,0.0,,,  95         :     5            1S   ,L16325
5s2.5p2,3P,1,3,,3054.6,,, 100                                 ,L16325
5s2.5p2,3P,2,5,,5658.2,,,  84         :    16            1D   ,L16325
5s2.5p2,1D,2,5,,12789.8,,,  84         :    16            3P   ,L16325
5s2.5p2,1S,0,1,,23905.5,,,  95         :     5            3P   ,L16325
5s.5p3,5S*,2,5,,51722.9,,,  95         :     4            3P*  ,L16325
5s.5p3,3D*,1,3,,66291.6,,,  74         :    16  5s2.5p.5d 3D*  ,L16325
5s.5p3,3D*,2,5,,66502.3,,,  71         :    14  5s2.5p.5d 3D*  ,L16325
5s.5p3,3D*,3,7,,67887.5,,,  82         :    17  5s2.5p.5d 3D*  ,L16325
5s2.5p.6s,3P*,0,1,,69137.3,,,  99         :     1  5s.5p3    3P*  ,L16325
5s2.5p.6s,3P*,1,3,,69535.7,,,  73         :    26            1P*  ,L16325
5s2.5p.6s,3P*,2,5,,75274.5,,,  95         :     3  5s.5p3    3P*  ,L16325
5s2.5p.5d,1D*,2,5,,72389.7,,,  72         :    17            3F*  ,L16325
5s2.5p.6s,1P*,1,3,,75898.9,,,  67         :    23            3P*  ,L16325
5s2.5p.5d,3F*,2,5,,76691.8,,,  73         :    11            1D*  ,L16325
5s2.5p.5d,3F*,3,7,,77726.9,,,  93         :     2            1F*  ,L16325
5s2.5p.5d,3F*,4,9,,81083.0,,, 100                                 ,L16325
5s.5p3,3P*,0,1,,76857.8,,,  81         :    19  5s2.5p.5d 3P*  ,L16325
5s.5p3,3P*,1,3,,77139.4,,,  66         :    17  5s2.5p.5d 3P*  ,L16325
5s.5p3,3P*,2,5,,78390.9,,,  49         :    25  5s2.5p.5d 3P*  ,L16325
5s2.5p.6p,3D,1,3,,83826.4,,,                                     ,L16370
5s2.5p.6p,3D,2,5,,86183.6,,,                                     ,L16370
5s2.5p.6p,3D,3,7,,91583.2,,,                                     ,L16370
5s2.5p.5d,3D*,1,3,,85094.1,,,  46         :    25            1D*  ,L16325
5s2.5p.5d,3D*,2,5,,86027.3,,,  57         :    23            3P*  ,L16325
5s2.5p.5d,3D*,3,7,,88259.7,,,  64         :    16            1F*  ,L16325
5s2.5p.6p,3P,0,1,,85541.2,,,                                     ,L16370
5s2.5p.6p,3P,1,3,,90646.5,,,                                     ,L16370
5s2.5p.6p,3P,2,5,,91718.0,,,                                     ,L16370
5s2.5p.6p,1P,1,3,,85947.7,,,                                     ,L16370
5s2.5p.5d,1P*,1,3,,90323.2,,,  52         :    29            3D*  ,L16325
5s2.5p.5d,3P*,0,1,,91125.0,,,  81         :    19  5s.5p3    3P*  ,L16325
5s2.5p.5d,3P*,2,5,,91241.3,,,  48         :    23            3D*  ,L16325
5s2.5p.5d,3P*,1,3,,91360.1,,,  70         :    17  5s.5p3    3P*  ,L16325
5s2.5p.5d,1F*,3,7,,91225.0,,,  80         :    16            3D*  ,L16325
5s2.5p.6p,3S,1,3,,93000.9,,,                                     ,L16370
5s2.5p.6p,1D,2,5,,93853.2,,,                                     ,L16370
5s.5p3,3S*,1,3,,97637.3,,,  74         :    15            1P*  ,L16325
5s.5p3,1D*,2,5,,98050,,,  83         :     9  5s2.5p.5d 1D*  ,L16325
5s2.5p.6p,1S,0,1,,98121.0,,,                                     ,L16370
5s2.5p.7s,3P*,0,1,,101320.9,,, 100                                 ,L16325
5s2.5p.7s,3P*,1,3,,101537.8,,,  71         :    28            1P*  ,L16325
5s2.5p.7s,3P*,2,5,,107825.6,,,  99         :     1  5s.5p3    3P*  ,L16325
5s2.5p.6d,3D*,2,5,,104722.7,,,                                     ,L16325
5s2.5p.6d,3D*,1,3,,105190.6,,,                                     ,L16325
5s2.5p.6d,3D*,3,7,,110322.5,,,                                     ,L16370
5s2.5p.4f,1F,3,7,,105267.7,,,                                     ,L16370
5s2.5p.4f,3F,3,7,,105472.9,,,                                     ,L16370
5s2.5p.4f,3F,4,9,,105519.3,,,                                     ,L16370
5s2.5p.4f,3F,2,5,,105591.1,,,                                     ,L16370
5p4,3P,2,5,,106363.5,,,                                     ,L16370
5p4,3P,0,1,,111840.7,,,                                     ,L16370
5p4,3P,1,3,,111869.0,,,                                     ,L16370
5s2.5p.7p,3D,1,3,,106907.8,,,                                     ,L16370
5s2.5p.7p,3D,2,5,,107745.4,,,                                     ,L16370
5s2.5p.7p,3D,3,7,,113934.4,,,                                     ,L16370
5s.5p3,1P*,1,3,,107466.5,,,  70         :    21            3S*  ,L16325
5s2.5p.7p,3P,0,1,,107564.2,,,                                     ,L16370
5s2.5p.7p,3P,1,3,,113194.0,,,                                     ,L16370
5s2.5p.7p,3P,2,5,,113843.2,,,                                     ,L16370
5s2.5p.7p,1P,1,3,,107625.5,,,                                     ,L16370
5s2.5p.7s,1P*,1,3,,108309.0,,,  71         :    28            3P*  ,L16325
5s2.5p.4f,3G,3,7,,111269.0,,,                                     ,L16370
5s2.5p.4f,3G,4,9,,111432.0,,,                                     ,L16370
5s2.5p.4f,3G,5,11,,112396.2,,,                                     ,L16370
5s2.5p.4f,3D,3,7,,111927.1,,,                                     ,L16370
5s2.5p.4f,3D,2,5,,112967.5,,,                                     ,L16370
5s2.5p.4f,3D,1,3,,112984.9,,,                                     ,L16370
5s2.5p.4f,1D,2,5,,112060.0,,,                                     ,L16370
5s2.5p.4f,1G,4,9,,112444.7,,,                                     ,L16370
5s2.5p.6d,3P*,2,5,,113323.2,,,                                     ,L16370
5s2.5p.6d,3P*,1,3,,113348.3,,,                                     ,L16370
5s2.5p.8s,3P*,0,1,,113902.2,,,                                     ,L16325
5s2.5p.8s,3P*,1,3,,114051.7,,,                                     ,L16325
5s2.5p.8s,3P*,2,5,,120527.5,,,                                     ,L16370
5s2.5p.6d,1D*,2,5,,114041.4,,,                                     ,L16370
5s2.5p.7p,3S,1,3,,114112.4,,,                                     ,L16370
