Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f.(2F*).5d2.(3F),*,3/2,4,,5924.204,,,1.241,  26  2P*            :    25                      (2F*)(1D) 2P*            ,
4f.(2F*).5d2.(3F),*,7/2,8,,5942.798,,,1.145,  26  4F*            :    22                      (2F*)(3F) 4D*            ,
4f.(2F*).5d2.(1G),*,11/2,12,,5969.007,,,0.954,  32  2I*            :    30                      (2F*)(3F) 2I*            ,
4f.5d.(3F*).6s,*,5/2,6,,6517.619,,,0.954,  14  2F*            :    14                      (3D*) 2D*                ,
4f.5d.(3D*).6s,*,3/2,4,,6521.332,,,0.924,  28  2D*            :    27                      (3D*) 4D*                ,
4f.5d.(3F*).6s,*,5/2,6,,6549.908,,,,  20  2F*            :    15                      (1D*) 2D*                ,
4f.(2F*).5d2.(3F),*,9/2,10,,6638.258,,,1.215,  27  4F*            :    26  4f.5d.(3G*).6s      4G*                      ,
4f2.(3H).5d,2H,9/2,10,,7011.804,,,0.889,  65                 :    19                      (3H) 4I                  ,
4f2.(3H).5d,2H,11/2,12,,8278.054,,,0.957,  56                 :    14                      (3F) 2H                  ,
4f.5d.(3D*).6s,4D*,1/2,2,,7061.838,,,,  95                 :     2                      (1P*) 2P*                ,
4f.5d.(3D*).6s,4D*,3/2,4,,7818.147,,,1.099,  67                 :    14                      (1D*) 2D*                ,
4f.5d.(3D*).6s,4D*,5/2,6,,8175.863,,,1.271,  75                 :     7                      (1F*) 2F*                ,
4f.5d.(3D*).6s,4D*,7/2,8,,8402.668,,,1.343,  69                 :    13                      (1F*) 2F*                ,
4f2.(3H).5d,4K,11/2,12,,7092.265,,,0.803,  83                 :     7                      (3H) 2I                  ,
4f2.(3H).5d,4K,13/2,14,,8423.672,,,0.980,  96                 :     2                      (3H) 2I                  ,
4f2.(3H).5d,4K,15/2,16,,9771.956,,,1.090, 100                                                                       ,
4f2.(3H).5d,4K,17/2,18,,11165.796,,,1.187, 100                                                                       ,
4f.(2F*).5d2.(3P),4G*,5/2,6,,7202.529,,,1.106,  91                 :     3  4f.5d.(3F*).6s      2F*                      ,
4f.(2F*).5d2.(3P),4G*,7/2,8,,7878.328,,,1.195,  83                 :     5  4f.5d.(3G*).6s      2G*                      ,
4f.(2F*).5d2.(3P),4G*,9/2,10,,8804.224,,,1.160,  69                 :     9  4f.5d.(3G*).6s      2G*                      ,
4f.(2F*).5d2.(3P),4G*,11/2,12,,10035.711,,,,  93                 :     2  4f.5d.(3H*).6s      2H*                      ,
4f.5d.(3G*).6s,4G*,11/2,12,,7233.627,,,1.266,  80                 :    14  4f.(2F*).5d2.(3F)   4G*                      ,
4f.5d.(3F*).6s,*,7/2,8,,7259.075,,,1.140,  39  2F*            :    18  4f.(2F*).5d2.(3F)   2F*                      ,
4f.(2F*).5d2.(3F),4P*,3/2,4,,7278.922,,,,  85                 :     6                      (2F*)(3F) 2P*            ,
4f.(2F*).5d2.(3F),4P*,1/2,2,,7522.458,,,,  84                 :    12                      (2F*)(3F) 2S*            ,
4f.(2F*).5d2.(3F),4P*,5/2,6,,7746.185,,,,  77                 :     7  4f.5d.(3D*).6s      2D*                      ,
4f.(2F*).5d2.(3F),2I*,13/2,14,,7293.938,,,1.100,  48                 :    37                      (2F*)(1G) 2I*            ,
4f2.(3F).6s,4F,3/2,4,,7454.951,,,0.407,  95                 :     2                      (1D) 2D                  ,
4f2.(3F).6s,4F,5/2,6,,7722.285,,,0.986,  68                 :    27                      (3F) 2F                  ,
4f2.(3F).6s,4F,7/2,8,,8531.678,,,1.213,  89                 :     4                      (3F) 2F                  ,
4f2.(3F).6s,4F,9/2,10,,8774.064,,,1.247,  61                 :    34                      (1G) 2G                  ,
4f.(2F*).5d2.(1G),*,9/2,10,,7713.089,,,0.950,  28  2H*            :    26                      (2F*)(3F) 2H*            ,
4f2.(3H).5d,4I,9/2,10,,8131.217,,,0.751,  78                 :    11                      (3H) 2H                  ,
4f2.(3H).5d,4I,11/2,12,,8896.729,,,0.961,  92                 :     4                      (3H) 2I                  ,
4f2.(3H).5d,4I,13/2,14,,10058.226,,,1.105,  97                 :     2                      (3H) 2I                  ,
4f2.(3H).5d,4I,15/2,16,,11309.972,,,1.193,  98                 :     1                      (3H) 2K                  ,
4f.(2F*).5d2.(3F),4S*,3/2,4,,8169.698,,,,  66                 :    14                      (2F*)(1D) 2P*            ,
4f.(2F*).5d2.(3P),2D*,5/2,6,,8280.946,,,1.189,  48                 :     7                      (2F*)(3F) 4D*            ,
4f.(2F*).5d2.(3P),2D*,3/2,4,,8702.444,,,,  50                 :    11                      (2F*)(3F) 2D*            ,
4f2.(3H).5d,4G,5/2,6,,8448.641,,,0.633,  49                 :    30                      (3F) 4G                  ,
4f2.(3H).5d,4G,7/2,8,,9316.912,,,0.992,  54                 :    32                      (3F) 4G                  ,
4f2.(3H).5d,4G,9/2,10,,10314.162,,,1.04,  55                 :    34                      (3F) 4G                  ,
4f2.(3H).5d,4G,11/2,12,,11458.353,,,1.235,  48                 :    35                      (3F) 4G                  ,
4f2.(3F).6s,2F,5/2,6,,8789.380,,,0.905,  69                 :    28                      (3F) 4F                  ,
4f2.(3F).6s,2F,7/2,8,,9053.629,,,1.026,  54                 :    41                      (1G) 2G                  ,
4f.5d.(3H*).6s,*,11/2,12,,8927.514,,,1.071,  36  2H*            :    31  4f.(2F*).5d2.(3F)   2H*                      ,
4f.(2F*).5d2.(1G),2G*,7/2,8,,9198.326,,,,  64                 :    16                      (2F*)(3P) 2G*            ,
4f.(2F*).5d2.(3P),*,1/2,2,,9269.826,,,,  41  4D*            :    35                      (2F*)(3F) 2P*            ,
4f.5d.(3P*).6s,4P*,1/2,2,,9491.493,,,,  97                 :     1                      (1P*) 2P*                ,
4f.5d.(3P*).6s,4P*,3/2,4,,9634.186,,,1.690,  87                 :     4                      (1P*) 2P*                ,
4f.5d.(3P*).6s,4P*,5/2,6,,10641.442,,,1.526,  86                 :     3  4f.(2F*).5d2.(3P)   4D*                      ,
4f.(2F*).5d2.(1G),*,9/2,10,,9723.335,,,1.348,  29  2G*            :    18                      (2F*)(3P) 4G*            ,
4f2.(3H).5d,4H,7/2,8,,9725.733,,,0.694,  63                 :    25                      (3F) 4H                  ,
4f2.(3H).5d,4H,9/2,10,,10703.305,,,0.969,  62                 :    27                      (3F) 4H                  ,
4f2.(3H).5d,4H,11/2,12,,11759.467,,,1.124,  64                 :    28                      (3F) 4H                  ,
4f2.(3H).5d,4H,13/2,14,,13027.758,,,1.210,  59                 :    22                      (3F) 4H                  ,
4f.(2F*).6s2,2F*,5/2,6,,9778.986,,,,  73                 :    13  4f.(2F*).5d2.(1S)   2F*                      ,
4f.(2F*).5d2.(3F),*,3/2,4,,10088.640,,,,  23  2P*            :    17                      (2F*)(3P) 4D*            ,
4f.5d.(1F*).6s,2F*,5/2,6,,10114.883,,,0.938,  54                 :     8  4f.(2F*).5d2.(1D)   2F*                      ,
4f.5d.(1F*).6s,2F*,7/2,8,,10274.971,,,1.195,  52                 :    22                      (3D*) 4D*                ,
4f.(2F*).5d2.(3P),*,3/2,4,,10454.272,,,,  31  4D*            :    19                      (2F*)(3P) 4F*            ,
4f2.(3H).5d,2I,11/2,12,,10646.070,,,0.951,  46                 :    22                      (1G) 2I                  ,
4f2.(3H).5d,2I,13/2,14,,11454.701,,,1.101,  48                 :    27                      (1G) 2I                  ,
4f.(2F*).5d2.(3P),*,1/2,2,,10684.441,,,,  36  4D*            :    29                      (2F*)(3F) 2P*            ,
4f.(2F*).5d2.(3P),*,5/2,6,,10798.555,,,0.971,  37  4D*            :    27                      (2F*)(3P) 4F*            ,
4f2.(3H).5d,,5/2,6,,10820.486,,,,  34  2F             :    26                      (3F) 2F                  ,
4f2.(1G).6s,2G,9/2,10,,10869.541,,,1.193,  60                 :    36                      (3F) 4F                  ,
4f2.(1G).6s,2G,7/2,8,,11015.579,,,1.016,  49                 :    39                      (3F) 2F                  ,
4f.(2F*).5d2.(1G),2H*,9/2,10,,10924.876,,,,  44                 :    22                      (2F*)(1G) 2G*            ,
4f.(2F*).5d2.(1G),2H*,11/2,12,,11742.245,,,1.081,  51                 :    20  4f.5d.(1H*).6s      2H*                      ,
4f.(2F*).5d2.(3P),4F*,3/2,4,,11007.799,,,,  58                 :    12                      (2F*)(3P) 4D*            ,
4f.(2F*).5d2.(3P),4F*,5/2,6,,11325.781,,,,  55                 :    19                      (2F*)(3P) 4D*            ,
