Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s2.2s.5d""","=""3D""","=""3""","=""""","=""184633.72""","=""""","=""0.21""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.5d""","=""3D""","=""2""","=""""","=""184633.72""","=""""","=""0.21""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.5f""","=""3F*""","=""4""","=""""","=""184908.78""","=""""","=""0.18""","=""  97                                               ""","=""L12120"""
"=""1s2.2s.5f""","=""3F*""","=""3""","=""""","=""184908.78""","=""""","=""0.18""","=""  97                                               ""","=""L12120"""
"=""1s2.2s.5f""","=""3F*""","=""2""","=""""","=""184908.78""","=""""","=""0.18""","=""  97                                               ""","=""L12120"""
"=""1s2.2s.5f""","=""1F*""","=""3""","=""""","=""184958.2""","=""""","=""0.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.5g""","=""3G""","=""3""","=""""","=""185261.85""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.5g""","=""3G""","=""5""","=""""","=""185261.85""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.5g""","=""3G""","=""4""","=""""","=""185261.85""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.5g""","=""1G""","=""4""","=""""","=""185261.85""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.5d""","=""1D""","=""2""","=""""","=""185323.18""","=""""","=""0.10""","=""  97                                               ""","=""L12120"""
"=""1s2.2p.3s""","=""1P*""","=""1""","=""""","=""186629.92""","=""""","=""0.15""","=""  44  1s2.2s.6p 1P*       :    17  1s2.2s.5p  1P*  ""","=""L12120"""
"=""1s2.2s.6s""","=""3S""","=""1""","=""""","=""188170.6""","=""""","=""0.3""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.6s""","=""1S""","=""0""","=""""","=""188550""","=""""","=""70""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.3p""","=""1P""","=""1""","=""""","=""189127.98""","=""""","=""0.19""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.6p""","=""3P*""","=""0,1,2""","=""""","=""189742.5""","=""""","=""0.6""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.6d""","=""3D""","=""1,2,3""","=""""","=""190254.4""","=""""","=""1.1""","=""  88                      :    11  1s2.2p.3p  3D   ""","=""L12120"""
"=""1s2.2s.6p""","=""1P*""","=""1""","=""""","=""190260""","=""""","=""180""","=""  68  1s2.2s.7p 1P*       :    31  1s2.2s.6p  1P*  ""","=""L12120"""
"=""1s2.2s.6f""","=""3F*""","=""4""","=""""","=""190331.88""","=""""","=""0.18""","=""  95                                               ""","=""L12120"""
"=""1s2.2s.6f""","=""3F*""","=""3""","=""""","=""190331.88""","=""""","=""0.18""","=""  95                                               ""","=""L12120"""
"=""1s2.2s.6f""","=""3F*""","=""2""","=""""","=""190331.88""","=""""","=""0.18""","=""  95                                               ""","=""L12120"""
"=""1s2.2s.6f""","=""1F*""","=""3""","=""""","=""190429.07""","=""""","=""0.14""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.6g""","=""3G""","=""3""","=""""","=""190648.83""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.6g""","=""3G""","=""5""","=""""","=""190648.83""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.6g""","=""3G""","=""4""","=""""","=""190648.83""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.6g""","=""1G""","=""4""","=""""","=""190648.83""","=""""","=""0.3""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.6d""","=""1D""","=""2""","=""""","=""190654.4""","=""""","=""0.7""","=""  97                                               ""","=""L12120"""
