Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p4.(3P<2>).4f,2[3]*,5/2,6,,139182.58,,,,L6925
5s2.5p4.(3P<2>).7p,2[2]*,5/2,6,,139128.78,,,,L6925
5s2.5p4.(3P<2>).7p,2[2]*,3/2,4,,140986.89,,,,L6925
5s2.5p4.(3P<2>).7p,2[1]*,3/2,4,,139193.80,,,,L6925
5s2.5p4.(3P<2>).7p,2[1]*,1/2,2,,140011.58,,,,L6925
5s2.5p4.(3P<2>).4f,2[2]*,3/2,4,,139498.46,,,,L6925
5s2.5p4.(3P<2>).4f,2[2]*,5/2,6,,140209.99,,,,L6925
5s2.5p4.(3P<2>).7p,2[3]*,5/2,6,,139645.98,,,,L6925
5s2.5p4.(3P<2>).7p,2[3]*,7/2,8,,139733.89,,,,L6925
5s2.5p4.(3P<2>).4f,2[5]*,11/2,12,,139782.0,,,,L6925
5s2.5p4.(3P<2>).4f,2[5]*,9/2,10,,139903.63,,,,L6925
5s2.5p4.(3P<2>).4f,2[1]*,1/2,2,,140185.67,,,,L6925
5s2.5p4.(3P<2>).4f,2[1]*,3/2,4,,140335.09,,,,L6925
5s2.5p4.(3P<0>).7s,2[0],1/2,2,,140883.42,,,2.25,L6925
5s2.5p4.(3P<1>).7s,2[1],3/2,4,,142382.13,,,1.59,L6925
5s2.5p4.(3P<1>).7s,2[1],1/2,2,,142929.90,,,1.05,L6925
5s2.5p4.(3P<0>).6d,2[2],3/2,4,,144140.16,,,0.83,L6925
5s2.5p4.(3P<0>).6d,2[2],5/2,6,,144384.90,,,1.21,L6925
5s2.5p4.(3P<1>).6d,2[1],1/2,2,,145222.72,,,0.38,L6925
5s2.5p4.(3P<1>).6d,2[1],3/2,4,,148085.19,,,1.07,L6925
5s2.5p4.(3P<1>).6d,2[3],7/2,8,,145587.61,,,1.27,L6925
5s2.5p4.(3P<1>).6d,2[3],5/2,6,,146927.86,,,0.98,L6925
5s2.5p4.(3P<1>).6d,2[2],3/2,4,,145940.34,,,1.04,L6925
5s2.5p4.(3P<1>).6d,2[2],5/2,6,,146305.54,,,1.30,L6925
5s2.5p4.(3P<2>).8s,2[2],5/2,6,,147310.54,,,,L6925
5s2.5p4.(3P<2>).8s,2[2],3/2,4,,147564.38,,,,L6925
5s2.5p4.(3P<0>).4f,2[3]*,5/2,6,,147517.71,,,,L6925
5s2.5p4.(3P<0>).4f,2[3]*,7/2,8,,147569.10,,,,L6925
5s2.5p4.(1S<0>).6p,2[1]*,1/2,2,,148224.69,,,,L6925
5s2.5p4.(1S<0>).6p,2[1]*,3/2,4,,149191.69,,,,L6925
5s2.5p4.(3P<1>).4f,2[2]*,3/2,4,,148375.10,,,,L6925
5s2.5p4.(3P<1>).4f,2[2]*,5/2,6,,148951.80,,,,L6925
5s2.5p4.(3P<1>).4f,2[4]*,9/2,10,,148585.89,,,,L6925
5s2.5p4.(3P<1>).4f,2[4]*,7/2,8,,149280.40,,,,L6925
5s2.5p4.(3P<1>).4f,2[3]*,7/2,8,,149682.65,,,,L6925
5s2.5p4.(3P<1>).4f,2[3]*,5/2,6,,149800.20,,,,L6925
5s2.5p4.(1D<2>).7s,2[2],5/2,6,,149697.24,,,,L6925
5s2.5p4.(1D<2>).7s,2[2],3/2,4,,149802.80,,,,L6925
5s2.5p4.(3P<2>).5f,2[5]*,11/2,12,,150096.85,,,,L6925
5s2.5p4.(3P<2>).5f,2[5]*,9/2,10,,150211.76,,,,L6925
5s2.5p4.(3P<2>).5g,2[5],9/2,10,,151442.28,,,,L6925
5s2.5p4.(3P<2>).5g,2[5],11/2,12,,151451.30,,,,L6925
5s2.5p4.(3P<2>).5g,2[4],7/2,8,,151446.61,,,,L6925
5s2.5p4.(3P<2>).5g,2[4],9/2,10,,151452.61,,,,L6925
5s2.5p4.(3P<2>).5g,2[3],7/2,8,,151498.90,,,,L6925
5s2.5p4.(3P<2>).5g,2[3],5/2,6,,151500.96,,,,L6925
5s2.5p4.(3P<2>).5g,2[6],13/2,14,,151522.5,,,,L6925
5s2.5p4.(3P<2>).5g,2[6],11/2,12,,151522.63,,,,L6925
5s2.5p4.(3P<2>).5g,2[2],3/2,4,,151564.44,,,,L6925
5s2.5p4.(3P<2>).5g,2[2],5/2,6,,151564.61,,,,L6925
5s2.5p4.(1D<2>).6d,2[4],7/2,8,,152708.92,,,0.92,L6925
5s2.5p4.(1D<2>).6d,2[4],9/2,10,,152806.73,,,1.11,L6925
5s2.5p4.(1D<2>).6d,2[1],3/2,4,,153584.09,,,,L6925
5s2.5p4.(1D<2>).6d,2[1],1/2,2,,154382.83,,,,L6925
5s2.5p4.(1D<2>).6d,2[3],5/2,6,,153585.71,,,1.02,L6925
5s2.5p4.(1D<2>).6d,2[3],7/2,8,,153978.37,,,1.14,L6925
5s2.5p4.(1D<2>).6d,2[2],5/2,6,,154032.42,,,1.05,L6925
5s2.5p4.(1D<2>).6d,2[2],3/2,4,,154608.07,,,,L6925
5s2.5p4.(1D<2>).4f,2[1]*,3/2,4,,155463.41,,,,L6925
5s2.5p4.(3P<2>).6f,2[5]*,11/2,12,,155828.73,,,,L6925
5s2.5p4.(3P<2>).6f,2[5]*,9/2,10,,155842.04,,,,L6925
5s2.5p4.(1D<2>).4f,2[5]*,11/2,12,,156128.46,,,,L6925
5s2.5p4.(1D<2>).4f,2[5]*,9/2,10,,156201.84,,,,L6925
5s2.5p4.(1D<2>).4f,2[2]*,5/2,6,,156235.80,,,,L6925
5s2.5p4.(1D<2>).4f,2[2]*,3/2,4,,156302.13,,,,L6925
5s2.5p4.(3P<2>).6g,2[5],11/2,12,,156872.9,,,,L6925
5s2.5p4.(3P<2>).6g,2[5],9/2,10,,156873.84,,,,L6925
5s2.5p4.(3P<2>).6g,2[4],7/2,8,,156875.52,,,,L6925
5s2.5p4.(3P<2>).6g,2[4],9/2,10,,156876.96,,,,L6925
5s2.5p4.(3P<2>).6g,2[3],5/2,6,,156902.5,,,,L6925
5s2.5p4.(3P<2>).6g,2[3],7/2,8,,156904.21,,,,L6925
5s2.5p4.(3P<2>).6g,2[6],11/2,12,,156913.68,,,,L6925
5s2.5p4.(3P<2>).6g,2[6],13/2,14,,156913.8,,,,L6925
5s2.5p4.(3P<1>).8s,2[1],3/2,4,,157091.9,,,,L6925
5s2.5p4.(3P<1>).8s,2[1],1/2,2,,157368.5,,,,L6925
5s2.5p4.(1D<2>).4f,2[3]*,7/2,8,,157102.56,,,,L6925
5s2.5p4.(1D<2>).4f,2[3]*,5/2,6,,157221.03,,,,L6925
5s2.5p4.(1D<2>).4f,2[4]*,9/2,10,,157416.58,,,,L6925
5s2.5p4.(1D<2>).4f,2[4]*,7/2,8,,157432.63,,,,L6925
5s2.5p4.(3P<0>).5g,2[4],7/2,8,,159617.11,,,,L6925
5s2.5p4.(3P<0>).5g,2[4],9/2,10,,159617.54,,,,L6925
5s2.5p4.(3P<2>).7g,2[5],11/2,12,,160143.92,,,,L6925
5s2.5p4.(3P<2>).7g,2[6],13/2,14,,160162.9,,,,L6925
5s2.5p4.(3P<2>).7g,2[6],11/2,12,,160164.2,,,,L6925
5s2.5p4.(3P<1>).5g,2[3],5/2,6,,161238.07,,,,L6925
5s2.5p4.(3P<1>).5g,2[3],7/2,8,,161238.22,,,,L6925
5s2.5p4.(3P<1>).5g,2[5],11/2,12,,161257.45,,,,L6925
5s2.5p4.(3P<1>).5g,2[4],7/2,8,,161354.15,,,,L6925
5s2.5p4.(3P<1>).5g,2[4],9/2,10,,161354.8,,,,L6925
Xe III (5s2.5p4 3P<2>),Limit,---,,[,169175,],30,,L6925
Xe III (5s2.5p4 3P<0>),Limit,---,,,177305,,,,
Xe III (5s2.5p4 3P<1>),Limit,---,,,178969,,,,
