Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f12.(3F<4>).5d<3/2>,"(4,3/2)",9/2,10,,24563.288,,,1.140,             or  :    24   (3F) 4G ,
4f12.(3F<4>).5d<3/2>,"(4,3/2)",11/2,12,,24745.034,,,1.085,             or  :    26   (3F) 4G ,
,*,15/2,16,,23973.877,,,1.220,                                   ,
,*,17/2,18,,24053.517,,,1.175,                                   ,
,*,11/2,12,,24415.265,,,1.100,                                   ,
,*,15/2,16,,24431.042,,,1.030,                                   ,
,*,11/2,12,,24687.523,,,0.790,                                   ,
,*,19/2,20,,24708.113,,,1.190,                                   ,
,*,13/2,14,,24935.855,,,1.070,                                   ,
4f12.(3H).5d,,7/2,8,,25041.268,,,1.130,  28  2F                           ,
,*,11/2,12,,25382.379,,,1.160,                                   ,
4f12.(3H).5d,,13/2,14,,25532.352,,,,  63  4K                           ,
4f12.(3F).5d,,11/2,12,,25586.376,,,1.095,  38  4G                           ,
4f12.(3H<6>).6p<1/2>?,"(6,1/2)*?",11/2,12,,25592.343,,,1.200,                                   ,
4f12.(3H<6>).6p<1/2>?,"(6,1/2)*?",13/2,14,,26098.972,,,1.115,                                   ,
,*,13/2,14,,25604.266,,,1.015,                                   ,
,*,11/2,12,,25971.476,,,1.125,                                   ,
,*,9/2,10,,25996.174,,,1.250,                                   ,
4f12.(3F).5d,,9/2,10,,26131.105,,,1.155,  33  4F                           ,
,*,11/2,12,,26399.775,,,1.085,                                   ,
4f12.(3F).5d,,13/2,14,,26414.450,,,1.125,  41  4H                           ,
,*,13/2,14,,26769.141,,,1.165,                                   ,
,*,11/2,12,,26805.448,,,1.215,                                   ,
4f12.(3H).5d,,7/2,8,,26949.099,,,1.060,  24  4F                           ,
,*,9/2,10,,27454.514,,,0.980,                                   ,
,*,13/2,14,,27513.555,,,1.105,                                   ,
4f12.(3H).5d,,11/2,12,,27540.195,,,1.030,  43  4I                           ,
4f12.(3H).5d,,9/2,10,,27608.985,,,1.110,  55  2G                           ,
,*,11/2,12,,27642.658,,,1.050,                                   ,
,*,9/2,10,,27890.690,,,0.950,                                   ,
,*,13/2,14,,28082.701,,,1.020,                                   ,
,*,11/2,12,,28361.386,,,1.030,                                   ,
4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",9/2,10,,29011.015,,,1.110,                                   ,
4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",11/2,12,,29492.329,,,1.095,                                   ,
4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",15/2,16,,29640.863,,,1.185,                                   ,
4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",13/2,14,,30621.102,,,1.170,                                   ,
,*,13/2,14,,29119.606,,,1.095,                                   ,
,*,7/2,8,,29263.402,,,1.165,                                   ,
,*,15/2,16,,29472.789,,,1.145,                                   ,
,*,13/2,14,,29628.405,,,1.165,                                   ,
,*,7/2,8,,29780.571,,,,                                   ,
,*,9/2,10,,29783.733,,,1.160,                                   ,
,*,11/2,12,,29858.739,,,1.125,                                   ,
,*,13/2,14,,29892.370,,,1.135,                                   ,
,*,15/2,16,,29972.408,,,1.190,                                   ,
,*,13/2,14,,30008.331,,,1.120,                                   ,
,*,9/2,10,,30028.618,,,1.050,                                   ,
,*,11/2,12,,30122.939,,,1.125,                                   ,
,*,7/2,8,,30130.762,,,1.090,                                   ,
,*,11/2,12,,30157.742,,,1.070,                                   ,
4f12.(3F<4>).6p<1/2>?,"(4,1/2)*?",9/2,10,,30317.974,,,1.130,                                   ,
4f12.(3F<4>).6p<1/2>?,"(4,1/2)*?",7/2,8,,30894.447,,,1.265,                                   ,
4f12.(3H).5d,,9/2,10,,30872.428,,,,  35  4I                           ,
,*,9/2,10,,30917.436,,,1.070,                                   ,
,*,7/2,8,,31312.019,,,1.095,                                   ,
,*,9/2,10,,31381.779,,,1.095,                                   ,
,*,11/2,12,,31385.667,,,1.055,                                   ,
,*,13/2,14,,31418.481,,,1.175,                                   ,
,*,11/2,12,,31801.102,,,1.135,                                   ,
,*,9/2,10,,31844.124,,,1.170,                                   ,
,*,7/2,8,,31902.682,,,1.100,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<0>),"(15/2,0)",15/2,16,,32048.749,,,1.275,                                   ,
,*,11/2,12,,32073.360,,,1.140,                                   ,
,*,9/2,10,,32267.246,,,1.305,                                   ,
,*,9/2,10,,32502.680,,,1.230,                                   ,
,*,13/2,14,,32528.401,,,1.165,                                   ,
,*,11/2,12,,32618.753,,,1.115,                                   ,
,*,9/2,10,,32753.468,,,1.200,                                   ,
,*,7/2,8,,32790.085,,,1.150,                                   ,
,*,11/2,12,,32811.006,,,1.090,                                   ,
4f12.(3H<5>).6p<1/2>?,"(5,1/2)*?",9/2,10,,32896.371,,,1.220,                                   ,
4f12.(3H<5>).6p<1/2>?,"(5,1/2)*?",11/2,12,,33105.534,,,1.065,                                   ,
,*,13/2,14,,33012.493,,,1.060,                                   ,
,*,9/2,10,,33028.394,,,1.105,                                   ,
,*,9/2,10,,33129.912,,,1.195,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",17/2,18,,33217.200,,,1.195,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",15/2,16,,33547.268,,,1.135,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",13/2,14,,33753.920,,,1.195,                                   ,
,*,9/2,10,,33307.365,,,1.250,                                   ,
,*,7/2,8,,33539.273,,,0.915,                                   ,
,*,9/2,10,,33565.895,,,1.100,                                   ,
,*,9/2,10,,33649.964,,,1.030,                                   ,
,*,11/2,12,,33659.536,,,1.175,                                   ,
,*,13/2,14,,33674.250,,,1.135,                                   ,
,*,11/2,12,,33721.545,,,1.190,                                   ,
,*,9/2,10,,33804.465,,,1.180,                                   ,
,*,11/2,12,,33988.301,,,1.160,                                   ,
,*,9/2,10,,34074.875,,,1.245,                                   ,
,*,7/2,8,,34148.162,,,1.255,                                   ,
,*,9/2,10,,34196.388,,,1.165,                                   ,
,*,7/2,8,,34203.251,,,1.200,                                   ,
,*,11/2,12,,34341.611,,,1.135,                                   ,
,*,9/2,10,,34397.143,,,1.150,                                   ,
,*,13/2,14,,34545.248,,,1.140,                                   ,
,*,11/2,12,,34563.257,,,1.145,                                   ,
,*,9/2,10,,34674.173,,,1.135,                                   ,
,*,7/2,8,,34902.323,,,1.145,                                   ,
,*,11/2,12,,34972.437,,,1.155,                                   ,
,*,9/2,10,,35063.892,,,1.170,                                   ,
,*,11/2,12,,35215.487,,,1.150,                                   ,
,*,13/2,14,,35276.531,,,1.180,                                   ,
,*,7/2,8,,35359.885,,,1.195,                                   ,
