Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d8.(3P).5p,2P*,3/2,4,,85154.023,,,1.411,  46         :    20  4d8.(3P).5p            4S*  ,L11817
4d8.(3P).5p,2P*,1/2,2,,88041.479,,,0.70,  43         :    43  4d8.(3P).5p            2P*  ,L11817
4d8.(1G).5p,2F*,7/2,8,,86046.027,,,1.09,  55         :    27  4d8.(1D).5p            2F*  ,L11817
4d8.(1G).5p,2F*,5/2,6,,87122.977,,,0.92?,  80         :     7  4d8.(1D).5p            2F*  ,L11817
4d8.(3P).5p,4S*,3/2,4,,86282.471,,,2.00,  67         :    18  4d8.(1D).5p            2P*  ,L11817
4d8.(1G).5p,2G*,7/2,8,,89685.102,,,0.89,  94                                              ,L11817
4d8.(1G).5p,2G*,9/2,10,,89985.400,,,1.11,  95                                              ,L11817
4d7.5s2,2F,7/2,8,,102937.471,,,,  97                                              ,L11817
4d7.(4F).5s.5p.(3P*),6D*,9/2,10,,104070.390,,,,  53         :    35  4d7.(4F).5s.5p.(3P*)   6F*  ,L11817
4d7.(4F).5s.5p.(3P*),6F*,11/2,12,,104445.725,,,,  87         :    10  4d7.(4F).5s.5p.(3P*)   6G*  ,L11817
4d7.(4F).5s.5p.(3P*),6F*,9/2,10,,106848.504,,,,  43         :    31  4d7.(4F).5s.5p.(3P*)   6D*  ,L11817
4d8.(3F).6s,4F,9/2,10,,104618.944,,,,  99                                              ,L11817
4d8.(3F).6s,4F,7/2,8,,108148.667,,,,  62         :    38  4d8.(3F).6s            2F   ,L11817
4d8.(3F).6s,4F,5/2,6,,108150.262,,,,  77         :    22  4d8.(3F).6s            2F   ,L11817
4d8.(3F).6s,4F,3/2,4,,109332.507,,,,  89         :    10  4d8.(1D).6s            2D   ,L11817
4d8.(3F).6s,2F,7/2,8,,105310.829,,,,  61         :    37  4d8.(3F).6s            4F   ,L11817
4d8.(3F).6s,2F,5/2,6,,109931.161,,,,  69         :    17  4d8.(3F).6s            4F   ,L11817
4d7.(4F).5s.5p.(3P*),6G*,11/2,12,,108710.553,,,,  78         :    11  4d7.(4F).5s.5p.(3P*)   6F*  ,L11817
4d7.(4F).5s.5p.(3P*),6G*,9/2,10,,109770.727,,,,  70         :    18  4d7.(4F).5s.5p.(3P*)   6F*  ,L11817
4d8.(3F).5d,4D,7/2,8,,110207.963,,,,  82         :    14  4d8.(3F).5d            4F   ,L11817
4d8.(3F).5d,4D,5/2,6,,111889.465,,,,  20         :    26  4d8.(3F).5d            2D   ,L11817
4d8.(3F).5d,4D,3/2,4,,113540.626,,,,  44         :    33  4d8.(3F).5d            2P   ,L11817
4d8.(3F).5d,4D,1/2,2,,113668.251,,,,  49         :    28  4d8.(3F).5d            2P   ,L11817
4d8.(3F).5d,4P,5/2,6,,110236.690,,,,  64         :    31  4d8.(3F).5d            4D   ,L11817
4d8.(3F).5d,4P,3/2,4,,114323.588,,,,  59         :    18  4d8.(3F).5d            4D   ,L11817
4d8.(3F).5d,4P,1/2,2,,115079.237,,,,  46         :    39  4d8.(3F).5d            4D   ,L11817
4d8.(3F).5d,4H,13/2,14,,110575.144,,,,  99                                              ,L11817
4d8.(3F).5d,4H,9/2,10,,113838.597,,,,  60         :    25  4d8.(3F).5d            2H   ,L11817
4d8.(3F).5d,4H,11/2,12,,113918.185,,,,  60         :    28  4d8.(3F).5d            2H   ,L11817
4d8.(3F).5d,4H,7/2,8,,115262.112,,,,  64         :    17  4d8.(3F).5d            4G   ,L11817
4d8.(3F).5d,2H,11/2,12,,110627.250,,,,  52         :    39  4d8.(3F).5d            4H   ,L11817
4d8.(3F).5d,2H,9/2,10,,115527.547,,,,  49         :    22  4d8.(3F).5d            4H   ,L11817
4d8.(3F).5d,2P,3/2,4,,110824.599,,,,  60         :    17  4d8.(3F).5d            4P   ,L11817
4d8.(3F).5d,2P,1/2,2,,115429.536,,,,  60         :    23  4d8.(3F).5d            4P   ,L11817
4d8.(3F).5d,4F,9/2,10,,110889.354,,,,  48         :    37  4d8.(3F).5d            4G   ,L11817
4d8.(3F).5d,4F,7/2,8,,114243.721,,,,  45         :    25  4d8.(3F).5d            2G   ,L11817
4d8.(3F).5d,4F,5/2,6,,114650.390,,,,  42         :    27  4d8.(3F).5d            2D   ,L11817
4d8.(3F).5d,4F,3/2,4,,115452.251,,,,  56         :    10  4d8.(3P).6s            2P   ,L11817
4d8.(3F).5d,4G,11/2,12,,110913.371,,,,  79         :    19  4d8.(3F).5d            2H   ,L11817
4d8.(3F).5d,4G,7/2,8,,114004.366,,,,  44         :    28  4d8.(3F).5d            2F   ,L11817
4d8.(3F).5d,4G,9/2,10,,114231.138,,,,  44         :    20  4d8.(3F).5d            2G   ,L11817
4d8.(3F).5d,4G,5/2,6,,115345.524,,,,  60         :    22  4d8.(3F).5d            4F   ,L11817
4d8.(3F).5d,2F,7/2,8,,111092.867,,,,  61         :    18  4d8.(3F).5d            4F   ,L11817
4d8.(3F).5d,2F,5/2,6,,113903.399,,,,  38         :    34  4d8.(3F).5d            4D   ,L11817
4d8.(3F).5d,2G,9/2,10,,111249.946,,,,  53         :    33  4d8.(3F).5d            4F   ,L11817
4d8.(3F).5d,2G,7/2,8,,115773.785,,,,  54         :    16  4d8.(3F).5d            4G   ,L11817
4d7.(4F).5s.5p.(3P*),4F*,9/2,10,,113589.937,,,,  56         :    24  4d7.(4F).5s.5p.(3P*)   4G*  ,L11817
4d7.(4F).5s.5p.(3P*),4F*,7/2,8,,113755.586,,,,  50         :    24  4d7.(4F).5s.5p.(3P*)   4D*  ,L11817
4d7.(4F).5s.5p.(3P*),4F*,5/2,6,,115171.975,,,,  53         :    23  4d7.(4F).5s.5p.(3P*)   4D*  ,L11817
4d7.(4F).5s.5p.(3P*),4F*,3/2,4,,116607.901,,,,  64         :    15  4d7.(4F).5s.5p.(3P*)   4D*  ,L11817
4d7.(4F).5s.5p.(3P*),4G*,11/2,12,,114210.256,,,,  84         :    10  4d7.(4F).5s.5p.(3P*)   6G*  ,L11817
4d7.(4F).5s.5p.(3P*),4G*,9/2,10,,114951.871,,,,  38         :    29  4d7.(4F).5s.5p.(3P*)   4F*  ,L11817
4d7.(4F).5s.5p.(3P*),4G*,7/2,8,,116218.634,,,,  59         :    23  4d7.(4F).5s.5p.(3P*)   4D*  ,L11817
4d7.(4F).5s.5p.(3P*),4G*,5/2,6,,117284.419,,,,  68         :    12  4d7.(4F).5s.5p.(3P*)   4D*  ,L11817
4d8.(3P).6s,4P,5/2,6,,114943.260,,,,  63         :    27  4d8.(1D).6s            2D   ,L11817
4d8.(3P).6s,4P,3/2,4,,118147.288,,,,  82         :    14  4d8.(3P).6s            2P   ,L11817
4d8.(3P).6s,4P,1/2,2,,118153.951,,,,  96                                              ,L11817
4d8.(3F).6p,4D*,7/2,8,,115270.287,,,,  70         :    12  4d8.(3F).6p            4F*  ,L11817
4d8.(3F).6p,4D*,5/2,6,,119373.588,,,,  36         :    32  4d8.(3F).6p            2D*  ,L11817
4d8.(3F).6p,4D*,3/2,4,,119775.362,,,,  58         :    13  4d8.(3F).6p            2D*  ,L11817
4d8.(3F).6p,4D*,1/2,2,,120985.489,,,,  81         :     8  4d8.(1D).6p            2P*  ,L11817
4d8.(3P).6s,2P,3/2,4,,115305.155,,,,  32         :    28  4d8.(1D).6s            2D   ,L11817
4d8.(3P).6s,2P,1/2,2,,118921.076,,,,  96                                              ,L11817
4d8.(3F).6p,2G*,9/2,10,,116027.183,,,,  48         :    31  4d8.(3F).6p            4G*  ,L11817
4d8.(3F).6p,2G*,7/2,8,,121237.850,,,,  47         :    24  4d8.(3F).6p            4G*  ,L11817
4d8.(3F).6p,4G*,11/2,12,,116375.118,,,,  97                                              ,L11817
4d8.(3F).6p,4G*,7/2,8,,119146.345,,,,  51         :    20  4d8.(3F).6p            2F*  ,L11817
4d8.(3F).6p,4G*,9/2,10,,119728.092,,,,  53         :    23  4d8.(3F).6p            2G*  ,L11817
4d8.(3F).6p,4G*,5/2,6,,120555.638,,,,  58         :    19  4d8.(3F).6p            2F*  ,L11817
4d8.(3F).5d,2D,5/2,6,,116430.881,,,,  40         :    34  4d8.(3F).5d            2F   ,L11817
4d8.(3F).5d,2D,3/2,4,,116514.308,,,,  66         :     9  4d8.(1D).5d            2P   ,L11817
4d8.(3F).6p,2D*,5/2,6,,116662.501,,,,  39         :    35  4d8.(3F).6p            4D*  ,L11817
4d8.(3F).6p,2D*,3/2,4,,121345.842,,,,  27         :    17  4d8.(3F).6p            4F*  ,L11817
4d8.(3F).6p,4F*,9/2,10,,116681.687,,,,  69         :    22  4d8.(3F).6p            2G*  ,L11817
4d8.(3F).6p,4F*,7/2,8,,119675.917,,,,  32         :    16  4d8.(3F).6p            2G*  ,L11817
4d8.(3F).6p,4F*,5/2,6,,119776.834,,,,  23         :    24  4d7.(4P).5s.5p.(3P*)   6D*  ,L11817
4d8.(3F).6p,4F*,3/2,4,,120738.594,,,,  49         :    32  4d8.(3F).6p            2D*  ,L11817
4d8.(3F).6p,2F*,7/2,8,,116833.168,,,,  49         :    18  4d8.(3F).6p            4D*  ,L11817
4d8.(3F).6p,2F*,5/2,6,,121338.246,,,,  26         :    23  4d8.(3F).6p            4F*  ,L11817
4d7.(4F).5s.5p.(3P*),4D*,7/2,8,,117416.774,,,,  37         :    23  4d7.(4F).5s.5p.(3P*)   4F*  ,L11817
4d7.(4F).5s.5p.(3P*),4D*,5/2,6,,118248.514,,,,  30         :    23  4d7.(4F).5s.5p.(3P*)   4F*  ,L11817
4d7.(4F).5s.5p.(3P*),4D*,3/2,4,,118249.239,,,,  41         :    18  4d7.(4F).5s.5p.(3P*)   4F*  ,L11817
4d7.(4F).5s.5p.(3P*),4D*,1/2,2,,118935.501,,,,  63         :    18  4d7.(4P).5s.5p.(3P*)   4D*  ,L11817
4d7.(4F).5s.5p.(3P*),2G*,9/2,10,,119302.443,,,,  54         :    13  4d7.(4F).5s.5p.(3P*)   4G*  ,L11817
4d7.(4F).5s.5p.(3P*),2G*,7/2,8,,122263.107,,,,  62         :    12  4d7.(4P).5s.5p.(3P*)   6P*  ,L11817
4d8.(1D).6s,2D,5/2,6,,119397.364,,,,  60         :    34  4d8.(3P).6s            4P   ,L11817
4d8.(1D).6s,2D,3/2,4,,119746.475,,,,  51         :    43  4d8.(3P).6s            2P   ,L11817
4d7.(4P).5s.5p.(3P*),6D*,9/2,10,,120221.090,,,,  80         :     9  4d7.(4F).5s.5p.(3P*)   6D*  ,L11817
4d7.(4F).5s.5p.(3P*),2F*,7/2,8,,120482.107,,,,  46         :    11  4d7.(3F).6p            4F*  ,L11817
4d7.(4F).5s.5p.(3P*),2F*,5/2,6,,123418.619,,,,  38         :    32  4d7.(4F).5s.5p.(3P*)   2D*  ,L11817
4d8.(3P).5d,4D,5/2,6,,120577.240,,,,  44         :    12  4d8.(1D).5d            2D   ,L11817
4d8.(3P).5d,4D,3/2,4,,123868.879,,,,  45         :    32  4d8.(3P).5d            4P   ,L11817
4d8.(3P).5d,2D,3/2,4,,120866.840,,,,  17         :    36  4d8.(3P).5d            4D   ,L11817
4d8.(3P).5d,2D,5/2,6,,121745.125,,,,  29         :    20  4d8.(1D).5d            2F   ,L11817
4d8.(3P).5d,4P,3/2,4,,121336.650,,,,  23         :    27  4d8.(1D).5d            2P   ,L11817
4d8.(1D).5d,2S,1/2,2,,121485.726,,,,  37         :    35  4d8.(3P).5d            4P   ,L11817
4d7.(4F).5s.5p.(3P*),2D*,5/2,6,,121878.546,,,,  30         :    19  4d7.(3F).6p            2F*  ,L11817
4d7.(4F).5s.5p.(3P*),2D*,3/2,4,,123846.940,,,,  40         :     9  4d7.(4P).5s.5p.(3P*)   4S*  ,L11817
4d7.(4P).5s.5p.(3P*),6P*,7/2,8,,122696.885,,,,  68         :    12  4d7.(4F).5s.5p.(3P*)   2G*  ,L11817
4d7.(4P).5s.5p.(3P*),6P*,5/2,6,,122879.868,,,,  71         :     7  4d7.(2P).5s.5p.(3P*)   4G*  ,L11817
4d8.(1G).6s,2G,9/2,10,,122708.398,,,,  99                                              ,L11817
4d8.(1G).6s,2G,7/2,8,,122721.063,,,,  99                                              ,L11817
4d7.(2P).5s.5p.(3P*),4P*,1/2,2,,123668.219,,,,  39         :    12  4d7.(2D2).5s.5p.(3P*)  4P*  ,L11817
4d7.(2P).5s.5p.(3P*),4P*,5/2,6,,124351.073,,,,  35         :     9  4d7.(2D2).5s.5p.(3P*)  4D*  ,L11817
