Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p3,4S*,3/2,4,,0.00,,, 100                                       ,L7237
3s2.3p3,2D*,3/2,4,,14852.94,,, 100                                       ,
3s2.3p3,2D*,5/2,6,,14884.73,,, 100                                       ,
3s2.3p3,2P*,1/2,2,,24524.83,,,  99         :     1  3p5             2P*  ,
3s2.3p3,2P*,3/2,4,,24571.54,,,  98         :     1  3p5             2P*  ,
3s.3p4,4P,5/2,6,,79395.39,,,  85         :    13  3s.3p4          4P   ,
3s.3p4,4P,3/2,4,,79756.83,,,  85         :    13  3s2.3p2.(3P).3d 4P   ,
3s.3p4,4P,1/2,2,,79962.61,,,  85         :    13  3s2.3p2.(3P).3d 4P   ,
3s.3p4,2D,3/2,4,,97890.74,,,  67         :    26  3s2.3p2.(1D).3d 2D   ,
3s.3p4,2D,5/2,6,,97918.86,,,  67         :    26  3s2.3p2.(1D).3d 2D   ,
3s2.3p2.(3P).3d,2P,3/2,4,,105599.06,,,  72         :    17  3s.3p4          2P   ,
3s2.3p2.(3P).3d,2P,1/2,2,,106044.24,,,  71         :    17  3s.3p4          2P   ,
3s2.3p2.(3P).4s,4P,1/2,2,,109560.69,,,  99                                       ,
3s2.3p2.(3P).4s,4P,3/2,4,,109831.59,,,  99                                       ,
3s2.3p2.(3P).4s,4P,5/2,6,,110268.60,,, 100                                       ,
3s2.3p2.(3P).3d,4F,3/2,4,,110177.02,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,5/2,6,,110313.40,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,7/2,8,,110508.71,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,9/2,10,,110766.56,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4s,2P,1/2,2,,112937.57,,,  95         :     2  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(3P).4s,2P,3/2,4,,113461.54,,,  96         :     1  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(3P).3d,4D,1/2,2,,114162.30,,,  99         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,3/2,4,,114200.54,,,  99         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,5/2,6,,114231.04,,,  98         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,7/2,8,,114279.33,,,  97         :     1  3s2.3p2.(1D).3d 2F   ,
3s2.3p2.(3P).3d,2F,5/2,6,,114804.37,,,  49         :    49  3s2.3p2.(1D).3d 2F   ,
3s2.3p2.(3P).3d,2F,7/2,8,,115285.61,,,  47         :    49  3s2.3p2.(1D).3d 2F   ,
3s.3p4,2S,1/2,2,,119783.77,,,  62         :    37  3s2.3p2.(1D).3d 2S   ,
3s2.3p2.(1D).4s,2D,3/2,4,,121528.72,,,  98         :     1  3s2.3p2.(3P).3d 2D   ,
3s2.3p2.(1D).4s,2D,5/2,6,,121530.02,,,  99                                       ,
3s2.3p2.(3P).4p,2S*,1/2,2,,125485.29,,,  98         :     2  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(1D).3d,2G,7/2,8,,127127.10,,, 100                                       ,
3s2.3p2.(1D).3d,2G,9/2,10,,127128.35,,, 100                                       ,
3s2.3p2.(3P).4p,4D*,1/2,2,,127825.08,,,  99                                       ,
3s2.3p2.(3P).4p,4D*,3/2,4,,127976.34,,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,4D*,5/2,6,,128233.20,,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,4D*,7/2,8,,128599.16,,,  99                                       ,
3s2.3p2.(3P).4p,4P*,1/2,2,,129787.83,,,  99                                       ,
3s2.3p2.(3P).4p,4P*,3/2,4,,129858.18,,,  89         :     8  3s2.3p2.(3P).4p 4S*  ,
3s2.3p2.(3P).4p,4P*,5/2,6,,130134.16,,,  94         :     4  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(3P).3d,4P,5/2,6,,130602.21,,,  85         :    10  3s.3p4          4P   ,
3s2.3p2.(3P).3d,4P,3/2,4,,130818.85,,,  85         :    11  3s.3p4          4P   ,
3s2.3p2.(3P).3d,4P,1/2,2,,130948.94,,,  85         :    11  3s.3p4          4P   ,
3s2.3p2.(3P).4p,2D*,3/2,4,,130641.11,,,  88         :    10  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(3P).4p,2D*,5/2,6,,131187.19,,,  88         :     9  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(3P).4p,4S*,3/2,4,,131028.85,,,  89         :     9  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,2P*,1/2,2,,133268.68,,,  91         :     6  3s2.3p2.(1D).4p 2P*  ,
3s2.3p2.(3P).4p,2P*,3/2,4,,133399.97,,,  90         :     8  3s2.3p2.(1D).4p 2P*  ,
3s2.3p2.(3P).3d,2D,3/2,4,,133360.86,,,  82         :    10  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(3P).3d,2D,5/2,6,,133814.84,,,  83         :     9  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(1S).4s,2S,1/2,2,,136328.79,,,  95         :     2  3s2.3p2.(1D).3d 2S   ,
3s2.3p2.(1D).3d,2F,5/2,6,,138509.17,,,  42         :    44  3s2.3p2.(3P).3d 2F   ,
3s2.3p2.(1D).3d,2F,7/2,8,,138527.98,,,  42         :    44  3s2.3p2.(3P).3d 2F   ,
3s2.3p2.(1D).3d,2P,1/2,2,,139844.99,,,  90         :     3  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(1D).3d,2P,3/2,4,,140016.77,,,  90         :     4  3s.3p4          2P   ,
3s2.3p2.(1D).4p,2F*,5/2,6,,140230.10,,,  97         :     3  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(1D).4p,2F*,7/2,8,,140319.23,,, 100                                       ,
3s2.3p2.(1D).4p,2D*,5/2,6,,140708.89,,,  86         :    10  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(1D).4p,2D*,3/2,4,,140750.34,,,  88         :    10  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(1D).4p,2P*,1/2,2,,143488.95,,,  91         :     6  3s2.3p2.(3P).4p 2P*  ,
3s2.3p2.(1D).4p,2P*,3/2,4,,143623.56,,,  89         :     8  3s2.3p2.(3P).4p 2P*  ,
3s2.3p2.(1D).3d,2D,5/2,6,,144009.42,,,  64         :    14  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(1D).3d,2D,3/2,4,,144142.16,,,  64         :    14  3s.3p4          2D   ,
3s.3p4,2P,3/2,4,,145505.74,,,  35         :    42  3s2.3p2.(3P).4d 2P   ,
3s.3p4,2P,1/2,2,,145877.66,,,  36         :    42  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(1S).3d,2D,5/2,6,,148886.57,,,  64         :    14  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(1S).3d,2D,3/2,4,,148900.91,,,  64         :    15  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(3P).5s,4P,1/2,2,,150258.51,,,                                           ,
3s2.3p2.(3P).5s,4P,3/2,4,,150531.31,,,  98         :     2  3s2.3p2.(3P).5s 2P   ,
3s2.3p2.(3P).5s,4P,5/2,6,,150996.41,,,  99         :     1  3s2.3p2.(3P).4d 4P   ,
3s2.3p2.(3P).5s,2P,1/2,2,,151383.81,,,  97         :     1  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(3P).5s,2P,3/2,4,,151910.83,,,  96         :     2  3s2.3p2.(3P).5s 4P   ,
3s2.3p2.(1D).3d,2S,1/2,2,,151651.72,,,                                           ,
3s2.3p2.(3P).4d,4F,3/2,4,,151959.69,,,  96         :     2  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,5/2,6,,152094.64,,,  95         :     3  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,7/2,8,,152305.00,,,  94         :     4  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,9/2,10,,152615.46,,,  98         :     1  3s2.3p2.(3P).3d 4F   ,
3s2.3p2.(3P).4d,4D,1/2,2,,153153.90,,,  99         :     1  3s2.3p2.(3P).3d 4D   ,
3s2.3p2.(3P).4d,4D,3/2,4,,153201.95,,,  97         :     2  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4D,5/2,6,,153283.07,,,  95         :     3  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4D,7/2,8,,153413.74,,,  95         :     4  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4P,5/2,6,,155818.71,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,4P,3/2,4,,156029.54,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,4P,1/2,2,,156148.48,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,2F,5/2,6,,156121.70,,,  78         :    12  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).4d,2F,7/2,8,,156604.17,,,  79         :    11  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(1S).4p,2P*,1/2,2,,156167.04,,,  85         :     5  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(1S).4p,2P*,3/2,4,,156276.83,,,  92         :     5  3s2.3p2.(1D).5p 2P*  ,
3s2.3p2.(3P).5p,4D*,1/2,2,,156829.75,,,  95         :     4  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(3P).5p,4D*,3/2,4,,156939.50,,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,4D*,5/2,6,,157173.69,,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,4D*,7/2,8,,157558.77,,,  99                                       ,
3s2.3p2.(3P).5p,4P*,3/2,4,,157579.68,,,  55         :    37  3s2.3p2.(3P).5p 4S*  ,
3s2.3p2.(3P).5p,4P*,1/2,2,,157677.32,,,  95         :     3  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(3P).5p,4P*,5/2,6,,158038.60,,,  90         :     7  3s2.3p2.(3P).5p 4D*  ,
3s2.3p2.(3P).5p,4S*,3/2,4,,158118.75,,,  51         :    37  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,2D*,3/2,4,,158215.59,,,  86         :     9  3s2.3p2.(3P).5p 4S*  ,
3s2.3p2.(3P).5p,2D*,5/2,6,,158715.46,,,  94         :     4  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).4d,2P,3/2,4,,158828.31,,,  43         :    22  3s.3p4          2P   ,
3s2.3p2.(3P).4d,2P,1/2,2,,159283.66,,,  50         :    25  3s.3p4          2P   ,
3s2.3p2.(3P).4d,2D,5/2,6,,159492.83,,,  73         :     9  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).4d,2D,3/2,4,,159495.94,,,  62         :     8  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(3P<0>).4f,2[3]*,5/2,6,,160104.11,,,  95     or  :    44  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<0>).4f,2[3]*,7/2,8,,160128.90,,,  91     or  :    57  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<1>).4f,2[3]*,5/2,6,,160258.03,,,  99     or  :    52  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[3]*,7/2,8,,160284.24,,,  93     or  :    41  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[4]*,9/2,10,,160442.67,,,  94     or  :    74  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[4]*,7/2,8,,160483.16,,,  90     or  :    57  3s2.3p2.(3P).4f 2G*  ,
3s2.3p2.(3P<1>).4f,2[2]*,3/2,4,,160462.24,,,  86     or  :    46  3s2.3p2.(3P).4f 2D*  ,
3s2.3p2.(3P<1>).4f,2[2]*,5/2,6,,160467.51,,,  84     or  :    70  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[1]*,3/2?,4,,160733.68,,,  99     or  :    52  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[1]*,1/2?,2,,160733.68,,,  99     or  :   100  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[5]*,11/2,12,,160828.69,,,  99     or  :   100  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<2>).4f,2[5]*,9/2,10,,160920.95,,,  98     or  :    80  3s2.3p2.(3P).4f 2G*  ,
3s2.3p2.(3P<2>).4f,2[2]*,3/2,4,,161221.05,,,  85     or  :    88  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[2]*,5/2,6,,161253.47,,,  70     or  :    74  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[4]*,7/2,8,,161329.65,,,  80     or  :    88  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[4]*,9/2,10,,161360.19,,,  94     or  :    91  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[3]*,5/2,6,,161386.45,,,  79     or  :    76  3s2.3p2.(3P).4f 2F*  ,
3s2.3p2.(3P<2>).4f,2[3]*,7/2,8,,161454.96,,,  79     or  :    91  3s2.3p2.(3P).4f 2F*  ,
3s2.3p2.(1D).5s,2D,5/2,6,,161733.10,,,  99         :     1  3s2.3p2.(1D).4d 2D   ,
3s2.3p2.(1D).5s,2D,3/2,4,,161737.99,,,  99         :     1  3s2.3p2.(1D).4d 2D   ,
3s2.3p2.(1D).4d,2G,7/2,8,,164181.17,,,  87         :    10  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(1D).4d,2G,9/2,10,,164268.79,,, 100                                       ,
3s2.3p2.(1D).4d,2F,5/2,6,,164232.36,,,  65         :    25  3s2.3p2.(3P).5d 2F   ,
3s2.3p2.(1D).4d,2F,7/2,8,,164337.61,,,  59         :    19  3s2.3p2.(3P).5d 2F   ,
3s2.3p2.(3P).6s,4P,1/2,2,,165719.23,,,  95         :     5  3s2.3p2.(3P).6s 2P   ,
3s2.3p2.(3P).6s,4P,3/2,4,,165991.35,,,  95         :     5  3s2.3p2.(3P).6s 2P   ,
3s2.3p2.(3P).6s,4P,5/2,6,,166479.82,,,  99         :     1  3s2.3p2.(3P).5d 4P   ,
3s2.3p2.(1D).4d,2P,1/2,2,,166151.61,,,  80         :    17  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(1D).4d,2P,3/2,4,,166185.47,,,  63         :    18  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(3P).6s,2P,1/2,2,,166331.19,,,  94         :     5  3s2.3p2.(3P).6s 4P   ,
3s2.3p2.(3P).6s,2P,3/2,4,,166862.71,,,  93         :     4  3s2.3p2.(3P).6s 4P   ,
3s2.3p2.(3P).5d,4F,3/2,4,,166591.08,,,  79         :    13  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,4F,5/2,6,,166709.27,,,  87         :    11  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4F,7/2,8,,166918.27,,,  85         :    13  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4F,9/2,10,,167269.15,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).5d,4D,1/2,2,,167254.84,,,  98         :     1  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,4D,3/2,4,,167291.84,,,  91         :     5  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).5d,4D,5/2,6,,167364.98,,,  83         :    11  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).5d,4D,7/2,8,,167575.23,,,  86         :    13  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(1D).4d,2D,3/2,4,,167472.42,,,  83         :     6  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(1D).4d,2D,5/2,6,,167506.39,,,  80         :     7  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).5d,4P,5/2,6,,168217.10,,,  89         :     5  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4P,3/2,4,,168397.89,,,  94         :     3  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4P,1/2,2,,168490.43,,,  96         :     1  3s2.3p2.(3P).6d 4P   ,
3s2.3p2.(1D).5p,2F*,5/2,6,,168443.14,,,  98         :     1  3s2.3p2.(1D).5p 2D*  ,
3s2.3p2.(1D).5p,2F*,7/2,8,,168473.48,,, 100                                       ,
3s2.3p2.(1D).4d,2S,1/2,2,,169109.54,,,  80         :     6  3s2.3p2.(1D).5d 2S   ,
3s2.3p2.(3P).5d,2F,5/2,6,,169283.54,,,  62         :    15  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).5d,2F,7/2,8,,169702.32,,,  72         :    14  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).5d,2P,3/2,4,,169340.39,,,  37         :    28  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).5d,2P,1/2,2,,169687.52,,,  66         :    12  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,2D,3/2,4,,169922.27,,,  49         :    24  3s2.3p2.(3P).5d 2P   ,
