Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f10.(5I).5d,4K,17/2,18,,17589.52,,,1.20,  52             :    23                (5I) 6K  ,L3974
4f10.(5F<3>).6s<1/2>,"(3,1/2)",5/2,6,,17779.98,,,1.29,             or  :    78                (5F) 6F  ,L3974
4f10.(5F<3>).6s<1/2>,"(3,1/2)",7/2,8,,17912.80,,,1.30,             or  :    52                (5F) 4F  ,L3974
4f10.(5I).5d,4L,19/2,20,,17788.82,,,1.17,  62             :    16                (5I) 6K  ,L3974
4f10.(5I).5d,,13/2,14,,18219.72,,,1.24,  29  6I         :    25                (5I) 6G  ,L3974
4f10.(5I).5d,,15/2,16,,18234.95,,,1.24,  34  6H         :    33                (5I) 6I  ,L3974
4f9.(6H*).5d (7F*).6s,*,11/2,12,,18494.59,,,1.40,  31  6F*                                        ,L3974
4f9.(6H*).5d (5I*).6s,*,15/2,16,,18678.44,,,1.272,  27  4I*                                        ,L3974
4f9.(6H*).5d (7F*).6s,*,9/2,10,,18738.41,,,1.42,  27  8F*                                        ,L3974
4f10.(5I).5d,6G,11/2,12,,18866.51,,,1.26,  48             :    29                (5I) 6H  ,L3974
4f9.(6F*).5d (7H*).6s,*,9/2,10,,18955.57,,,1.21,  44  6H*                                        ,L3974
4f9.(6H*).5d (7G*).6s,*,13/2,14,,18978.23,,,1.331,  22  8G*                                        ,L3974
4f9.(6H*).5d (5I*).6s,6I*,17/2,18,,19251.81,,,1.28,  65                                             ,L3974
4f9.(6H*).5d (5H*).6s,*,15/2,16,,19451.35,,,1.39,  31  6H*                                        ,L3974
4f9.(6F*).5d (7P*).6s,8P*,9/2,10,,19467.23,,,1.660,  58                                             ,L3974
4f9.(6H*).5d2.(3F),*,13/2,14,,19492.15,,,1.436,  26  8G*                                        ,L3974
4f9.(6H*).5d (7K*).6s,6K*,19/2,20,,19571.75,,,1.267,  54                                             ,L3974
4f9.6s2,6F*,11/2,12,,19927.64,,,1.445,  84                                             ,L3974
4f9.(6H*).5d (7G*).6s,*,13/2,14,,19956.65,,,1.310,  19  6G*                                        ,L3974
4f9.(6H*).5d (5H*).6s,*,15/2,16,,20166.45,,,1.313,  43  6H*                                        ,L3974
4f9.(6H*).5d2.(3F),*,11/2,12,,20517.39,,,1.463,  33  8F*                                        ,L3974
4f10.(5I).5d,,17/2,18,,20700.59,,,1.16,  36  4K         :    27                (5I) 6K  ,L3974
4f10.(5I).5d,,13/2,14,,20748.43,,,1.17,  35  6I         :    29                (5I) 4H  ,L3974
4f9.(6H*).5d (5K*).6s,*,17/2,18,,20793.13,,,1.225,  40  4K*                                        ,L3974
4f9.(6H*).5d (7G*).6s,*,11/2,12,,20817.16,,,1.44,  40  8G*                                        ,L3974
4f9.(6H*).5d2.(3F),*,17/2,18,,20884.42,,,1.35,  33  8I*                                        ,L3974
4f9.(6H*).5d (5H*).6s,4H*,13/2,14,,20896.37,,,1.33,  66                                             ,L3974
4f9.(6H*).5d (7K*).6s,*,19/2,20,,20985.62,,,1.29,  35  8K*                                        ,L3974
4f10.(5I).5d,6K,15/2,16,,21076.07,,,1.13,  46             :    16                (5I) 4I  ,L3974
4f9.(6H*).5d (7I*).6s,*,13/2,14,,21134.77,,,1.24,  19  6I*                                        ,L3974
4f10.(5I).5d,,11/2,12,,21177.84,,,1.15,  42  6I         :    23                (5I) 6G  ,L3974
4f9.(6H*).5d (7I*).6s,*,15/2,16,,21272.07,,,1.21,  28  6I*                                        ,L3974
4f10.(5I).5d,4I,15/2,16,,21338.35,,,1.18,  50             :    24                (5I) 6I  ,L3974
4f9.(6H*).5d (5G*).6s,6G*,13/2,14,,21358.06,,,1.31,  53                                             ,L3974
4f9.(6H*).5d2.(3F),*,19/2,20,,21464.98,,,1.316,  36  8I*                                        ,L3974
4f10.(5I).5d,,17/2,18,,21627.53,,,1.12,  39  4L         :    30                (5I) 6K  ,L3974
4f10.(5I).5d,6L,19/2,20,,21806.92,,,1.17,  69             :    25                (5I) 4L  ,L3974
4f10.(5I).5d,,9/2,10,,21813.12,,,1.10,  41  6H         :    36                (5I) 6G  ,L3974
4f9.(6H*).5d2.(3F),8K*,21/2,22,,22031.98,,,1.322,  87                                             ,L3974
4f9.(6F*).5d (7G*).6s,*,13/2,14,,22083.31,,,1.402,  29  6G*                                        ,L3974
4f10.(5I).5d,,13/2,14,,22116.32,,,1.20,  40  4H         :    31                (5I) 6H  ,L3974
4f9.(6F*).5d (7H*).6s,*,15/2,16,,22467.10,,,1.314,  44  8H*                                        ,L3974
,*,9/2,10,,22653.44,,,1.45,                                                 ,L3974
4f9.(6H*).5d (5I*).6s,*,15/2,16,,22672.54,,,1.364,  21  6I*                                        ,L3974
4f9.(6H*).5d (5I*).6s,*,15/2,16,,22854.69,,,1.28,  26  6I*                                        ,L3974
4f9.(6H*).5d2.(3F),*,13/2,14,,22871.20,,,1.387,  29  8F*                                        ,L3974
4f9.(6H*).5d (7K*).6s,*,17/2,18,,22908.05,,,1.24,  31  6K*                                        ,L3974
4f9.(6F*).5d (7H*).6s,8H*,17/2,18,,22990.86,,,1.40,  91                                             ,L3974
4f9.(6H*).5d (5K*).6s,*,15/2,16,,23202.72,,,1.186,  29  4K*                                        ,L3974
4f9.(6H*).5d (5H*).6s,*,13/2,14,,23303.06,,,1.31,  31  6H*                                        ,L3974
4f10.(5I).5d,,11/2,12,,23309.80,,,1.105,  32  6H         :    24                (5I) 6I  ,L3974
4f10.(5I).5d,,13/2,14,,23375.41,,,0.994,  29  6K         :    20  (3K2).6s      4K       ,L3974
4f10.(3K<2>).6s,,13/2,14,,23479.89,,,1.00,  26  4K         :    23  (5I).5d       6K       ,L3974
4f10.(5I).5d,6I,9/2,10,,23495.20,,,1.00,  48             :    34                (5I) 6G  ,L3974
,*,11/2,12,,23561.58,,,1.368,                                                 ,L3974
4f9.(6F*).5d (7H*).6s,*,13/2,14,,23575.15,,,1.330,  20  8H*                                        ,L3974
4f9.(6H*).5d2.(3F),*,19/2,20,,23707.18,,,1.30,  29  8K*                                        ,L3974
4f9.(6H*).5d2.(3F),*,17/2,18,,23765.80,,,1.27,  28  8H*                                        ,L3974
4f10.(5I).5d,6L,15/2,16,,23840.25,,,1.036,  59             :    19                (5I) 4K  ,L3974
4f10.(5I).5d,6H,7/2,8,,23976.76,,,0.837,  46             :    24                (5I) 6G  ,L3974
4f9.(6H*).5d (5I*).6s,*,13/2,14,,24104.44,,,1.173,  28  4I*                                        ,L3974
4f9.(6H*).5d (5K*).6s,6K*,17/2,18,,24316.09,,,1.23,  45                                             ,L3974
4f9.(6H*).5d (7K*).6s,*,13/2,14,,24506.80,,,1.10,  25  6K*                                        ,L3974
4f10.(5I).5d,,15/2,16,,24685.63,,,1.10,  34  4K         :    32                (5I) 6K  ,L3974
4f9.(6H*).5d2.(3F),8L*,13/2,14,,24786.37,,,1.303,  99                                             ,L3974
4f9.5d2,*,15/2,16,,24806.67,,,1.28,                                                 ,L3974
4f9.5d2,*,13/2,14,,24818.31,,,1.303,                                                 ,L3974
4f9.(6H*).5d2.(3F),*,13/2,14,,24967.31,,,1.283,  16  8I*                                        ,L3974
4f9.(6F*).5d (7H*).6s,*,11/2,12,,25036.76,,,1.335,  36  8H*                                        ,L3974
4f10.(5I).5d,,17/2,18,,25051.49,,,1.10,  48  4L         :    42                (5I) 6L  ,L3974
4f10.(5I).5d,6K,11/2,12,,25086.95,,,0.89,  63             :    11                (5I) 6I  ,L3974
4f10.(5I).6p,*,15/2,16,,25192.039,,,1.293,  22  6H*                                        ,L11757
4f10.(5I).5d,,9/2,10,,25214.39,,,1.01,  38  6H         :    19                (5I) 6G  ,L3974
4f10.(5I).5d,6I,7/2,8,,25292.49,,,0.743,  55             :    32                (5I) 6G  ,L3974
4f9.(6H*).5d2.(3P),*,17/2,18,,25343.427,,,1.255,  17  8I*                                        ,L11757
4f9.(6H*).5d (5I*).6s,*,13/2,14,,25468.58,,,1.15,  31  6I*                                        ,L3974
,*,11/2,12,,25648.90,,,1.02,                                                 ,L3974
4f10.(5I).5d,6L,13/2,14,,25746.58,,,0.888,  70             :     7                (5I) 4L  ,L3974
4f9.(6H*).5d2.(3F),8L*,21/2,22,,25756.29,,,1.26,  57                                             ,L3974
4f9.(6H*).5d (7G*).6s,*,13/2,14,,25772.86,,,1.37,  29  8G*                                        ,L3974
4f10.(5I).6p,*,17/2,18,,25818.435,,,1.27,  37  4K*                                        ,L11757
4f9.(6F*).5d (7H*).6s,*,15/2,16,,25833.38,,,1.22,  22  6H*                                        ,L3974
4f10.(5I).5d,6H,5/2,6,,25933.69,,,0.45,  62             :    25                (5I) 6G  ,L3974
,*,11/2,12,,26047.86,,,1.15,                                                 ,L3974
4f9.(6H*).5d2.(3P),*,19/2,20,,26279.67,,,1.26,  19  8I*                                        ,L3974
,*,11/2,12,,26407.42,,,1.11,                                                 ,L3974
4f10.(5I).5d,,7/2,8,,26550.05,,,0.91,  35  6G         :    35                (5I) 6H  ,L3974
4f9.(6H*).5d2.(3P),*,15/2,16,,26634.20,,,1.290,  21  8G*                                        ,L3974
4f9.5d2,*,13/2,14,,26853.72,,,1.320,                                                 ,L3974
4f9.(6F*).5d (5H*).6s,*,13/2,14,,27193.05,,,1.295,  15  4H*                                        ,L3974
4f9.(6H*).5d2.(3F),*,19/2,20,,27209.91,,,1.22,  37  8L*                                        ,L3974
4f9.(6F*).5d (5H*).6s,*,15/2,16,,27216.93,,,1.30,  34  6H*                                        ,L3974
