Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d3.(2F).4s,c 3F,2,5,,30267.511,,0.006,0.67,  76         :    10  3d4                  3F1      ,"L20009,L8201"
3d3.(2F).4s,c 3F,3,7,,30306.389,,0.003,1.06,  80         :     8  3d4                  3F1      ,"L20009,L8201"
3d3.(2F).4s,c 3F,4,9,,30318.5317,,0.0023,1.25,  83         :     7  3d4                  3F1      ,"L20009,L8201"
3d4,d 3F1,4,9,,30613.910,,0.003,1.23,  58         :    18  3d4                  3F2      ,"L20009,L8201"
3d4,d 3F1,3,7,,30641.7674,,0.0024,1.05,  56         :    18  3d3.(2F).4s          3F       ,"L20009,L8201"
3d4,d 3F1,2,5,,30673.089,,0.004,0.67,  53         :    21  3d3.(2F).4s          3F       ,"L20009,L8201"
3d4,d 3P1,2,5,,32040.641,,0.005,1.38,  54         :    41  3d4                  3P2      ,"L20009,L8201"
3d4,d 3P1,1,3,,32299.266,,0.007,1.48,  53         :    41  3d4                  3P2      ,"L20009,L8201"
3d4,d 3P1,0,1,,32420.046,,0.012,,  53         :    41  3d4                  3P2      ,L20009
3d3.(2F).4s,b 1F,3,7,,34228.8534,,0.0019,1.00,  90         :     9  3d4                  1F       ,"L20009,L8201"
3d3.(4F).4p,z 5G*,2,5,,34592.8439,,0.0013,0.31, 100                                                ,"L20009,L8201"
3d3.(4F).4p,z 5G*,3,7,,34745.8281,,0.0009,0.93, 100                                                ,"L20009,L8201"
3d3.(4F).4p,z 5G*,4,9,,34946.6366,,0.0010,1.14, 100                                                ,"L20009,L8201"
3d3.(4F).4p,z 5G*,5,11,,35193.1820,,0.0013,1.16, 100                                                ,"L20009,L8201"
3d3.(4F).4p,z 5G*,6,13,,35483.6058,,0.0020,, 100                                                ,L20009
3d4,c 1G1,4,9,,36424.875,,0.004,0.96,  59         :    36  3d4                  1G2      ,"L20009,L8201"
3d3.(4F).4p,z 3D*,1,3,,36489.4382,,0.0010,0.35,  47         :    47  3d3.(4F).4p          5F*      ,"L20009,L8201"
3d3.(4F).4p,z 3D*,2,5,,37041.1798,,0.0008,1.08,  43         :    40  3d3.(4F).4p          5F*      ,"L20009,L8201"
3d3.(4F).4p,z 3D*,3,7,,37205.0213,,0.0009,1.32,  46         :    32  3d3.(4F).4p          5D*      ,"L20009,L8201"
3d3.(4F).4p,z 5F*,2,5,,36673.5838,,0.0007,1.08,  59         :    34  3d3.(4F).4p          3D*      ,"L20009,L8201"
3d3.(4F).4p,z 5F*,3,7,,36919.2647,,0.0008,1.24,  82         :    12  3d3.(4F).4p          3D*      ,"L20009,L8201"
