Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Leading percentages,Reference
4d7.(2P).5p,y 1D*,2,5,,79938.8,,                            ,L17221
4d7.(2H).5p,y 1G*,4,9,,81488.5,,                            ,L17221
4d7.(2D2).5p,y 1F*,3,7,,81788.9,,                            ,L17221
4d7.(2D2).5p,x 3P*,0,1,,,,                            ,L17221
4d7.(2D2).5p,x 3P*,2,5,,81955.0,,                            ,L17221
4d7.(2D2).5p,x 3P*,1,3,,83251.4,,                            ,L17221
4d7.(2H).5p,y 1H*,5,11,,82830.7,,                            ,L17221
4d7.(2D2).5p,y 1P*,1,3,,83176.2,,                            ,L17221
4d7.(2F).5p,v 3D*,3,7,,87394.0,,                            ,L17221
4d7.(2F).5p,v 3D*,1,3,,87827.5,,                            ,L17221
4d7.(2F).5p,v 3D*,2,5,,87930.1,?,                            ,L17221
Rh III (4d7 4F<9/2>),Limit,---,,[,145800,],                            ,L3466
