Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d8.(3F).5s.5p.(3P*),5G*,4,9,,132688.679,,0.007,,  61         :    15  4d8.(3F).5s.5p.(3P*) 5F*     ,L18362
4d8.(3F).5s.5p.(3P*),5G*,3,7,,134343.135,,0.007,,  74         :    14  4d8.(3F).5s.5p.(3P*) 5F*     ,L18362
4d8.(3F).5s.5p.(3P*),5G*,2,5,,135415.323,,0.009,,  82         :     8  4d8.(3F).5s.5p.(3P*) 5F*     ,L18362
4d9.(2D<3/2>).5d,2[3/2],1,3,,131507.1120,,0.0018,0.74,  99                                               ,"L18362,L3466"
4d9.(2D<3/2>).5d,2[3/2],2,5,,131790.3202,,0.0016,1.147,  98                                               ,"L18362,L3466"
4d9.(2D<5/2>).6p,2[3/2]*,2,5,,131577.02,,0.07,,  92         :     7  4d9.(2D<5/2>).6p     2[5/2]* ,L18362
4d9.(2D<5/2>).6p,2[3/2]*,1,3,,132841.701,,0.005,,  96                                               ,L18362
4d9.(2D<5/2>).6p,2[7/2]*,3,7,,132017.588,,0.014,,  87         :    12  4d9.(2D<5/2>).6p     2[5/2]* ,L18362
4d9.(2D<5/2>).6p,2[7/2]*,4,9,,132429.668,,0.003,,  96                                               ,L18362
4d9.(2D<3/2>).5d,2[5/2],2,5,,132155.6138,,0.0015,0.71,  98                                               ,"L18362,L3466"
4d9.(2D<3/2>).5d,2[5/2],3,7,,132198.3472,,0.0021,1.095,  99                                               ,"L18362,L3466"
4d9.(2D<5/2>).6p,2[5/2]*,2,5,,132920.339,,0.004,,  87         :     6  4d9.(2D<5/2>).6p     2[3/2]* ,L18362
4d9.(2D<5/2>).6p,2[5/2]*,3,7,,133022.073,,0.003,,  87         :    10  4d9.(2D<5/2>).6p     2[7/2]* ,L18362
4d8.(3F).5s.5p.(3P*),5F*,4,9,,136107.052,,0.009,,  63         :    11  4d8.(3F).5s.5p.(3P*) 3G*     ,L18362
4d8.(3F).5s.5p.(3P*),5F*,3,7,,137435.220,,0.012,,  53         :    15  4d8.(3F).5s.5p.(3P*) 5G*     ,L18362
4d9.(2D<3/2>).6p,2[1/2]*,0,1,,136169.811,?,0.022,,  99                                               ,L18362
4d9.(2D<3/2>).6p,2[1/2]*,1,3,,136832.527,,0.014,,  93                                               ,L18362
4d9.(2D<3/2>).6p,2[5/2]*,2,5,,136518.895,,0.017,,  94         :     5  4d9.(2D<3/2>).6p     2[3/2]* ,L18362
4d9.(2D<3/2>).6p,2[5/2]*,3,7,,137176.52,,0.03,,  89                                               ,L18362
4d9.(2D<3/2>).6p,2[3/2]*,1,3,,137225.409,,0.007,,  84         :     5  4d8.5s.5p                    ,L18362
4d9.(2D<3/2>).6p,2[3/2]*,2,5,,137468.255,,0.010,,  79                                               ,L18362
4d8.(3F).5s.5p.(3P*),3D*,3,7,,138635.91,,0.06,,  48         :    17  4d8.(3F).5s.5p.(3P*) 3F*     ,L18362
4d8.(3F).5s.5p.(3P*),3D*,2,5,,139230.01,,0.06,,  25         :    17  4d8.(3F).5s.5p.(3P*) 5F*     ,L18362
4d8.(3F).5s.5p.(3P*),3D*,1,3,,142346.06,,0.06,,  36         :    40  4d8.(3P).5s.5p.(3P*) 5P*     ,L18362
