Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d9,2D,5/2,6,,0.000,,0.000,  91                                                          ,L10146
5d9,2D,3/2,4,,8419.840,,0.004,  63                                                          ,L10146
5d9,2D,3/2,4,,15791.309,,0.005,  32                                                          ,L10146
5d8.6s,4F,9/2,10,,4786.6527,,0.0059,  97                                                          ,L10146
5d8.6s,4F,7/2,8,,9356.3167,,0.0050,  68                                                          ,L10146
5d8.6s,4F,5/2,6,,16820.9342,,0.0054,  60                                                          ,L10146
5d8.6s,4F,3/2,4,,21168.729,,0.007,  40                                                          ,L10146
5d8.6s,4P,5/2,6,,13329.277,,0.005,  36                                                          ,L10146
5d8.6s,4P,1/2,2,,21717.305,,0.008,  87                                                          ,L10146
5d8.6s,4P,3/2,4,,23875.570,,0.007,  56                                                          ,L10146
5d8.6s,2F,7/2,8,,18097.764,,0.006,  64                                                          ,L10146
5d8.6s,2F,5/2,6,,23461.548,,0.006,  48                                                          ,L10146
5d7.6s2,4F,9/2,10,,24879.522,,0.006,  68                                                          ,L10146
5d7.6s2,4F,7/2,8,,34647.266,,0.009,  95                                                          ,L10146
5d7.6s2,4F,5/2,6,,36484.069,,0.007,  56                                                          ,L10146
5d7.6s2,4F,3/2,4,,37877.855,,0.007,  44                                                          ,L10146
5d8.6s,2P,1/2,2,,27255.720,,0.007,  78                                                          ,L10146
5d8.6s,2G,7/2,8,,29030.529,,0.006,  88                                                          ,L10146
5d8.6s,2G,9/2,10,,29262.0099,,0.0060,  79                                                          ,L10146
5d8.6s,2D,3/2,4,,32237.050,,0.006,  53                                                          ,L10146
5d8.6s,2D,5/2,6,,32918.605,,0.007,  36                                                          ,L10146
5d7.6s2,4P,5/2,6,,41434.119,,0.011,  76                                                          ,L11531
5d7.6s2,4P,3/2,4,,42031.892,,0.015,  50                                                          ,L11531
5d7.6s2,4P,1/2,2,,46046.461,,0.020,  77                                                          ,L11531
5d7.6s2,4P,3/2,4,,53749.652,,0.018,  50                                                          ,L11531
5d7.6s2,2G,9/2,10,,43737.431,,0.016,  53                                                          ,L11531
5d7.6s2,2G,7/2,8,,50564.651,,0.016,  80                                                          ,L11531
5d7.6s2,2H,11/2,12,,48591.109,,0.018, 100                                                          ,L11531
5d7.6s2,2H,9/2,10,,58491.285,,0.027,  68                                                          ,L11531
5d8.(3F).6p,"(4,1/2)*",7/2,8,,51408.413,,0.006,                        or  :    64                      4D*  ,"L10146,L9479"
5d8.(3F).6p,"(4,1/2)*",9/2,10,,53875.543,,0.006,                        or  :    37                      2G*  ,"L10146,L9479"
5d8.6s,2S,1/2,2,,53610.08,,0.04,  77                                                          ,"L9479,L11531"
5d7.6s2,2D3,3/2,4,,,,,  51                                                          ,L11531
5d7.6s2,2D3,5/2,6,,54373.519,,0.018,  54                                                          ,L11531
5d8.(3P).6p,"(2,1/2)*",3/2,4,,56587.977,,0.004,                                                              ,"L10146,L9479"
5d8.(3P).6p,"(2,1/2)*",5/2,6,,57018.176,,0.004,                                                              ,"L10146,L9479"
5d7.6s2,2F,5/2,6,,58062.098,,0.014,  82                                                          ,L11531
5d7.6s2,2F,7/2,8,,64003.938,,0.029,  84                                                          ,L11531
5d8.(3F).6p,"(4,3/2)*",9/2,10,,60907.720,,0.008,                        or  :    41                      4F*  ,"L10146,L9479"
5d8.(3F).6p,"(4,3/2)*",11/2,12,,61058.522,,0.006,                        or  :    91                      4G*  ,"L10146,L9479"
5d8.(3F).6p,"(4,3/2)*",5/2,6,,61190.0708,,0.0051,                        or  :    44                      4D*  ,"L10146,L9479"
5d8.(3F).6p,"(4,3/2)*",7/2,8,,61665.5284,,0.0051,                                                              ,"L10146,L9479"
5d7.6s2,2P,1/2,2,,60986.85,,0.03,  66                                                          ,L11531
5d8.(3P).6p,"(2,3/2)*",1/2,2,,62781.7116,,0.0055,                                                              ,"L10146,L9479"
5d8.(3P).6p,"(2,3/2)*",5/2,6,,65351.117,,0.008,                        or  :    43  5d8.(3F).6p         2D*  ,"L10146,L9479"
5d8.(3P).6p,"(2,3/2)*",3/2,4,,66028.059,,0.007,                                                              ,"L10146,L9479"
5d8.(3P).6p,"(2,3/2)*",7/2,8,,66434.382,,0.007,                                                              ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,0)*",9/2,10,,62820.534,,0.006,                        or  :    35  5d7.(4F).6s.(5F).6p 6D*  ,"L10146,L9479"
5d8.(3F).6p,"(3,1/2)*",7/2,8,,63738.884,,0.009,                        or  :    43                      2F*  ,"L10146,L9479"
5d8.(3F).6p,"(3,1/2)*",5/2,6,,64757.383,,0.005,                        or  :    31  5d8.(3P).6p         4P*  ,"L10146,L9479"
5d8.(3F).6p,"(2,1/2)*",3/2,4,,64388.657,,0.009,                        or  :    34                      4D*  ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,1)*",11/2,12,,65046.245,,0.025,                        or  :    53  5d7.(4F).6s.(5F).6p 6F*  ,"L11531,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,1)*",7/2,8,,67780.470,,0.006,                        or  :    31  5d7.(4F).6s.(5F).6p 6D*  ,"L11531,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,1)*",9/2,10,,70181.323,,0.018,                                                              ,"L10146,L9479"
5d8.(3P).6p,"(0,1/2)*",1/2,2,,65587.156,,0.021,                        or  :    46                      4P*  ,"L10146,L9479"
5d8.(3P).6p,"(1,1/2)*",1/2,2,,69235.707,,0.014,                        or  :    33                      4D*  ,"L10146,L9479"
5d8.(3F).6p,"(3,3/2)*",5/2,6,,69953.370,,0.008,                                                              ,"L10146,L9479"
5d8.(3F).6p,"(3,3/2)*",9/2,10,,71021.175,,0.007,                        or  :    63                      4G*  ,"L11531,L9479"
5d8.(3F).6p,"(3,3/2)*",7/2,8,,71314.622,,0.007,                        or  :    47                      4F*  ,"L10146,L9479"
5d8.(3F).6p,"(3,3/2)*",3/2,4,,71364.741,,0.016,                        or  :    31                      4D*  ,"L11531,L9479"
5d8.(3P).6p,"(1,3/2)*",5/2,6,,70379.088,,0.006,                                                              ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),71948*,5/2,6,,71948.954,,0.014,                        or  :    31  5d7.(4F).6s.(5F).6p 6F*  ,"L10146,L9479"
5d8.(3F).6p,"(2,3/2)*",3/2,4,,73026.417,,0.009,                                                              ,"L10146,L9479"
