Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
6s2.6p2,3P,0,1,,0.000,,0.05,  83         :    17         1S         ,L9887
6s2.6p2,3P,1,3,,13325.401,,0.7, 100                                    ,L9887
6s2.6p2,3P,2,5,,17031.698,,0.020,  52         :    48         1D         ,L9887
6s2.6p2,1D,2,5,,33938.718,,0.020,  52         :    48         3P         ,L9887
6s2.6p2,1S,0,1,,44173.768,,0.020,  82         :    17         3P         ,L9887
6s2.6p.7s,"(1/2,1/2)*",0,1,,69133.891,,0.020, 100                                    ,L9887
6s2.6p.7s,"(1/2,1/2)*",1,3,,69598.475,,0.020,  98                                    ,L9887
6s.6p3,5S*,2,5,,76148.712,,0.020,  55         :    18         3P*        ,L9887
6s2.6p.6d,"(1/2,3/2)*",2,5,,79091.141,,0.020,  97                                    ,L9887
6s2.6p.6d,"(1/2,3/2)*",1,3,,80577.071,,0.020,  73         :    13  6s.6p3 3D*        ,L9887
6s2.6p.6d,"(1/2,5/2)*",2,5,,82049.632,,0.020,  71         :    26  6s.6p3 5S*        ,L9887
6s2.6p.6d,"(1/2,5/2)*",3,7,,82257.251,,0.020,  94                                    ,L9887
6s2.6p.7p,"(1/2,1/2)",1,3,,84280.446,,0.020, 100                                    ,L9887
6s2.6p.7p,"(1/2,1/2)",0,1,,87078.777,,0.020,  98                                    ,L9887
6s2.6p.7p,"(1/2,3/2)",1,3,,88566.685,,0.020, 100                                    ,L9887
6s2.6p.7p,"(1/2,3/2)",2,5,,88789.478,,0.020,  99                                    ,L9887
6s2.6p.7s,"(3/2,1/2)*",2,5,,88771.443,,0.020,  99                                    ,L9887
6s2.6p.7s,"(3/2,1/2)*",1,3,,89885.675,,0.020,"  84         :     6  6p.6d  (3/2,5/2)* ",L9887
6s.6p3,3D*,1,3,,94442.227,,0.020,"  44         :    22  6p.6d  (1/2,3/2)* ",L9887
6s.6p3,3D*,2,5,,94930.640,,0.020,"  48         :    31  6p.6d  (3/2,3/2)* ",L9887
6s.6p3,3D*,3,7,,96062.356,,0.020,"  50         :    31  6p.6d  (3/2,5/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",2,5,,99011.328,,0.020,"  55         :    19         (3/2,3/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",4,9,[,99725,]+x,400, 100                                    ,L9887
6s2.6p.6d,"(3/2,5/2)*",1,3,,106611.224,,0.020,"  64         :    13  6p.7d  (1/2,3/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",3,7,,108009.057,,0.020,"  41         :    36  6p.7d  (1/2,5/2)* ",L9887
6s2.6p.6d,"(3/2,3/2)*",0,1,,100182.446,,0.020,  72         :    18  6s.6p3 3P*        ,L9887
6s2.6p.6d,"(3/2,3/2)*",1,3,,100494.931,,0.020,"  64         :    12  6p.6d  (3/2,5/2)* ",L9887
