Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d8.(3P).4p,2D*,5/2,6,,71770.83,,,1.240,  87             :    10  3d8.(3P).4p          4D*   ,
3p6.3d8.(3P).4p,2D*,3/2,4,,72375.42,,,0.844,  82             :    11  3d8.(3P).4p          2P*   ,
3p6.3d8.(3P).4p,2P*,3/2,4,,72985.65,,,1.326,  67             :    16  3d8.(1D).4p          2P*   ,
3p6.3d8.(3P).4p,2P*,1/2,2,,73903.25,,,1.039,  70             :    24  3d8.(1D).4p          2P*   ,
3p6.3d7.4s2,2P,3/2,4,,73893.73,,,,  85             :     8  3d7.4s2              2D2   ,
3p6.3d8.(3P).4p,2S*,1/2,2,,74283.33,,,,  94             :     4  3d8.(1D).4p          2P*   ,
3p6.3d8.(3P).4p,4S*,3/2,4,,74300.93,,,,  97                                                 ,
3p6.3d8.(1G).4p,2H*,9/2,10,,75149.48,,,0.903, 100                                                 ,
3p6.3d8.(1G).4p,2H*,11/2,12,,75721.68,,,1.119, 100                                                 ,
3p6.3d8.(1G).4p,2F*,7/2,8,,75917.63,,,1.165,  94             :     4  3d8.(1D).4p          2F*   ,
3p6.3d8.(1G).4p,2F*,5/2,6,,76402.03,,,,  95                                                 ,
3p6.3d7.4s2,2H,11/2,12,,76727.36,,,, 100                                                 ,
3p6.3d7.4s2,2H,9/2,10,,77736.79,,,,  97             :     3  3d7.4s2              2G    ,
3p6.3d7.4s2,2D2,5/2,6,,77332.47,,,,  77             :    23  3d7.4s2              2D1   ,
3p6.3d7.4s2,2D2,3/2,4,,78955.45,,,,  72             :    18  3d7.4s2              2D1   ,
3p6.3d8.(1G).4p,2G*,7/2,8,,79823.03,,,,  99                                                 ,
3p6.3d8.(1G).4p,2G*,9/2,10,,79923.88,,,, 100                                                 ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,11/2,12,,86343.21,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,9/2,10,,86870.03,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,7/2,8,,87538.09,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,5/2,6,,88128.56,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,3/2,4,,88582.01,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,1/2,2,,88881.59,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6D*,9/2,10,,88171.88,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6D*,7/2,8,,89100.49,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,11/2,12,,89460.35,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,9/2,10,,89918.47,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,7/2,8,,90275.30,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,5/2,6,,90526.18,?,,,                                                     ,
3p6.3d8.(3F).5s,4F,9/2,10,,91800.05,,,1.350, 100                                                 ,
