Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
6s,2S,1/2,2,,0.000,,,,L11975
5d,2D,3/2,4,,4873.852,,,0.79,L9224
5d,2D,5/2,6,,5674.807,,,1.12,L9224
6p,2P*,1/2,2,,20261.561,,,,L9224
6p,2P*,3/2,4,,21952.404,,,1.32,L9224
7s,2S,1/2,2,,42355.175,,,1.98,L9224
6d,2D,3/2,4,,45949.472,,,0.79,L9224
6d,2D,5/2,6,,46154.847,,,1.18,L9224
4f,2F*,5/2,6,,48258.617,,,,L9224
4f,2F*,7/2,8,,48483.332,,,,L9224
7p,2P*,1/2,2,,49389.822,,,,L9224
7p,2P*,3/2,4,,50011.340,,,,L9224
5f,2F*,5/2,6,,57390.922,,,,L9224
5f,2F*,7/2,8,,57631.739,,,,L9224
8s,2S,1/2,2,,58025.211,,,,L9224
7d,2D,3/2,4,,59800.254,,,,L9224
7d,2D,5/2,6,,59894.928,,,,L9224
8p,2P*,1/2,2,,61339.5,,,,L3726
8p,2P*,3/2,4,,61642.0,,,,L3726
5g,2G,7/2,8,,63026.725,u,,,L9224
5g,2G,9/2,10,,63026.725,u,,,L9224
6f,2F*,5/2,6,,64596.33,,,,L6094
6f,2F*,7/2,8,,64697.08,,,,L6094
9s,2S,1/2,2,,65683.646,,,,L9224
8d,2D,3/2,4,,66673.651,,,,L9224
8d,2D,5/2,6,,66725.591,,,,L9224
9p,2P*,1/2,2,,67511.2,,,,L3726
9p,2P*,3/2,4,,67681.4,,,,L3726
6g,2G,9/2,10,,68426.095,u,,,L9224
6g,2G,7/2,8,,68426.095,u,,,L9224
7f,2F*,5/2,6,,69211.75,,,,L6094
7f,2F*,7/2,8,,69260.46,,,,L6094
10s,2S,1/2,2,,70014.584,,,,L9224
9d,2D,3/2,4,,70620.247,,,,L9224
9d,2D,5/2,6,,70651.905,,,,L9224
10p,2P*,1/2,2,,71129.8,,,,L3726
10p,2P*,3/2,4,,71235.2,,,,L3726
7g,2G,9/2,10,,71682.623,u,,,L9224
7g,2G,7/2,8,,71682.623,u,,,L9224
8f,2F*,5/2,6,,72142.77,,,,L6094
8f,2F*,7/2,8,,72170.19,,,,L6094
