Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Lande,Reference
4d4,5D,0,1,,0.000,,0,L11823
4d4,5D,1,3,,158.984,,1.500,L11823
4d4,5D,2,5,,438.361,,1.490,L11823
4d4,5D,3,7,,801.326,,1.486,L11823
4d4,5D,4,9,,1224.823,,1.495,L11823
4d3.(4F).5s,5F,1,3,,2356.816,,0.000,L11823
4d3.(4F).5s,5F,2,5,,2629.132,,0.996,L11823
4d3.(4F).5s,5F,3,7,,3029.629,,1.248,L11823
4d3.(4F).5s,5F,4,9,,3542.561,,1.350,L11823
4d3.(4F).5s,5F,5,11,,4146.037,,1.390,L11823
4d4,3P2,0,1,,5562.241,,0,L11823
4d4,3P2,1,3,,6192.310,,1.495,L11823
4d4,3P2,2,5,,7261.324,,1.450,L11823
4d4,3F2,2,5,,7505.765,,0.712,L11823
4d4,3F2,3,7,,7900.644,,1.070,L11823
4d4,3F2,4,9,,8320.373,,1.230,L11823
4d4,3H,4,9,,9509.604,,0.825,L11823
4d4,3H,5,11,,9812.452,,1.050,L11823
4d4,3H,6,13,,10186.390,,1.157,L11823
4d4,3G,3,7,,10246.955,,0.765,L11823
4d4,3G,4,9,,10604.229,,1.052,L11823
4d4,3G,5,11,,10918.474,,1.180,L11823
4d3.(4P).5s,5P,1,3,,10653.427,,2.477,L11823
4d3.(4P).5s,5P,2,5,,10835.837,,1.815,L11823
4d3.(4P).5s,5P,3,7,,11339.590,,1.663,L11823
4d4,1D2,2,5,,12263.221,,1.003,L11823
4d4,3D,2,5,,12805.965,,0.849,L11823
4d4,3D,3,7,,13054.696,,1.246,L11823
4d4,3D,1,3,,13118.528,,0.512,L11823
4d3.(4F).5s,3F,2,5,,13479.460,,1.002,L11823
4d3.(4F).5s,3F,4,9,,13665.686,,1.152,L11823
4d3.(4F).5s,3F,3,7,,13690.228,,1.150,L11823
4d3.(2P).5s,3P,1,3,,14626.199,,1.504,L11823
4d3.(2P).5s,3P,2,5,,14660.755,,1.483,L11823
4d3.(2P).5s,3P,0,1,,14678.318,,0,L11823
4d4,1G2,4,9,,14790.755,,1.083,L11823
4d4,1I,6,13,,15395.928,,1.000,L11823
