Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p5.(2P*<3/2>).7d,2[3/2]*,2,5,,165899.3431,,0.0009,,  96                    ,L6838
5p5.(2P*<3/2>).7d,2[3/2]*,1,3,,166764.4149,,0.0008,,  63                    ,L6838
5p5.(2P*<3/2>).7d,2[7/2]*,3,7,,166126.9208,,0.0009,,  95                    ,L6838
5p5.(2P*<3/2>).7d,2[7/2]*,4,9,,166153.9587,,0.0011,, 100                    ,L6838
5p5.(2P*<1/2>).6d,2[5/2]*,2,5,,166140.2712,,0.0008,,  98                    ,L6838
5p5.(2P*<1/2>).6d,2[5/2]*,3,7,,167025.1600,,0.0009,1.10, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[9/2],5,11,,166578.7206,,0.0013,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[9/2],4,9,,166806.1612,,0.0011,,  95                    ,L6838
5p5.(2P*<3/2>).5f,2[5/2],3,7,,166591.8501,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[5/2],2,5,,167905.3418,,0.0008,,  73                    ,L6838
5p5.(2P*<3/2>).7d,2[5/2]*,3,7,,166609.7528,,0.0009,,  95                    ,L6838
5p5.(2P*<3/2>).7d,2[5/2]*,2,5,,166696.0306,,0.0009,,  96                    ,L6838
5p5.(2P*<1/2>).6d,2[3/2]*,2,5,,166970.7032,,0.0008,1.30,  97                    ,L6838
5p5.(2P*<1/2>).6d,2[3/2]*,1,3,,169192.5805,,0.0011,,  98                    ,L6838
5p5.(2P*<3/2>).5f,2[7/2],3,7,,167349.9741,,0.0011,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[7/2],4,9,,167560.5683,,0.0012,,  94                    ,L6838
5p5.(2P*<3/2>).8p,2[1/2],1,3,,167498.8595,,0.0009,,  85                    ,L6838
5p5.(2P*<3/2>).8p,2[1/2],0,1,,168565.0066,,-,, 100                    ,L6838
5p5.(2P*<3/2>).8p,2[5/2],2,5,,167702.7101,,0.0008,,  89                    ,L6838
5p5.(2P*<3/2>).8p,2[5/2],3,7,,167943.5275,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).8p,2[3/2],1,3,,168057.8610,,0.0008,,  85                    ,L6838
5p5.(2P*<3/2>).8p,2[3/2],2,5,,168233.8565,,0.0008,,  89                    ,L6838
5p5.(2P*<3/2>).5g,2[5/2]*,2,5,,169033.9021,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[5/2]*,3,7,,169039.6235,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[11/2]*,6,13,,169061.7556,,0.0013,,                        ,L6838
5p5.(2P*<3/2>).5g,2[11/2]*,5,11,,169062.0630,,0.0012,,                        ,L6838
5p5.(2P*<3/2>).5g,2[7/2]*,4,9,,169144.3317,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[7/2]*,3,7,,169145.0474,,0.0009,,                        ,L6838
5p5.(2P*<3/2>).5g,2[9/2]*,4,9,,169185.4867,,0.0013,,                        ,L6838
5p5.(2P*<3/2>).5g,2[9/2]*,5,11,,169185.5968,,0.0012,,                        ,L6838
5p5.(2P*<1/2>).7p,2[3/2],1,3,,169845.8911,,0.0008,,  90                    ,L6838
5p5.(2P*<1/2>).7p,2[3/2],2,5,,170478.1610,,0.0008,, 100                    ,L6838
5p5.(2P*<1/2>).4f,2[5/2],3,7,,170337.0537,,0.0013,,  98                    ,L6838
5p5.(2P*<1/2>).4f,2[5/2],2,5,,170973.7833,,0.0009,, 100                    ,L6838
5p5.(2P*<1/2>).4f,2[7/2],3,7,,170440.3246,,0.0011,,  99                    ,L6838
5p5.(2P*<1/2>).4f,2[7/2],4,9,,170642.1137,,0.0012,, 100                    ,L6838
5p5.(2P*<1/2>).7p,2[1/2],1,3,,170492.1254,,0.0008,,  90                    ,L6838
5p5.(2P*<1/2>).7p,2[1/2],0,1,,170871.7798,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).9s,2[3/2]*,2,5,,171972.9175,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).9s,2[3/2]*,1,3,,172060.0931,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).6f,2[3/2],1,3,,172123.6071,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).6f,2[3/2],2,5,,172603.8539,,0.0010,,  74                    ,L6838
5p5.(2P*<3/2>).6f,2[9/2],5,11,,172626.5818,,0.0012,, 100                    ,L6838
5p5.(2P*<3/2>).6f,2[9/2],4,9,,172833.3888,,0.0011,,  96                    ,L6838
5p5.(2P*<3/2>).8d,2[1/2]*,0,1,,172723.4069,,0.0012,, 100                    ,L6838
5p5.(2P*<3/2>).8d,2[1/2]*,1,3,,172832.9628,,0.0009,,  59                    ,L6838
5p5.(2P*<3/2>).8d,2[7/2]*,4,9,,172914.6297,,0.0011,, 100                    ,L6838
5p5.(2P*<3/2>).8d,2[7/2]*,3,7,,172968.1774,,0.0009,,  88                    ,L6838
5p5.(2P*<3/2>).8d,2[3/2]*,2,5,,172971.1321,,0.0011,,  97                    ,L6838
5p5.(2P*<3/2>).8d,2[3/2]*,1,3,,173816.5696,,0.0010,,  59                    ,L6838
5p5.(2P*<3/2>).6f,2[5/2],3,7,,172978.1401,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).6f,2[5/2],2,5,,173607.2305,,0.0010,,  74                    ,L6838
5p5.(2P*<3/2>).8d,2[5/2]*,2,5,,173075.3506,,0.0010,,  97                    ,L6838
5p5.(2P*<3/2>).8d,2[5/2]*,3,7,,173158.2478,,0.0010,,  88                    ,L6838
5p5.(2P*<3/2>).6f,2[7/2],3,7,,173253.7425,,0.0011,, 100                    ,L6838
5p5.(2P*<3/2>).6f,2[7/2],4,9,,173366.2459,,0.0012,,  96                    ,L6838
5p5.(2P*<3/2>).9p,2[1/2],1,3,,173706.787,,0.008,,                        ,L6838
5p5.(2P*<3/2>).9p,2[1/2],0,1,,174312.089,,0.007,,                        ,L6838
5p5.(2P*<3/2>).9p,2[5/2],2,5,,173810.796,,0.006,,                        ,L6838
5p5.(2P*<3/2>).9p,2[5/2],3,7,,173892.831,,0.004,,                        ,L6838
5p5.(2P*<3/2>).9p,2[3/2],1,3,,173966.585,,0.013,,                        ,L6838
5p5.(2P*<3/2>).9p,2[3/2],2,5,,174049.6148,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).6g,2[5/2]*,2,5,,174462.5681,,0.0015,,                        ,L6838
5p5.(2P*<3/2>).6g,2[5/2]*,3,7,,174463.4074,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).6g,2[11/2]*,6,13,,174483.7252,,0.0019,,                        ,L6838
5p5.(2P*<3/2>).6g,2[11/2]*,5,11,,174484.0618,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).6g,2[7/2]*,4,9,,174531.4483,,0.0015,,                        ,L6838
5p5.(2P*<3/2>).6g,2[7/2]*,3,7,,174532.0837,,0.0009,,                        ,L6838
5p5.(2P*<3/2>).6h,2[7/2],3,7,,174538.7506,,0.0025,,                        ,L6838
5p5.(2P*<3/2>).6h,2[7/2],4,9,,174538.8663,,0.0015,,                        ,L6838
5p5.(2P*<3/2>).6h,2[13/2],6,13,,174548.3147,,0.0019,,                        ,L6838
5p5.(2P*<3/2>).6h,2[13/2],7,15,,174548.322,,0.004,,                        ,L6838
5p5.(2P*<3/2>).6g,2[9/2]*,4,9,,174555.2911,,0.0025,,                        ,L6838
5p5.(2P*<3/2>).6g,2[9/2]*,5,11,,174555.3995,,0.0016,,                        ,L6838
5p5.(2P*<3/2>).6h,2[9/2],4,9,,174576.2119,,0.0013,,                        ,L6838
5p5.(2P*<3/2>).6h,2[9/2],5,11,,174576.2221,,0.0015,,                        ,L6838
5p5.(2P*<3/2>).6h,2[11/2],5,11,,174586.6373,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).6h,2[11/2],6,13,,174586.6444,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).7f,2[3/2],1,3,,176127.4328,,0.0022,, 100                    ,L6838
5p5.(2P*<3/2>).7f,2[3/2],2,5,,176260.6598,,0.0014,,  69                    ,L6838
5p5.(2P*<3/2>).10s,2[3/2]*,2,5,,176223.4739,,0.0014,, 100                    ,L6838
5p5.(2P*<3/2>).10s,2[3/2]*,1,3,,176274.9463,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).7f,2[9/2],5,11,,176432.0079,,0.0019,, 100                    ,L6838
5p5.(2P*<3/2>).7f,2[9/2],4,9,,176538.2356,,0.0017,,  90                    ,L6838
5p5.(2P*<3/2>).7f,2[5/2],3,7,,176487.509,,0.004,, 100                    ,L6838
5p5.(2P*<3/2>).7f,2[5/2],2,5,,177108.079,,0.005,,  69                    ,L6838
5p5.(2P*<3/2>).9d,2[1/2]*,0,1,,176690.3472,,0.0025,, 100                    ,L6838
5p5.(2P*<3/2>).9d,2[1/2]*,1,3,,176742.7319,,0.0014,,  60                    ,L6838
5p5.(2P*<3/2>).7f,2[7/2],3,7,,176784.2846,,0.0017,, 100                    ,L6838
5p5.(2P*<3/2>).7f,2[7/2],4,9,,176901.4718,,0.0013,,  90                    ,L6838
5p5.(2P*<3/2>).9d,2[7/2]*,4,9,,176804.5476,,0.0021,, 100                    ,L6838
