Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d6.6s2,a 5D,4,9,,0.00,,,1.44,L3466
5d6.6s2,a 5D,2,5,,2740.49,,,1.44,
5d6.6s2,a 5D,3,7,,4159.32,,,1.47,
5d6.6s2,a 5D,1,3,,5766.14,,,1.47,
5d6.6s2,a 5D,0,1,,6092.79,,,,
5d7.(4F).6s,a 5F,5,11,,5143.92,,,1.38,
5d7.(4F).6s,a 5F,4,9,,8742.83,,,1.31,
5d7.(4F).6s,a 5F,2,5,,10165.98,,,1.45,
5d7.(4F).6s,a 5F,3,7,,11378.00,,,1.26,
5d7.(4F).6s,a 5F,1,3,,13020.07,,,0.31,
5d7.(4F).6s,a 3F,4,9,,11030.58,,,1.16,
5d7.(4F).6s,a 3F,2,5,,12774.38,,,1.00,
5d7.(4F).6s,a 3F,3,7,,14091.37,,,1.10,
,1336,2,5,,13364.83,,,0.94,
5d6.6s2,a 3H,5,11,,14338.99,,,1.13,
5d6.6s2,a 3H,4,9,,14848.05,,,1.08,
5d6.6s2,a 3H,6,13,,14852.33,,,1.14,
,1522,2,5,,15222.57,,,1.61,
5d7.(4P).6s,a 5P,1,3,,,,,,
5d7.(4P).6s,a 5P,2,5,,,,,,
5d7.(4P).6s,a 5P,3,7,,15390.76,,,1.54,
,1621,1,3,,16212.41,,,1.74,
,1766,1,3,,17667.34,,,1.40,
5d7.(4P).6s,a 3P,1,3,,,,,,
5d7.(4P).6s,a 3P,2,5,,,,,,
5d7.(4P).6s,a 3P,0,1,,18301.40,,,,
,1890,3,7,,18901.94,,,1.20,
,1904,0,1,,19048.91,,,,
,1910,4,9,,19108.87,,,1.03,
,1941,2,5,,19410.66,,,0.97,
,1989,4,9,,19893.07,,,1.06,
,2103,1,3,,21033.45,,,0.88,
,2112,3,7,,21123.66,,,0.94,
,2130,2,5,,21303.36,,,1.26,
,2256,1,3,,22563.65,,,,
5d6.6s.(6D).6p,z 7D*,1,3,,,,,,
5d6.6s.(6D).6p,z 7D*,4,9,,22615.69,,,1.62,
5d6.6s.(6D).6p,z 7D*,5,11,,23462.90,,,1.55,
5d6.6s.(6D).6p,z 7D*,3,7,,25012.93,,,1.73,
5d6.6s.(6D).6p,z 7D*,2,5,,25275.42,,,2.04,
,2331,2,5,,23317.60,,,1.27,
,2332,4,9,,23322.66,,,1.04,
,2398,3,7,,23984.58,,,1.07,
,2429,5,11,,24291.97,,,,
,2506,2,5,,25069.71,,,0.89,
,2559,3,7,,25593.94,,,,
,2560,4,9,,25601.55,,,,
,2795*,2,5,,27954.32,,,2.04,
,2813,3,7,,28139.52,,,1.24,
5d6.6s.(6D).6p,z 7P*,2,5,,,,,,
5d6.6s.(6D).6p,z 7P*,4,9,,28331.77,,,1.59,
5d6.6s.(6D).6p,z 7P*,3,7,,28371.68,,,1.74,
,2841,2,5,,28411.95,,,,
,2860*,2,5,,28609.97,,,,
5d6.6s.(6D).6p,z 7F*,0,1,,,,,,
5d6.6s.(6D).6p,z 7F*,1,3,,,,,,
5d6.6s.(6D).6p,z 7F*,2,5,,,,,,
5d6.6s.(6D).6p,z 7F*,3,7,,,,,,
5d6.6s.(6D).6p,z 7F*,4,9,,,,,,
5d6.6s.(6D).6p,z 7F*,5,11,,,,,,
5d6.6s.(6D).6p,z 7F*,6,13,,29099.41,,,1.48,
,2938*,3,7,,29381.65,,,1.49,
,2939,4,9,,29394.30,,,,
,3005,2,5,,30056.79,,,,
,3007*,2,5,,30078.28,,,1.48,
,3027*,5,11,,30279.95,,,1.47,
,3052*,1,3,,30524.92,,,1.55?,
,3059*,4,9,,30591.45,,,1.54,
,3245*,2,5,,32457.44,,,1.84,
,3268*,4,9,,32684.61,,,1.47,
,3312*,3,7,,33124.48,,,1.63,
,3412*,3,7,,34125.40,,,1.44,
