Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).5p,2[5/2],3,7,,167559.0633,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[5/2],2,5,,167591.2335,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[3/2],1,3,,167639.5697,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[3/2],2,5,,167648.6382,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[5/2]*,2,5,,167794.9709,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[5/2]*,3,7,,167795.8966,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,5,,167796.9475,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,3,,167807.7649,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[7/2],3,7,,167846.4371,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[7/2],4,9,,167846.4456,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[5/2],3,7,,167846.6738,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[5/2],2,5,,167846.6854,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[3/2],1,3,,168355.4583,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[3/2],2,5,,168378.7113,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[1/2],1,3,,168358.6202,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[1/2],0,1,,168586.8304,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6s,2[3/2]*,2,5,,168924.6500,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6s,2[3/2]*,1,3,,168967.3526,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[1/2]*,0,1,,169482.9862,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[1/2]*,1,3,,169488.4193,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[7/2]*,4,9,,169501.6353,,0.0011,L8826
2s2.2p5.(2P*<3/2>).5d,2[7/2]*,3,7,,169502.2893,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[3/2]*,2,5,,169508.5627,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[3/2]*,1,3,,169516.9948,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[5/2]*,2,5,,169526.2708,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[5/2]*,3,7,,169526.8869,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[3/2],1,3,,169530.4673,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[3/2],2,5,,169530.4862,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[9/2],4,9,,169534.3826,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[9/2],5,11,,169534.3865,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[5/2]*,2,5,,169536.8397,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[5/2]*,3,7,,169536.8424,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[11/2]*,5,11,,169538.2097,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[11/2]*,6,13,,169538.2168,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[5/2],3,7,,169538.9668,,0.0010,L8826
