Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p,2P*,1/2,2,,0.0000,,_,  95         :     4  2p3            2P*  ,L12312
2s2.2p,2P*,3/2,4,,15.287,,0.003,  95         :     4  2p3            2P*  ,L12312
2s.2p2,4P,1/2,2,,28647.43,+x,1.8, 100                                      ,L12312
2s.2p2,4P,3/2,4,,28652.07,+x,1.8, 100                                      ,L12312
2s.2p2,4P,5/2,6,,28658.40,+x,1.8, 100                                      ,L12312
2s2.3s,2S,1/2,2,,40039.6907,,0.0023,  95         :     5  2p2.(1S).3s    2S   ,L12312
2s.2p2,2D,5/2,6,,47856.809,,0.004,  79         :     7  2s2.3d         2D   ,L12312
2s.2p2,2D,3/2,4,,47857.125,,0.004,  79         :     7  2s2.3d         2D   ,L12312
2s2.3p,2P*,1/2,2,,48611.8663,,0.003,  91         :     7  2p2.(1S).3p    2P*  ,L12312
2s2.3p,2P*,3/2,4,,48613.6486,,0.0024,  91         :     7  2p2.(1S).3p    2P*  ,L12312
2s2.3d,2D,3/2,4,,54767.6944,,0.002,  88         :     7  2s.2p2         2D   ,L12312
2s2.3d,2D,5/2,6,,54767.8387,,0.003,  88         :     7  2s.2p2         2D   ,L12312
2s2.4s,2S,1/2,2,,55010.2338,,0.0024,  95         :     5  2p2.(1S).4s    2S   ,L12312
2s2.4p,2P*,1/2,2,,57786.4336,,0.003,  92         :     7  2p2.(1S).4p    2P*  ,L12312
2s2.4p,2P*,3/2,4,,57787.0683,,0.003,  92         :     7  2p2.(1S).4p    2P*  ,L12312
2s2.4d,2D,3/2,4,,59993.45,,0.13,  93         :     5  2p2.(1S).4d    2D   ,L12312
2s2.4d,2D,5/2,6,,59993.45,,0.13,  93         :     5  2p2.(1S).4d    2D   ,L12312
2s2.4f,2F*,5/2,6,,60031.0762,,0.003,  92         :     8  2p2.(1S).4f    2F*  ,L12312
2s2.4f,2F*,7/2,8,,60031.0816,,0.003,  92         :     8  2p2.(1S).4f    2F*  ,L12312
2s2.5s,2S,1/2,2,,60146.414,,0.010,  86         :     5  2p2.(1S).5s    2S   ,L12312
2s2.5p,2P*,"1/2,3/2",6,,61433.59,,1.1,  92         :     7  2p2.(1S).5p    2P*  ,L12312
2s2.6s,2S,1/2,2,,62482.167,,0.14,  77         :    12  2s.2p2         2S   ,L12312
2s2.5d,2D,3/2,4,,62485.504,,0.14,  94         :     5  2p2.(1S).5d    2D   ,L12312
2s2.5d,2D,5/2,6,,62485.504,,0.14,  94         :     5  2p2.(1S).5d    2D   ,L12312
2s2.5f,2F*,5/2,6,,62516.5592,,0.003,  92         :     8  2p2.(1S).5f    2F*  ,L12312
2s2.5f,2F*,7/2,8,,62516.5592,,0.003,  92         :     8  2p2.(1S).5f    2F*  ,L12312
2s2.6p,2P*,"1/2,3/2",6,,63263.24,,1.1,  92         :     7  2p2.(1S).6p    2P*  ,L12312
2s.2p2,2S,1/2,2,,63560.638,,0.14,  35         :    31  2s2.7s         2S   ,L12312
2s2.6d,2D,3/2,4,,63845.323,,0.14,  95         :     5  2p2.(1S).6d    2D   ,L12312
2s2.6d,2D,5/2,6,,63845.323,,0.14,  95         :     5  2p2.(1S).6d    2D   ,L12312
2s2.6f,2F*,5/2,6,,63866.326,,0.03,  92         :     8  2p2.(1S).6f    2F*  ,L12312
2s2.6f,2F*,7/2,8,,63866.326,,0.03,  92         :     8  2p2.(1S).6f    2F*  ,L12312
2s2.7s,2S,1/2,2,,64156.017,,0.15,  58         :    31  2s.2p2         2S   ,L12312
2s2.7p,2P*,"1/2,3/2",6,,64308.39,,1.2,  92         :     7  2p2.(1S).7p    2P*  ,L12312
2s2.7d,2D,3/2,4,,64665.353,,0.15,  95         :     5  2p2.(1S).7d    2D   ,L12312
2s2.7d,2D,5/2,6,,64665.353,,0.15,  95         :     5  2p2.(1S).7d    2D   ,L12312
2s2.7f,2F*,5/2,6,,64679.745,,0.03,  92         :     8  2p2.(1S).7f    2F*  ,L12312
2s2.7f,2F*,7/2,8,,64679.745,,0.03,  92         :     8  2p2.(1S).7f    2F*  ,L12312
2s2.8s,2S,1/2,2,,64792.09,,0.15,  83         :    12  2s.2p2         2S   ,L12312
2s2.8p,2P*,"1/2,3/2",6,,64964.3,,1.2,  92         :     7  2p2.(1S).8p    2P*  ,L12312
2s2.8d,2D,3/2,4,,65197.29,,0.15,  95         :     5  2p2.(1S).8d    2D   ,L12312
2s2.8d,2D,5/2,6,,65197.29,,0.15,  95         :     5  2p2.(1S).8d    2D   ,L12312
2s2.8f,2F*,5/2,6,,65207.38,,0.05,  92         :     8  2p2.(1S).8f    2F*  ,L12312
2s2.8f,2F*,7/2,8,,65207.38,,0.05,  92         :     8  2p2.(1S).8f    2F*  ,L12312
2s2.9s,2S,1/2,2,,65270.19,,0.15,  95         :     5  2p2.(1S).9s    2S   ,L12312
2s2.9p,2P*,"1/2,3/2",6,,65400.7,,1.2,  92         :     7  2p2.(1S).9p    2P*  ,L12312
2s2.9d,2D,"3/2,5/2",10,,65561.68,,0.15,  95         :     5  2p2.(1S).9d    2D   ,L12312
2s2.9f,2F*,"5/2,7/2",14,,65568.95,,0.05,  92         :     8  2p2.(1S).9f    2F*  ,L12312
2s2.10s,2S,1/2,2,,65609.38,,0.15,                                          ,L12312
2s2.10d,2D,"3/2,5/2",10,,65822.14,,0.15,                                          ,L12312
2s2.10f,2F*,"5/2,7/2",14,,65827.26,,0.05,                                          ,L12312
2s2.11d,2D,"3/2,5/2",10,,66014.59,,0.15,                                          ,L12312
2s2.11f,2F*,"5/2,7/2",14,,66018.63,,0.05,                                          ,L12312
2s2.12d,2D,"3/2,5/2",10,,66160.94,,0.15,                                          ,L12312
2s2.13d,2D,"3/2,5/2",10,,66274.68,,0.16,                                          ,L12312
2s2.14d,2D,"3/2,5/2",10,,66364.91,,0.16,                                          ,L12312
2s2.15d,2D,"3/2,5/2",10,,66437.64,,0.16,                                          ,L12312
2s2.16d,2D,"3/2,5/2",10,,66497.16,,0.16,                                          ,L12312
2s2.17d,2D,"3/2,5/2",10,,66546.49,,0.16,                                          ,L12312
2s2.18d,2D,"3/2,5/2",10,,66587.80,,0.16,                                          ,L12312
2s2.19d,2D,"3/2,5/2",10,,66622.73,,0.16,                                          ,L12312
2s2.20d,2D,"3/2,5/2",10,,66652.54,,0.16,                                          ,L12312
2s2.21d,2D,"3/2,5/2",10,,66678.18,,0.16,                                          ,L12312
2s2.22d,2D,"3/2,5/2",10,,66700.43,,0.16,                                          ,L12312
2s2.23d,2D,"3/2,5/2",10,,66719.81,,0.16,                                          ,L12312
2s2.24d,2D,"3/2,5/2",10,,66736.87,,0.18,                                          ,L12312
2s2.25d,2D,"3/2,5/2",10,,66752.05,,0.18,                                          ,L12312
2s2.26d,2D,"3/2,5/2",10,,66765.21,,0.16,                                          ,L12312
2s2.27d,2D,"3/2,5/2",10,,66777.09,,0.16,                                          ,L12312
2s2.28d,2D,"3/2,5/2",10,,66787.68,,0.16,                                          ,L12312
2s2.29d,2D,"3/2,5/2",10,,66797.31,,0.22,                                          ,L12312
2s2.30d,2D,"3/2,5/2",10,,66805.67,,0.18,                                          ,L12312
2s2.31d,2D,"3/2,5/2",10,,66813.69,,0.16,                                          ,L12312
