Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d2.(3F).6p,2G*,7/2,8,,21662.51,,,0.995,  51             :    15  4f.5d.6s               ,
5d2.(3F).6p,2G*,9/2,10,,22285.77,,,1.13,  44             :    32  4f.5d.6s               ,
5d3,2F,7/2,8,,21943.80,,,,  95             :     4  5d2.(3F).6s   2F       ,
5d3,2F,5/2,6,,21969.32,,,,  93             :     3  5d2.(3F).6s   2F       ,
5d2.(3F).6p,4D*,1/2,2,,22246.64,,,0.04,  89                                             ,
5d2.(3F).6p,4D*,3/2,4,,22439.36,,,1.192,  92                                             ,
5d2.(3F).6p,4D*,5/2,6,,22804.25,,,1.362,  92                                             ,
5d2.(3F).6p,4D*,7/2,8,,23303.26,,,1.178,  80                                             ,
5d.6s.(3D).6p,*,7/2,8,,23221.10,,,1.078,  23  2F*        :    47  4f.5d.6s               ,
5d2.(3P).6p,2S*,1/2,2,,23260.92,,,1.891,  85                                             ,
4f.5d.(1G*).6s,2G*,9/2,10,,23466.84,,,1.11,  49             :    31  5d2.6p                 ,
5d2.(3P).6p,4D*,1/2,2,,23528.45,,,0.153,  85                                             ,
5d2.(3P).6p,4D*,3/2,4,,23704.81,,,1.133,  79                                             ,
5d2.(3P).6p,4D*,5/2,6,,24046.10,,,1.271,  63             :    16  4f.5d.6s               ,
5d2.(3P).6p,4D*,7/2,8,,25083.36,,,1.381,  83             :    12  4f.5d.6s               ,
5d.6s.(3D).6p,*,5/2,6,,23874.95,,,0.962,  34  2F*        :    32  4f.5d.6s               ,
4f.5d.(3H*).6s,4H*,13/2,14,,,,,, 100                                             ,
4f.5d.(3H*).6s,4H*,7/2,8,,24088.54,,,0.72,  73             :    14  5d2.6p                 ,
4f.5d.(3H*).6s,4H*,9/2,10,,24249.00,,,0.96,  65             :    12  5d2.6p                 ,
4f.5d.(3H*).6s,4H*,11/2,12,,24841.42,,,1.15,  86                                             ,
4f.5d.(3F*).6s,4F*,3/2,4,,24173.83,,,0.717,  68             :    13  5d2.6p                 ,
4f.5d.(3F*).6s,4F*,5/2,6,,24507.87,o,,1.158,  48             :    21  5d2.6p                 ,
4f.5d.(3F*).6s,4F*,7/2,8,,25380.27,,,1.228,  84             :    10  5d2.6p                 ,
4f.5d.(3F*).6s,4F*,9/2,10,,25997.17,,,1.319,  85             :    11  5d2.6p                 ,
4f.5d.(1G*).6s,*,7/2,8,,24409.68,,,1.161,  40  2G*        :    29  5d2.6p                 ,
5d2.(3P).6p,4S*,3/2,4,,24639.26,,,1.781,  59             :    14  5d.6s.6p               ,
5d2.(3P).6p?,2D*?,3/2,4,,24762.60,,,0.854,  49             :    26  5d.6s.6p               ,
4f.5d.(1D*).6s?,*,3/2,4,,24910.38,,,0.724,  22  2D*        :    44  5d2.6p                 ,
5d2.(3P).6p?,*,5/2,6,,24984.29,,,1.063,  31  2D*        :    49  4f.5d.6s               ,
