Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d3.6s.(5F).6p,z 4F*,9/2,10,,25926.34,,,1.292,
,223*,7/2,8,,22380.53,,,1.060,
,224,5/2,6,,22434.37,,,,
,228,3/2,4,,22842.84,,,0.894,
,231,11/2,12,,23141.4,?,,,
5d3.6s.(5F).6p,z 6F*,1/2,2,,23355.41,,,-0.320,
5d3.6s.(5F).6p,z 6F*,3/2,4,,24243.42,,,1.126,
5d3.6s.(5F).6p,z 6F*,5/2,6,,25181.12,,,1.239,
5d3.6s.(5F).6p,z 6F*,7/2,8,,26585.93,,,1.356,
5d3.6s.(5F).6p,z 6F*,9/2,10,,27733.43,,,1.390,
5d3.6s.(5F).6p,z 6F*,11/2,12,,30361.22,,,1.334,
5d4.(a 3F).6s,b 4F,3/2,4,,,,,,
5d4.(a 3F).6s,b 4F,7/2,8,,,,,,
5d4.(a 3F).6s,b 4F,9/2,10,,,,,,
5d4.(a 3F).6s,b 4F,5/2,6,,23512.34,,,1.048,
5d3.6s.(5F).6p,z 6D*,1/2,2,,24516.69,,,2.888,
5d3.6s.(5F).6p,z 6D*,3/2,4,,24739.03,,,1.620,
5d3.6s.(5F).6p,z 6D*,5/2,6,,26794.76,,,1.416,
5d3.6s.(5F).6p,z 6D*,7/2,8,,27780.62,,,1.374,
5d3.6s.(5F).6p,z 6D*,9/2,10,,28766.65,,,1.337,
,246,1/2,2,,24698.70,,,,
,249,7/2,8,,24917.90,,,,
,249,9/2,10,,24934.58,,,,
,251*,9/2,10,,25185.89,,,,
,252,5/2,6,,25224.06,,,,
,253,9/2,10,,25376.41,,,,
,254,3/2,4,,25478.30,,,,
5d3.6s.(5F).6p,y 4D*,7/2,8,,,,,,
5d3.6s.(5F).6p,y 4D*,1/2,2,,25512.63,,,0.028,
5d3.6s.(5F).6p,y 4D*,3/2,4,,26363.69,,,1.393,
5d3.6s.(5F).6p,y 4D*,5/2,6,,28133.88,,,1.394,
5d2.6s2.(3P).6p,z 4P*?,5/2,6,,26219.62,,,1.338,
5d2.6s2.(3P).6p,z 4P*?,3/2,4,,26590.03,,,1.576,
5d2.6s2.(3P).6p,z 4P*?,1/2,2,,26866.05,,,2.650,
,266,9/2,10,,26678.4,?,,,
,269*,7/2,8,,26960.46,,,1.223,
,271,5/2,6,,27167.82,,,1.606,
,277*,11/2,12,,27783.0,?,,1.351,
,281*,7/2,8,,28182.60,,,1.115,
,282,11/2,12,,28285.99,,,,
,286*,3/2,4,,28689.31,,,1.356,
,288*,5/2,6,,28862.01,,,1.247,
,293*,5/2,6,,29343.46,,,0.814,
,297*,7/2,8,,29722.95,,,1.217,
5d3.6s.(5P).6p,y 6D*,9/2,10,,,,,,
5d3.6s.(5P).6p,y 6D*,1/2,2,,29902.27,,,2.994,
5d3.6s.(5P).6p,y 6D*,3/2,4,,30664.66,,,1.812,
5d3.6s.(5P).6p,y 6D*,5/2,6,,32486.75,,,1.687,
5d3.6s.(5P).6p,y 6D*,7/2,8,,34094.66,,,1.515,
,300*,7/2,8,,30015.61,,,,
,300*,9/2,10,,30021.20,,,1.186,
,305*,7/2,8,,30590.95,,,1.043,
5d3.6s.(5P).6p,z 4S*,3/2,4,,30894.67,,,1.808,
5d3.6s.(5P).6p,z 6P*,3/2,4,,31066.34,,,2.108,
5d3.6s.(5P).6p,z 6P*,5/2,6,,31961.42,,,1.684,
5d3.6s.(5P).6p,z 6P*,7/2,8,,33197.75,,,1.568,
,314*,5/2,6,,31428.05,,,,
5d2.6s2.(3P).6p,z 2P*,3/2,4,,,,,,
5d2.6s2.(3P).6p,z 2P*,1/2,2,,31500.99,,,0.758,
,315*,9/2,10,,31530.02,,,1.086,
,315*,3/2,4,,31553.89,,,0.888,
,316*,7/2,8,,31600.95,,,1.089,
,321*,7/2,8,,32132.38,,,0.846,
,322*,3/2,4,,32214.94,,,0.728,
,330*,11/2,12,,33070.28,,,1.349,
,331*,5/2,6,,33184.97,,,1.273,
,334*,9/2,10,,33497.15,,,1.031,
,336*,9/2,10,,33615.49,,,1.067,
,340*,5/2,6,,34001.16,,,1.140,
,340*,3/2,4,,34078.42,,,1.089,
,347*,5/2,6,,34792.22,,,1.483,
,347*,7/2,8,,34799.71,,,1.210,
,352*,9/2,10,,35217.94,,,1.582,
,352*,3/2,4,,35242.94,,,1.534,
,354*,9/2,10,,35497.65,,,0.940,
,357*,3/2,4,,35721.0,,,1.010,
,357*,7/2,8,,35746.18,,,1.101,
,358*,11/2,12,,35813.47,,,1.200,
,358*,5/2,6,,35876.47,,,1.490,
,359*,5/2,6,,35925.09,,,,
5d3.6s.(3H).6p,z 4G*?,5/2,6,,36013.97,,,0.985,
5d3.6s.(3H).6p,z 4G*?,7/2,8,,36799.88,,,1.133,
5d3.6s.(3H).6p,z 4G*?,9/2,10,,38813.32,,,1.088,
5d3.6s.(3H).6p,z 4G*?,11/2,12,,40510.38,,,1.264,
,360*,5/2,6,,36069.2,,,,
5d3.6s.(3H).6p,z 4H*?,7/2,8,,36159.13,,,0.852,
5d3.6s.(3H).6p,z 4H*?,9/2,10,,37076.71,,,1.046,
5d3.6s.(3H).6p,z 4H*?,11/2,12,,38194.22,,,,
5d3.6s.(3H).6p,z 4H*?,13/2,14,,39360.68,,,1.061,
,363*,1/2,2,,36345.8,,,0.536,
5d3.6s.(3G).6p,y 4F*?,7/2,8,,,,,,
5d3.6s.(3G).6p,y 4F*?,9/2,10,,,,,,
5d3.6s.(3G).6p,y 4F*?,3/2,4,,36580.06,,,0.716,
5d3.6s.(3G).6p,y 4F*?,5/2,6,,38447.99,,,1.045,
,366*,9/2,10,,36631.15,,,1.211,
5d3.6s.(3G).6p,y 4G*?,11/2,12,,,,,,
5d3.6s.(3G).6p,y 4G*?,5/2,6,,36825.97,,,0.825,
5d3.6s.(3G).6p,y 4G*?,7/2,8,,38679.05,,,1.055,
5d3.6s.(3G).6p,y 4G*?,9/2,10,,40686.42,,,1.208,
,371*,7/2,8,,37143.25,,,,
,371*,5/2,6,,37145.60,,,1.501,
,374*,1/2,2,,37461.46,,,1.257,
,375*,3/2,4,,37523.54,,,0.973,
,375*,7/2,8,,37561.25,,,1.242,
,376*,5/2,6,,37630.09,,,1.211,
,377*,3/2,4,,37760.67,,,0.518,
5d3.6s.(3H).6p,z 4I*?,15/2,16,,,,,,
5d3.6s.(3H).6p,z 4I*?,9/2,10,,37942.84,,,0.878,
5d3.6s.(3H).6p,z 4I*?,11/2,12,,39468.63,,,1.040,
5d3.6s.(3H).6p,z 4I*?,13/2,14,,40911.83,,,,
,382*,7/2,8,,38253.39,,,1.112,
5d4.(5D).6p,y 6F*,1/2,2,,38507.54,,,0.730,
5d4.(5D).6p,y 6F*,3/2,4,,39587.81,,,1.083,
5d4.(5D).6p,y 6F*,5/2,6,,41580.98,,,1.366,
5d4.(5D).6p,y 6F*,7/2,8,,43177.37,,,1.356,
5d4.(5D).6p,y 6F*,9/2,10,,44806.64,,,1.417,
5d4.(5D).6p,y 6F*,11/2,12,,45838.75,,,1.280,
,385*,3/2,4,,38545.70,,,1.359,
,387*,5/2,6,,38753.75,,,0.952,
,388*,1/2,2,,38845.25,,,0.460,
,389*,3/2,4,,38994.33,,,1.027,
,390*,5/2,6,,39059.52,,,1.054,
,392*,3/2,4,,39253.07,,,1.128,
,394*,9/2,10,,39422.40,,,1.143,
,394*,1/2,2,,39490.14,,,0.560,
,395*,7/2,8,,39526.7,,,,
,396*,7/2,8,,39641.24,,,1.090,
,396*,5/2,6,,39688.20,,,0.930,
,397*,5/2,6,,39786.52,,,1.065,
,399*,7/2,8,,39936.13,,,1.295,
,402*,3/2,4,,40230.01,,,1.232,
,402*,1/2,2,,40244.74,,,1.056,
,403*,7/2,8,,40333.03,,,1.159,
,403*,3/2,4,,40339.2,,,0.956,
,407*,7/2,8,,40755.90,,,1.134,
,408*,5/2,6,,40851.61,,,1.265,
,409*,7/2,8,,40981.79,,,1.245,
,410*,5/2,6,,41010.07,,,1.227,
5d3.6s.(5F).7s,e 6F,1/2,2,,41151.26,,,-0.657,
5d3.6s.(5F).7s,e 6F,3/2,4,,41594.83,,,0.996,
5d3.6s.(5F).7s,e 6F,5/2,6,,42501.59,,,1.250,
5d3.6s.(5F).7s,e 6F,7/2,8,,43982.43,,,1.433,
5d3.6s.(5F).7s,e 6F,9/2,10,,45636.83,,,1.411,
5d3.6s.(5F).7s,e 6F,11/2,12,,47319.57,,,1.434,
,411*,1/2,2,,41179.9,,,0.434,
,411*,3/2,4,,41197.67,,,1.335,
,412*,7/2,8,,41256.56,,,1.533,
,415*,5/2?,6,,41584.94,,,,
,416*,3/2,4,,41692.64,,,1.183,
,418*,5/2,6,,41879.23,,,1.199,
,419*,1/2,2,,41902.92,,,0.745,
,420*,7/2,8,,42017.95,,,1.107,
,421*,3/2,4,,42178.76,?,,,
,422*,9/2,10,,42247.00,,,1.268,
,424*,3/2,4,,42408.16,,,1.227,
,427*,7/2,8,,42751.72,,,1.170,
,427*,3/2,4,,42778.70,,,1.321,
,428*,5/2,6,,42844.73,,,1.409,
,429*,7/2,8,,42953.1,,,1.046?,
,429*,5/2,6,,42982.8,,,1.172,
,430*,9/2,10,,43090.28,,,1.222,
,431*,3/2,4,,43167.07,,,1.135,
,431*,11/2,12,,43185.09,,,1.219,
,432*,5/2,6,,43239.22,,,0.973,
,433*,9/2,10,,43391.71,,,,
5d4.(5D).6p,y 4P*,1/2,2,,43478.20,,,2.18,
5d4.(5D).6p,y 4P*,3/2,4,,44689.31,,,1.809,
5d4.(5D).6p,y 4P*,5/2,6,,46323.31,,,1.601,
,434,9/2,10,,43493.24,?,,,
,434*,5/2,6,,43496.65,,,1.22,
,435*,7/2,8,,43533.3,,,1.215,
,435*,5/2,6,,43550.78,,,0.945,
,438*,3/2,4,,43818.63,,,1.642,
,438*,5/2,6,,43880.84,,,1.284,
5d3.6s.(5F).7s,e 4F,3/2,4,,43964.50,,,,
5d3.6s.(5F).7s,e 4F,5/2,6,,44461.60,,,0.988,
5d3.6s.(5F).7s,e 4F,7/2,8,,47817.16,,,,
5d3.6s.(5F).7s,e 4F,9/2,10,,50509.7,,,,
,440,3/2,4,,44095.95,,,,
,441*,11/2,12,,44141.31,,,1.122,
,441*,1/2,2,,44146.16,,,0.714,
,441*,7/2,8,,44165.58,,,1.067,
,441*,9/2,10,,44173.62,,,1.115,
,443*,3/2,4,,44350.19,,,1.309,
,443*,5/2,6,,44386.40,,,1.179,
,444*,9/2,10,,44402.56,,,1.146,
,444*,3/2,4,,44483.96,,,1.034,
5d4.(5D).6p,x 6D*,1/2,2,,44518.10,,,2.378,
5d4.(5D).6p,x 6D*,3/2,4,,45246.22,,,1.85,
5d4.(5D).6p,x 6D*,5/2,6,,45255.98,,,1.662,
5d4.(5D).6p,x 6D*,7/2,8,,46409.79,,,1.532,
5d4.(5D).6p,x 6D*,9/2,10,,47799.81,,,,
,4466*,7/2,8,,44669.23,,,1.682,
,4469*,7/2,8,,44693.40,,,1.227,
,450*,11/2,12,,45057.34,,,1.056,
,451*,7/2,8,,45114.71,,,1.337,
5d4.(5D).6p,y 6P*,3/2,4,,45241.73,,,1.245,
5d4.(5D).6p,y 6P*,5/2,6,,45714.68,,,,
5d4.(5D).6p,y 6P*,7/2,8,,47621.88,,,,
,452*,3/2,4,,45276.39,,,,
,456*,7/2,8,,45648.26,,,1.264,
,457*,3/2,4,,45723.58,,,1.112,
,458*,7/2,8,,45841.6,,,,
,460*,7/2?,8,,46060.6,,,,
,461*,5/2,6,,46116.93,,,1.254,
,461*,7/2,8,,46172.44,,,1.186,
,461*,3/2,4,,46176.76,,,0.896,
,465*,11/2,12,,46552.13,,,1.266,
,468*,3/2,4,,46887.79,,,0.737,
,469*,5/2,6,,46933.38,,,,
,469*,3/2,4,,46974.03,,,1.871,
,469,5/2,6,,46981.89,,,,
,470*,7/2,8,,47013.02,,,,
,473*,11/2,12,,47339.48,,,,
,473*,5/2,6,,47397.06,,,,
,476*,7/2,8,,47625.01,,,,
,479*,7/2,8,,47931.16,,,,
,480*,7/2,8,,48069.61,,,,
,482,5/2,6,,48290.45,,,,
,483*,5/2,6,,48369.35,,,,
,484*,9/2,10,,48468.96,,,,
,491*,9/2,10,,49149.30,,,,
,4955*,7/2,8,,49551.0,?,,,
,4959*,7/2,8,,49599.21,,,,
,498*,7/2,8,,49882.5,?,,,
,499*,5/2,6,,49981.32,,,,
,500*,9/2,10,,50014.07,,,,
,501*,3/2,4,,50145.55,,,,
,504*,9/2,10,,50439.3,,,,
,508*,3/2,4,,50877.75,,,,
,514*,7/2,8,,51418.1,,,,
,519*,7/2,8,,51982.5,,,,
,527,9/2,10,,52723.73,,,,
,529*,3/2,4,,52907.8,,,,
5d3.6s.(5F).8s,f 4F,5/2,6,,,,,,
5d3.6s.(5F).8s,f 4F,7/2,8,,,,,,
5d3.6s.(5F).8s,f 4F,9/2,10,,,,,,
5d3.6s.(5F).8s,f 4F,3/2,4,,54440.57,,,0.502,
,544,5/2,6,,54481.09,,,,
,552,9/2,10,,55232.59,,,,
,560,5/2,6,,56050.2,,,,
,583,3/2,4,,58391.76,,,,
,585*,3/2,4,,58583.88,,,,
Ta II (5d3.6s 5F<1>),Limit,---,,,60891.4,,0.2,,L13153
,615,1/2,2,,61551.17,,,,
,617,5/2,6,,61737.0,,,,
,617,3/2,4,,61789.26,,,,
