Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f12.6s2,3H,6,13,,0.000,,,1.16381,  99                                                                       ,L3974
4f12.6s2,3H,5,11,,6958.329,,,1.031, 100                                                                       ,
4f12.6s2,3H,4,9,,10750.982,,,0.936,  65             :    23                          3F                       ,
4f12.6s2,3F,4,9,,5035.193,,,1.147,  68             :    25                          1G                       ,
4f12.6s2,3F,3,7,,12377.534,,,1.065, 100                                                                       ,
4f12.6s2,3F,2,5,,13097.906,,,0.750,  79             :    20                          1D                       ,
4f11.(4I*<15/2>).5d<3/2>.6s2,"(15/2,3/2)*",6,13,,7176.503,,,1.302,             or  :    78                          (4I*) 5G*                ,
4f11.(4I*<15/2>).5d<3/2>.6s2,"(15/2,3/2)*",7,15,,7696.956,,,1.266,             or  :    78                          (4I*) 5H*                ,
4f11.(4I*<15/2>).5d<3/2>.6s2,"(15/2,3/2)*",9,19,,8620.565,,,1.150,             or  :    47                          (4I*) 3L*                ,
4f11.(4I*<15/2>).5d<3/2>.6s2,"(15/2,3/2)*",8,17,,9350.106,,,1.180,             or  :    42                          (4I*) 5I*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",10,21,,9655.848,,,1.194,             or  :    96                          (4I*) 5L*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",9,19,,10557.916,,,1.178,             or  :    71                          (4I*) 5K*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",5,11,,11401.197,,,1.205,             or  :    50                          (4I*) 5G*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",8,17,,11557.670,,,1.178,             or  :    46                          (4I*) 5I*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",6,13,,11799.778,,,1.190,             or  :    38                          (4I*) 5H*                ,
4f11.(4I*<15/2>).5d<5/2>.6s2,"(15/2,5/2)*",7,15,,11887.503,,,1.153,             or  :    47                          (4I*) 3I*                ,
4f11.(4I*<13/2>).5d<3/2>.6s2,"(13/2,3/2)*",8,17,,15083.114,,,1.050,             or  :    53                          (4I*) 5L*                ,
4f11.(4I*<13/2>).5d<3/2>.6s2,"(13/2,3/2)*",5,11,,15185.352,,,1.160,             or  :    55                          (4I*) 3G*                ,
4f11.(4I*<13/2>).5d<3/2>.6s2,"(13/2,3/2)*",7,15,,15846.549,,,1.070,             or  :    44                          (4I*) 5K*                ,
4f11.(4I*<13/2>).5d<3/2>.6s2,"(13/2,3/2)*",6,13,,16070.095,,,1.200,             or  :    48                          (4I*) 3H*                ,
4f12.(3H<6>).6s.6p.(3P*<0>),"(6,0)*",6,13,,16321.110,,,1.220,             or  :    71                          (3H)(3P*) 5G*            ,
4f11.(4I*<15/2>).6s2.6p<1/2>,"(15/2,1/2)",7,15,,16464.934,,,1.237,  95                                                                       ,
4f11.(4I*<15/2>).6s2.6p<1/2>,"(15/2,1/2)",8,17,,16727.479,,,1.175,  97                                                                       ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",4,9,,16472.783,,,1.075,             or  :    64                          (4I*) 5G*                ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",9,19,,16501.416,,,1.155,             or  :    67                          (4I*) 5L*                ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",5,11,,17029.058,,,1.150,             or  :    32                          (4I*) 5H*                ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",8,17,,17297.668,,,1.105,             or  :    58                          (4I*) 5K*                ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",6,13,,17456.383,,,1.070,             or  :    23                          (4I*) 5I*                ,
4f11.(4I*<13/2>).5d<5/2>.6s2,"(13/2,5/2)*",7,15,,17796.139,,,1.110,             or  :    50                          (4I*) 5I*                ,
4f12.(3H<6>).6s.6p.(3P*<1>),"(6,1)*",6,13,,17073.800,,,1.070,             or  :                                (3H)(3P*) 3I*            ,
4f12.(3H<6>).6s.6p.(3P*<1>),"(6,1)*",7,15,,17157.307,,,1.195,             or  :    40                          (3H)(3P*) 5I*            ,
4f12.(3H<6>).6s.6p.(3P*<1>),"(6,1)*",5,11,,17347.860,,,1.175,                                                                           ,
4f12.(3H<6>).6s.6p.(3P*<2>),"(6,2)*",8,17,,18335.496,,,1.250,             or  :    99                          (3H)(3P*) 5I*            ,
