Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""13847.77037""","=""""","=""0.00006""","=""0.945""","=""  50                         :    14  6d3.(2D2).7s 3D   ""","=""L18702,L16199"""
"=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""17959.89498""","=""""","=""0.00013""","=""1.175""","=""  65                         :    18  6d3.(2G).7s  1G   ""","=""L18702,L16199"""
"=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""13962.51989""","=""""","=""0.00008""","=""0.760""","=""  40  6d3.(2D2).7s 3D        :    21  6d3.(2D1).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(2G).7s""","=""""","=""5""","=""""","=""14204.26476""","=""""","=""0.00005""","=""1.150""","=""  44  6d3.(2H).7s 3H         :    37  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
"=""6d3.(2P).7s""","=""""","=""0""","=""""","=""14226.82045""","=""""","=""0.00012""","=""0.0""","=""  47  6d2.7s2 1S             :    28  6d3.(2P).7s  3P   ""","=""L18702,L3552"""
"=""5f.6d.7s2""","=""3P*""","=""1""","=""""","=""14243.993748""","=""""","=""0.00003""","=""1.205""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3P*""","=""0""","=""""","=""14247.30742""","=""""","=""0.00004""","=""0.0""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""17847.07751""","=""""","=""0.00006""","=""1.165""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5G*""","=""2""","=""""","=""14465.221873""","=""""","=""0.00003""","=""0.810""","=""                                                        ""","=""L18702,L2105"""
"=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""15166.900593""","=""""","=""0.00004""","=""1.065""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""18809.88631""","=""""","=""0.00004""","=""1.150""","=""                                                        ""","=""L18702,L16199"""
"=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""19588.36224""","=""""","=""0.00004""","=""1.150""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5G*""","=""6""","=""""","=""24084.94271""","=""""","=""0.00005""","=""1.220""","=""                                                        ""","=""L18702,L16199"""
"=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""15493.21943""","=""""","=""0.00006""","=""0.905""","=""  55                         :    26  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
"=""6d3.(2H).7s""","=""3H""","=""6""","=""""","=""16554.24283""","=""""","=""0.00007""","=""1.165""","=""  98                         :     2  6d4          3H   ""","=""L18702,L16199"""
"=""6d3.(2H).7s""","=""3H""","=""5""","=""""","=""17166.10472""","=""""","=""0.00009""","=""1.115""","=""  53                         :    39  6d3.(2G).7s  3G   ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""15618.98461""","=""""","=""0.00005""","=""0.590""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""16346.64962""","=""""","=""0.00004""","=""0.880""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""18011.38030""","=""""","=""0.00004""","=""1.025""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d2.7s""","=""5H*""","=""6""","=""""","=""19986.16721""","=""""","=""0.00006""","=""1.195""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d2.7s""","=""5H*""","=""7""","=""""","=""21903.40831""","=""""","=""0.00008""","=""1.240""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5F*""","=""1""","=""""","=""15736.968041""","=""""","=""0.00003""","=""0.385""","=""                                                        ""","=""L18702,L16199"""
"=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""17224.302340""","=""""","=""0.00003""","=""1.045""","=""                                                        ""","=""L18702,L16199"""
"=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""19503.143490""","=""""","=""0.00003""","=""1.090""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""19948.395175""","=""""","=""0.00003""","=""1.275""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5F*""","=""5""","=""""","=""21077.152101""","=""""","=""0.00003""","=""1.250""","=""                                                        ""","=""L18702,L16199"""
"=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""15863.88829""","=""""","=""0.00010""","=""1.070""","=""  40  6d3.(2D2).7s 3D        :    30  6d3.(4F).7s  3F   ""","=""L18702,L16199"""
"=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""15970.09583""","=""""","=""0.00007""","=""1.205""","=""  41  6d3.(2D2).7s 3D        :    33  6d3.(4F).7s  3F   ""","=""L18702,L16199"""
"=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""16217.482038""","=""""","=""0.00003""","=""1.070""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s2""","=""""","=""0""","=""""","=""16351.93901""","=""""","=""0.00024""","=""0.0""","=""  36  6d2.7s2 1S             :    26  6d3.(4P).7s  3P   ""","=""L18702,L3552"""
"=""5f.6d2.7s""","=""5I*""","=""4""","=""""","=""16783.84708""","=""""","=""0.00004""","=""0.695""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d2.7s""","=""5I*""","=""5""","=""""","=""17501.17592""","=""""","=""0.00004""","=""1.015""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d2.7s""","=""5I*""","=""6""","=""""","=""19227.33665""","=""""","=""0.00005""","=""1.085""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d2.7s""","=""5I*""","=""7""","=""""","=""20867.97560""","=""""","=""0.00007""","=""1.195""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d2.7s""","=""5I*""","=""8""","=""""","=""23621.50649""","=""""","=""0.00012""","=""""","=""                                                        ""","=""L18702,u39"""
"=""6d3.(4P).7s""","=""""","=""1""","=""""","=""17073.80916""","=""""","=""0.00016""","=""1.280""","=""  44  6d3.(4P).7s 3P         :    15  6d4          3P2  ""","=""L18702,L3552"""
"=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""17354.638583""","=""""","=""0.00003""","=""0.505""","=""                                                        ""","=""L18702,L17451"""
"=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""21165.098037""","=""""","=""0.00003""","=""1.300""","=""                                                        ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""""","=""3""","=""""","=""17398.39526""","=""""","=""0.00008""","=""1.195""","=""  45  6d3.(4F).7s 3F         :    37  6d3.(2D2).7s 3D   ""","=""L18702,u39"""
"=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""18069.065569""","=""""","=""0.00003""","=""1.135""","=""                                                        ""","=""L18702,L16199"""
"=""6d2.7s.7p""","=""5D*""","=""0""","=""""","=""18382.82669""","=""""","=""0.00012""","=""0.0""","=""                                                        ""","=""L18702,u39"""
