Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p4,3P,2,5,,0.000,,0.003,1.460(4),  93                         :     8  5p4               1D   ,L3680
5p4,3P,0,1,,4706.495,,0.003,,  90                         :    10  5p4               1S   ,L3682
5p4,3P,1,3,,4750.712,,0.003,1.514(10), 100                                                         ,L3682
5p4,1D,2,5,,10557.877,,0.003,1.037(3),  93                         :     8  5p4               3P   ,L3682
5p4,1S,0,1,,23198.392,,0.003,,  90                         :    10  5p4               3P   ,L2104
5p3.(4S*).6s,5S*,2,5,,44253.000,,0.005,1.960(3),  92                         :     5  5p3.(2P*).6s      3P*  ,L3682
5p3.(4S*).6s,3S*,1,3,,46652.738,,0.005,1.909(3),  91                         :     4  5p3.(2P*).6s      1P*  ,L3682
5p3.(4S*).6p,5P,1,3,,54160.094,,0.005,2.388(2),  89                         :     4  5p3.(4S*).6p      3P   ,L3682
5p3.(4S*).6p,5P,2,5,,54199.122,,0.005,1.762(1),  84                         :     7  5p3.(4S*).6p      3P   ,L3682
5p3.(4S*).6p,5P,3,7,,54535.345,,0.005,1.636(3),  93                         :     6  5p3.(2P*).6p      3D   ,L3682
5p3.(2D*).6s,3D*,1,3,,54683.886,,0.005,0.674(5),  74                         :     7  5p3.(2P*).6s      1P*  ,L3682
5p3.(2D*).6s,3D*,2,5,,54880.070,,0.005,1.224(5),  62                         :    13  5p3.(2P*).6s      3P*  ,L3682
5p3.(2D*).6s,3D*,3,7,,56842.538,,0.005,1.352(5),  83                         :    13  5p3.(4S*).5d      5D*  ,L3682
5p3.(4S*).6p,3P,1,3,,55355.672,,0.005,1.504(3),  84                         :     5  5p3.(2P*).6p      1P   ,L3682
5p3.(4S*).6p,3P,2,5,,55667.758,,0.005,1.496(5),  85                         :     8  5p3.(4S*).6p      5P   ,L3682
5p3.(4S*).6p,3P,0,1,,55809.132,,0.005,,  94                         :     3  5p3.(2P*).6p      3P   ,L3682
5p3.(4S*).5d,5D*,3,7,,55677.722,,0.005,,  77                         :    11  5p3.(2D*).6s      3D*  ,L3682
5p3.(4S*).5d,5D*,4,9,,55816.219,,0.005,1.47(2),  90                         :     5  5p3.(2P*).5d      3F*  ,L3682
5p3.(4S*).5d,5D*,2,5,,55817.311,,0.005,1.428(14),  79                         :     6  5p3.(2D*).6s      1D*  ,L3682
5p3.(4S*).5d,5D*,0,1,,55826.538,,0.005,,  91                         :     5  5p3.(2P*).5d      3P*  ,L3682
5p3.(4S*).5d,5D*,1,3,,55851.533,,0.005,,  88                         :     4  5p3.(2P*).5d      3P*  ,L3682
5p3.(2D*).6s,1D*,2,5,,57114.206,,0.005,1.08(3),  51                         :    23  5p3.(4S*).5d      3D*  ,L3682
5p3.(4S*).5d,3D*,2,5,,58592.434,,0.005,1.112(1),  59                         :    21  5p3.(2D*).6s      1D*  ,L3682
