Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d5.6s2,a 6S,5/2,6,,0.00,,,1.950,L3466
5d5.6s2,a 4P,5/2,6,,11583.96,,,1.278,
5d5.6s2,a 4P,3/2,4,,13826.12,,,1.485,
5d5.6s2,a 4P,1/2,2,,15165.89,,,2.368,
5d6.(5D).6s,a 6D,9/2,10,,11754.52,,,1.545,
5d6.(5D).6s,a 6D,7/2,8,,14216.86,,,1.567,
5d6.(5D).6s,a 6D,5/2,6,,15770.42,,,1.309,
5d6.(5D).6s,a 6D,3/2,4,,16327.51,,,1.706,
5d6.(5D).6s,a 6D,1/2,2,,17238.30,,,2.521,
5d5.6s2,a 4G,5/2,6,,14621.46,,,1.151,
5d5.6s2,a 4G,7/2,8,,15058.19,,,1.153,
5d5.6s2,a 4G,11/2,12,,16307.15,,,1.242,
5d5.6s2,a 4G,9/2,10,,16619.28,,,1.175,
5d5.6s2,a 4D,7/2,8,,17330.82,,,1.255,
5d5.6s2,a 4D,5/2,6,,19457.89,,,1.361,
5d5.6s2,a 4D,1/2,2,,19757.91,,,0.983,
5d5.6s2,a 4D,3/2,4,,20481.73,,,1.451,
5d5.6s.(7S).6p,z 8P*,5/2,6,,18950.1,,,2.274,
5d5.6s.(7S).6p,z 8P*,7/2,8,,20447.8,,,1.926,
5d5.6s.(7S).6p,z 8P*,9/2,10,,23631.82,,,1.768,
5d5.6s2,a 2F,7/2,8,,21775.40,,,1.135,
5d5.6s2,a 2F,5/2,6,,24425.40,,,1.067,
5d5.6s2,a 2G,9/2,10,,22160.04,,,1.198,
5d5.6s2,a 2G,7/2,8,,24724.22,,,1.03,
5d5.6s2,a 2D,3/2,4,,22422.83,,,0.781,
5d5.6s2,a 2D,5/2,6,,23154.81,,,1.189,
5d5.6s2,a 2I,11/2,12,,23956.00,,,0.995,
5d5.6s2,a 2I,13/2,14,,26348.96,,,1.100,
5d5.6s2,a 4F,3/2,4,,26131.57,,,0.650,
5d5.6s2,a 4F,9/2,10,,27514.31,,,1.13,
5d5.6s2,a 4F,5/2,6,,28030.32,,,1.12,
5d5.6s2,a 4F,7/2,8,,28542.13,,,,
5d6.(3P).6s,b 4P,1/2,2,,,,,,
5d6.(3P).6s,b 4P,5/2,6,,26661.43,,,1.32,
