Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d4.5s.(6D).5p,z 5F*,4,9,,35169.407,,,1.346,
4d4.5s.(6D).5p,z 5F*,5,11,,35719.270,,,1.395,
4d6,c 3H,6,13,,34810.153,,,1.09,
4d6,c 3H,5,11,,34912.076,,,1.10,
4d6,c 3H,4,9,,35042.114,,,0.79,
4d4.5s.(6D).5p,z 5D*,0,1,,37128.043,,,0.000,
4d4.5s.(6D).5p,z 5D*,1,3,,37292.965,,,1.489,
4d4.5s.(6D).5p,z 5D*,2,5,,37579.174,,,1.473,
4d4.5s.(6D).5p,z 5D*,3,7,,37968.418,,,1.492,
4d4.5s.(6D).5p,z 5D*,4,9,,38423.030,,,1.482,
4d4.5s.(4D).5p,y 5D*,0,1,,37365.610,,,0.000,
4d4.5s.(4D).5p,y 5D*,1,3,,37901.516,,,1.491,
4d4.5s.(4D).5p,y 5D*,2,5,,38522.192,,,1.471,
4d4.5s.(4D).5p,y 5D*,3,7,,39159.828,,,1.251,
4d4.5s.(4D).5p,y 5D*,4,9,,39915.644,,,1.463,
,1*,1,3,,38626.50,?,,1.443,
4d5.(4G).5p,z 5G*,2,5,,38983.332,,,0.428,
4d5.(4G).5p,z 5G*,3,7,,39121.439,,,1.070,
4d5.(4G).5p,z 5G*,4,9,,39289.564,,,,
4d5.(4G).5p,z 5G*,5,11,,39445.182,,,,
4d5.(4G).5p,z 5G*,6,13,,39600.000,,,,
4d4.5s.(4D).5p,x 5P*,1,3,,39358.533,,,2.485,
4d4.5s.(4D).5p,x 5P*,2,5,,39462.647,,,1.696,
4d4.5s.(4D).5p,x 5P*,3,7,,39960.469,,,1.282,
4d6,c 1I,6,13,,39521.056,,,0.982,
4d5.(6S).6s,e 7S,3,7,,39675.532,,,1.992,
4d5.(4G).5p,z 5H*,3,7,,39749.894,,,,
4d5.(4G).5p,z 5H*,4,9,,40067.717,,,,
4d5.(4G).5p,z 5H*,5,11,,40367.264,,,,
4d5.(4G).5p,z 5H*,6,13,,40653.701,,,,
4d4.5s.(4D).5p,z 3P*,1,3,,39779.89,?,,,
4d4.5s.(4D).5p,z 3P*,2,5,,39821.354,,,1.346,
4d4.5s.(4D).5p,z 3F*,3,7,,,,,,
4d4.5s.(4D).5p,z 3F*,2,5,,39989.061,,,1.350,
4d4.5s.(4D).5p,z 3F*,4,9,,40843.482,,,1.256,
4d4.5s.(4D).5p,z 3D*,1,3,,40036.940,,,0.781,
4d4.5s.(4D).5p,z 3D*,2,5,,40566.167,,,1.160,
4d4.5s.(4D).5p,z 3D*,3,7,,40964.040,,,1.278,
,2*,2,5,,40240.84,?,,,
4d5.(4P).5p,x 5D*,3,7,,40488.277,,,1.470,
4d5.(4P).5p,x 5D*,1,3,,40698.382,,,1.393,
4d5.(4P).5p,x 5D*,0,1,,40735.918,,,0.000,
4d5.(4P).5p,x 5D*,2,5,,40828.781,,,1.474,
4d5.(6S).6s,e 5S,2,5,,40840.331,,,,
4d5.(4G).5p,y 5F*,1,3,,41011.664,,,1.235,
4d5.(4G).5p,y 5F*,2,5,,41031.974,,,1.053,
4d5.(4G).5p,y 5F*,3,7,,41224.386,,,1.259,
4d5.(4G).5p,y 5F*,5,11,,41347.664,,,1.385,
4d5.(4G).5p,y 5F*,4,9,,41395.523,,,1.343,
,3*,1,3,,41398.340,,,1.067,
4d5.(4G).5p,y 3F*,2,5,,41484.450,,,0.781,
4d5.(4G).5p,y 3F*,3,7,,41849.838,,,1.084,
4d5.(4G).5p,y 3F*,4,9,,42087.533,,,1.225,
,3.1*,2,5,,41807.000,,,,
4d5.(4D).5p,w 5D*,1,3,,42156.079,,,1.438,
4d5.(4D).5p,w 5D*,0,1,,42173.008,,,0.000,
4d5.(4D).5p,w 5D*,2,5,,42237.314,,,1.442,
4d5.(4D).5p,w 5D*,3,7,,42422.323,,,1.425,
4d5.(4D).5p,w 5D*,4,9,,42741.804,,,1.403,
4d5.(4G).5p,z 3H*,4,9,,42185.838,,,0.851,
4d5.(4G).5p,z 3H*,5,11,,42283.180,,,,
4d5.(4G).5p,z 3H*,6,13,,42344.929,,,1.258,
,3.2*,2,5,,42783.153,,,,
,3.3*,1,3,,42936.720,,,,
4d5.(4G).5p,z 3G*,3,7,,42969.964,,,0.884,
4d5.(4G).5p,z 3G*,4,9,,43196.876,,,1.097,
4d5.(4G).5p,z 3G*,5,11,,43945.680,,,1.359,
4d5.(4D).5p,x 5F*,2,5,,43045.465,,,1.030,
