Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4d10.5s2,1S,0,1,,0.000,,0.007,L3466
4d10.5s.5p,3P*,0,1,,30113.990,,0.002,L3486
4d10.5s.5p,3P*,1,3,,30656.087,,0.002,L3486
4d10.5s.5p,3P*,2,5,,31826.952,,0.002,L3486
4d10.5s.5p,1P*,1,3,,43692.384,,0.002,L3486
4d10.5s.6s,3S,1,3,,51483.980,,0.002,L3486
4d10.5s.6s,1S,0,1,,53310.101,,0.010,L3486
4d10.5s.6p,3P*,0,1,,58390.9,,2.5,L3466
4d10.5s.6p,3P*,1,3,,58461.6,,2.5,L3466
4d10.5s.6p,3P*,2,5,,58635.7,,2.5,L3466
4d10.5s.5d,1D,2,5,,59219.734,,0.002,L3486
4d10.5s.5d,3D,1,3,,59485.768,,0.002,L3486
4d10.5s.5d,3D,2,5,,59497.868,,0.002,L3486
4d10.5s.5d,3D,3,7,,59515.990,,0.020,L3486c197
4d10.5s.6p,1P*,1,3,,59907.28,,0.18,L3641
4d10.5s.7s,3S,1,3,,62563.435,,0.002,L3486
4d10.5s.7s,1S,0,1,,63086.896,,0.002,L3486
4d10.5s.7p,3P*,0,1,,64995.9,,2.5,L3466
4d10.5s.7p,3P*,1,3,,65025.5,,0.3,L9542
4d10.5s.7p,3P*,2,5,,65093.702,,0.016,L3486
4d10.5s.6d,1D,2,5,,65134.783,,0.002,L3486
4d10.5s.6d,3D,1,3,,65353.372,,0.002,L3486
4d10.5s.6d,3D,2,5,,65358.881,,0.002,L3486
4d10.5s.6d,3D,3,7,,65367.227,,0.020,L3486
4d10.5s.7p,1P*,1,3,,65501.412,,0.016,L3486
4d10.5s.4f,3F*,"2,3,4",21,,65586.0,,0.3,L9542
4d10.5s.8s,3S,1,3,,66682.029,,0.002,L3486
4d10.5s.8s,1S,0,1,,66905.641,,0.010,L3486
4d10.5s.8p,3P*,0,1,,67829.656,,0.020,L3486
4d10.5s.8p,3P*,1,3,,67842.06,,0.05,L3486
4d10.5s.8p,3P*,2,5,,67875.191,,0.016,L3486
4d10.5s.7d,1D,2,5,,67838.401,,0.002,L3486
4d10.5s.7d,3D,1,3,,67989.814,,0.002,L3486
4d10.5s.7d,3D,2,5,,67992.708,,0.002,L3486
4d10.5s.7d,3D,3,7,,67997.101,,0.020,L3486
4d10.5s.8p,1P*,1,3,,68059.393,,0.016,L3486
