Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d10.6s.12p,1P*,1,3,,82463.923,,0.016,,
5d10.6s.8g,1G,4,9,,82468.,,2.,,
5d10.6s.8g,3G,4,9,,82468.,,2.,,
5d10.6s.13s,3S,1,3,,82590.86,,0.2,,
5d10.6s.13s,1S,0,1,,82615.7,,0.2,,
5d10.6s.13p,3P*,0,1,,82763.28,,0.05,,
5d10.6s.13p,3P*,1,3,,82765.67,,0.05,,
5d10.6s.13p,3P*,2,5,,82796.65,,0.05,,
5d10.6s.12d,1D,2,5,,82805.18,,0.3,,
5d10.6s.12d,3D,1,3,,82811.0,,0.4,,
5d10.6s.12d,3D,2,5,,82812.32,,0.20,,
5d10.6s.12d,3D,3,7,,82814.5,,0.5,,
5d10.6s.10f,1F*,3,7,,82818.5,,0.6,,
5d10.6s.10f,3F*,2,5,,82818.6,,0.5,,
5d10.6s.10f,3F*,3,7,,82818.9,,0.5,,
5d10.6s.10f,3F*,4,9,,82819.4,,0.5,,
5d10.6s.13p,1P*,1,3,,82823.816,,0.015,,
5d10.6s.9g,1G,4,9,,82832.,,2.,,
5d10.6s.9g,3G,4,9,,82832.,,2.,,
5d10.6s.14s,3S,1,3,,82915.4,,0.2,,
5d10.6s.14s,1S,0,1,,82932.9,,0.3,,
5d10.6s.14p,3P*,0,1,,83038.89,,0.05,,
5d10.6s.14p,3P*,1,3,,83040.43,,0.05,,
5d10.6s.14p,3P*,2,5,,83063.08,,0.05,,
5d10.6s.13d,1D,2,5,,83068.90,,0.19,,
5d10.6s.13d,3D,1,3,,83073.4,,0.3,,
5d10.6s.13d,3D,2,5,,83074.0,,0.20,,
5d10.6s.13d,3D,3,7,,83075.9,,0.3,,
5d10.6s.11f,3F*,3,7,,83078.8,,0.4,,
5d10.6s.11f,3F*,2,5,,83078.8,,0.4,,
5d10.6s.11f,3F*,4,9,,83079.6,,0.5,,
5d10.6s.11f,1F*,3,7,,83079.3,,0.4,,
5d10.6s.14p,1P*,1,3,,83081.93,,0.05,,
5d10.6s.10g,3G,4,9,,83087.,,3.,,
5d10.6s.10g,1G,4,9,,83087.,,3.,,
5d10.6s.15s,3S,1,3,,83149.7,,0.3,,
5d10.6s.15s,1S,0,1,,83162.7,,0.3,,
5d10.6s.15p,3P*,0,1,,83241.58,,0.05,,
5d10.6s.15p,3P*,1,3,,83242.45,,0.05,,
5d10.6s.15p,3P*,2,5,,83259.41,,0.05,,
5d10.6s.14d,1D,2,5,,83263.3,,0.4,,
