Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2.5p2,3P,0,1,,0.000,,0.010,,  90                                  ,"L3149,L14156"
5s2.5p2,3P,1,3,,1691.806,,0.005,1.502,  92                                  ,"L3149,L14156"
5s2.5p2,3P,2,5,,3427.673,,0.004,1.452,  86                                  ,"L3149,L14156"
5s2.5p2,1D,2,5,,8612.955,,0.003,1.052,  84                                  ,"L3149,L14156"
5s2.5p2,1S,0,1,,17162.499,,0.004,,  87                                  ,"L3149,L14156"
5s2.5p.6s,3P*,0,1,,34640.758,,0.003,, 100                                  ,"L3149,L6407"
5s2.5p.6s,3P*,1,3,,34914.282,,0.002,1.380,  75         :    25  5s2.5p.6s  1P*  ,"L3149,L6407"
5s2.5p.6s,3P*,2,5,,38628.876,,0.002,1.501,  97         :     3  5s.5p3     5S*  ,"L3149,L6407"
5s2.5p.6s,1P*,1,3,,39257.053,,0.002,1.121,  74         :    25  5s2.5p.6s  3P*  ,"L3149,L6407"
5s.5p3,5S*,2,5,,39625.506,,0.004,,  94         :     3  5s2.5p.6s  3P*  ,"L3149,L6407"
5s2.5p.6p,3D,1,3,,42342.216,,0.002,,  53         :    31             1P   ,"L3149,L14156"
5s2.5p.6p,3D,2,5,,43430.135,,0.002,,  59         :    16             1D   ,"L3149,L14156"
5s2.5p.6p,3D,3,7,,47006.830,,0.005,,  87                                  ,"L3149,L14156"
5s2.5p.6p,3P,1,3,,43368.634,,0.002,,  37         :    18             3D   ,"L3149,L14156"
5s2.5p.6p,3P,0,1,,43799.085,,0.004,,  75         :    12             1S   ,"L3149,L14156"
5s2.5p.6p,3P,2,5,,47235.221,,0.003,,  53         :    24             3D   ,"L3149,L14156"
5s2.5p.5d,3F*,2,5,,43682.737,,0.002,0.865,  55         :    39  5s2.5p.5d  1D*  ,"L3149,L6407"
5s2.5p.5d,3F*,3,7,,44576.006,,0.003,1.167,  51         :    33  5s2.5p.5d  3D*  ,"L3149,L6407"
5s2.5p.5d,3F*,4,9,,48107.27,,0.11,,  99                                  ,"L3149,L6407"
5s2.5p.5d,3D*,2,5,,44144.368,,0.002,1.131,  46         :    20  5s2.5p.5d  3P*  ,"L3149,L6407"
5s2.5p.5d,3D*,1,3,,44508.677,,0.003,0.635,  69         :    11  5s.5p3     3D*  ,"L3149,L6407"
5s2.5p.5d,3D*,3,7,,47487.696,,0.003,1.246,  45         :    38  5s2.5p.5d  3F*  ,"L3149,L6407"
5s2.5p.6p,1P,1,3,,46603.517,,0.003,,  38         :    28             3P   ,"L3149,L14156"
5s2.5p.5d,1D*,2,5,,47145.684,,0.004,0.941,  37         :    33  5s2.5p.5d  3F*  ,"L3149,L6407"
5s2.5p.6p,3S,1,3,,47805.840,,0.003,,  63         :    23             3P   ,"L3149,L14156"
5s2.5p.6p,1D,2,5,,48189.791,,0.003,,  61         :    23             3P   ,"L3149,L14156"
5s2.5p.7s,3P*,0,1,,48216.356,,0.015,,  97                                  ,"L3149,L6407"
5s2.5p.7s,3P*,1,3,,48222.159,,0.005,1.316,  65         :    31  5s2.5p.7s  1P*  ,"L3149,L6407"
5s2.5p.7s,3P*,2,5,,52415.877,,0.011,,  98                                  ,"L3149,L6407"
5s2.5p.5d,3P*,2,5,,48669.409,,0.007,1.406,  72         :    13  5s2.5p.5d  3D*  ,"L3149,L6407"
5s2.5p.5d,3P*,1,3,,48981.934,,0.006,1.229,  59         :    16  5s2.5p.5d  1P*  ,"L3149,L6407"
5s2.5p.5d,3P*,0,1,,49487.127,,0.021,,  93         :     5  5s.5p3     3P*  ,"L3149,L6407"
5s2.5p.6p ,1S,0,1,,49406.162,,0.003,,  68         :    12             3P   ,"L3149,L14156"
5s2.5p.5d,1F*,3,7,,49893.823,,0.009,1.043,  69         :     8  5s2.5p.6d  1F*  ,"L3149,L6407"
5s2.5p.5d,1P*,1,3,,50125.971,,0.005,1.066,  42         :    25  5s2.5p.5d  3P*  ,"L3149,L6407"
5s2.5p.7p,3D,1,3,,50756.212,,0.004,0.665(3),                                      ,L3149
5s2.5p.7p,3D,2,5,,51170.993,,0.003,1.181(3),                                      ,L3149
5s2.5p.7p,3D,3,7,,55140.472,,0.004,,                                      ,L3149
5s2.5p.6d,3D*,2,5,,51010.937,,0.007,,  36         :    23  5s2.5p.6d  3P*  ,"L3149,L6407"
5s2.5p.6d,3D*,1,3,,51474.718,,0.007,0.863,  36         :    18  5s2.5p.5d  1P*  ,"L3149,L6407"
5s2.5p.6d,3D*,3,7,,57181.71,,0.05,,  17         :    13  5s.5p3     3D*  ,"L3149,L6407"
5s2.5p.7p,3P,1,3,,51113.059,,0.004,1.463(4),                                      ,L3149
5s2.5p.7p,3P,0,1,,51375.332,,0.005,,                                      ,L3149
5s2.5p.7p,3P,2,5,,55187.151,,0.004,1.307(3),                                      ,L3149
5s2.5p.6d,3F*,2,5,,51160.520,,0.004,,  55         :    33  5s2.5p.6d  1D*  ,"L3149,L6407"
5s2.5p.6d,3F*,3,7,,51754.671,,0.005,,  38         :    24  5s2.5p.6d  3D*  ,"L3149,L6407"
5s2.5p.6d,3F*,4,9,,55444.611,,0.009,,  98                                  ,"L3149,L6407"
5s2.5p.4f,3G,3,7,,52248.822,,0.004,,  34         :    33             1F   ,"L3149,L14156"
5s2.5p.4f,3G,5,11,,56541.05,,0.110,,  89                                  ,"L3149,L14156"
5s2.5p.4f,3G,4,9,,56549.647,,0.003,,  48         :    40             1G   ,"L3149,L14156"
5s2.5p.4f,1G,4,9,,52254.28,,0.13,,  30         :    36             3G   ,"L3149,L14156"
5s2.5p.4f,3F,3,7,,52263.589,,0.004,,  34         :    30             3G   ,"L3149,L14156"
5s2.5p.4f,3F,4,9,,56400.530,,0.005,,  63         :    20             1G   ,"L3149,L14156"
5s2.5p.4f,3F,2,5,,56488.327,,0.003,,  45         :    38             1D   ,"L3149,L14156"
5s2.5p.4f,1D,2,5,,52265.373,,0.004,0.876(3),  28         :    42             3F   ,"L3149,L14156"
5s2.5p.7s,1P*,1,3,,52706.832,,0.006,,  48         :    18  5s2.5p.7s  3P*  ,"L3149,L6407"
5s2.5p.8s,3P*,0,1,,52919.767,,0.004,,  99                                  ,"L3149,L6407"
5s2.5p.8s,3P*,1,3,,53020.952,,0.003,,  52         :    25  5s2.5p.8s  1P*  ,"L3149,L6407"
5s2.5p.8s,3P*,2,5,,57150.177,,0.004,,  89                                  ,"L3149,L6407"
5s2.5p.7d,a 3D*,1,3,,53592.774,,0.004,,  25         :    21  5s.5p3     3D*  ,"L3149,L6407"
5s.5p3,3D*,2,5,,53631.806,,0.003,,  22         :    19  5s2.5p.7d  3D*  ,"L3149,L6407"
5s.5p3,3D*,3,7,,53826.604,,0.005,,  23         :    15  5s2.5p.7d  3D*  ,"L3149,L6407"
5s2.5p.8p,3D,1,3,,54070.814,,0.006,,                                      ,L3149
5s2.5p.8p,3D,2,5,,54234.318,,0.007,,                                      ,L3149
5s2.5p.7d,3F*,2,5,,54211.744,,0.005,,  60         :    29  5s2.5p.7d  1D*  ,"L3149,L6407"
5s2.5p.7d,3F*,3,7,,54653.830,,0.004,,  33         :    18  5s2.5p.7d  1F*  ,"L3149,L6407"
5s2.5p.7d,3F*,4,9,,58521.907,,0.006,,  98                                  ,"L3149,L6407"
5s2.5p.8p,3P,1,3,,54225.628,,0.005,,                                      ,L3149
5s2.5p.8p,3P,0,1,,54288.152,,0.009,,                                      ,L3149
5s2.5p.6d,1D*,2,5,,54713.310,,0.004,,  22         :    17  5s2.5p.7d  3P*  ,"L3149,L6407"
5s2.5p.5f,3F,3,7,,54762.862,,0.003,,                                      ,L3149
5s2.5p.5f,3F,2,5,,54770.188,,0.004,0.8844(19),                                      ,L3149
5s2.5p.5f,3F,4,9,,54771.898,,0.006,,                                      ,L3149
5s2.5p.5f,1F,3,7,,54767.731,,0.003,,                                      ,L3149
5s2.5p.(2P*<1/2>).5g,"(1/2,7/2)*",3,7,,54830.196,,0.012,,  99     or  :        5s2.5p.5g  3G*  ,"L3149,L3936"
5s2.5p.7p,1P,1,3,,54990.431,,0.004,1.0723(21),                                      ,L3149
