Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
,5280*,3/2,4,,52806.57,,,1.36,
,5355*,5/2,6,,53552.93,,,1.20,
,5364*,9/2,10,,53642.06,,,1.13,
,5368*,7/2,8,,53686.99,,,1.12,
,5377*,7/2,8,,53771.90,,,1.25,
,5406*,11/2,12,,54061.29,,,1.14,
,5411*,5/2,6,,54119.23,,,0.97,
,5414*,7/2,8,,54140.83,,,1.10,
,5426*,9/2,10,,54263.79,,,1.16,
,5431*,3/2,4,,54319.92,,,1.23,
,5456*,7/2,8,,54566.06,,,0.95,
,5463*,5/2,6,,54639.31,,,0.98,
,5466*,9/2,10,,54667.54,,,1.04,
,5471*,7/2,8,,54711.10,,,1.05,
,5489,9/2,10,,54892.63,,,1.36,
,5489*,7/2,8,,54894.82,,,1.06,
,5498*,3/2,4,,54985.38,,,1.31,
,5503*,9/2,10,,55035.94,,,1.10,
,5511*,11/2,12,,55114.11,,,1.12,
,5516*,3/2,4,,55160.88,,,1.17,
,5530,5/2,6,,55303.80,,,1.50,
,5538,7/2,8,,55382.00,,,,
,5549*,3/2,4,,55497.33,,,1.16,
,5561*,7/2,8,,55619.39,,,1.16,
,5563*,1/2,2,,55635.36,,,1.16,
,5588,3/2,4,,55885.44,,,,
,5591*,5/2,6,,55913.57,,,1.17,
,5597*,9/2,10,,55979.05,,,1.16,
,5601*,3/2,4,,56016.60,,,1.05,
,5612*,1/2,2,,56128.84,,,0.65,
,5626*,5/2,6,,56264.76,,,1.22,
,5637*,7/2,8,,56371.08,,,0.96,
,5641,9/2,10,,56416.08,,,1.38,
,5653*,3/2,4,,56538.45,,,1.23,
,5678*,3/2,4,,56788.22,,,1.21,
,5679,7/2,8,,56792.60,,,1.27,
,5704*,7/2,8,,57042.80,,,1.15,
,5718*,7/2,8,,57186.64,,,0.99,
,5724*,3/2,4,,57247.57,,,1.39,
,5769*,7/2,8,,57697.46,,,0.98,
,5773*,3/2,4,,57737.04,,,1.40,
,5777*,9/2,10,,57774.99,,,1.14,
,5804*,5/2,6,,58042.02,,,1.00,
,5811*,5/2,6,,58117.84,,,1.36,
,5847*,7/2,8,,58470.79,,,,
,5857*,9/2,10,,58570.57,,,0.92,
,5862*,7/2,8,,58625.10,,,1.03,
,5915*,3/2,4,,59155.42,,,0.88,
,5935*,5/2,6,,59354.02,,,1.01,
,5952,11/2,12,,59525.87,,,1.28,
,5956*,3/2,4,,59564.11,,,1.19,
,5961*,1/2,2,,59618.93,,,2.01,
,5964,7/2,8,,59647.72,,,1.32,
,5972*,9/2,10,,59725.87,,,,
,5982,5/2,6,,59824.53,,,,
,5987,7/2,8,,59878.02,,,1.30,
,6001,9/2,10,,60012.25,,,1.38,
,6006,5/2,6,,60062.45,,,1.35,
,6026*,7/2,8,,60263.04,,,,
,6041*,5/2,6,,60411.48,,,,
,6064*,7/2,8,,60643.36,,,,
,6066*,3/2,4,,60662.13,,,0.94,
,6066,3/2,4,,60663.13,,,1.13,
,6072*,5/2,6,,60721.97,,,1.00,
,6079*,3/2,4,,60794.40,,,0.94,
,6107*,7/2,8,,61074.71,,,1.13,
,6143,3/2,4,,61431.49,,,,
,6148,3/2,4,,61481.37,,,0.45,
,6201,7/2,8,,62018.84,,,1.35,
,6207*,9/2,10,,62079.82,,,,
,6216,7/2,8,,62164.91,,,1.35,
,6220,11/2,12,,62208.67,,,1.20,
,6222,9/2,10,,62220.91,,,1.39,
,6237,7/2,8,,62377.72,,,1.23,
,6242,1/2,2,,62425.80,,,,
,6275,7/2,8,,62757.18,,,1.11,
,6283,9/2,10,,62835.40,,,1.28,
,6339,3/2,4,,63391.27,,,,
,6346,9/2,10,,63469.72,,,1.27,
,6397,7/2,8,,63976.18,,,1.41,
,6461,7/2,8,,64618.16,,,,
Ir II (5d7.6s 5F<5>),Limit,---,,,72323.9,,1.8,,L8105
