Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p4.(3P<2>).8s,2[2],5/2,6,,77450.540,,0.005,1.563,L3674
5s2.5p4.(3P<2>).8s,2[2],3/2,4,,77555.655,,0.005,1.35,L3674
5s2.5p4.(1D<2>).6p,2[1]*,3/2,4,,78415.078,,0.005,1.39,L3674
5s2.5p4.(1D<2>).6p,2[1]*,1/2,2,,79701.422,,0.005,1.02,L3674
5s2.5p4.(3P<0>).7s,2[0],1/2,2,,78415.501,,0.005,,L3674
5s2.5p4.(1D<2>).6p,2[3]*,5/2,6,,78592.403,,0.005,,L3674
5s2.5p4.(1D<2>).6p,2[3]*,7/2,8,,79003.427,,0.005,1.03,L3674
5s2.5p4.(3P<2>).8p,2[2]*,5/2,6,,78732.062,,0.005,1.454,L3674
5s2.5p4.(3P<2>).8p,2[2]*,3/2,4,,78815.27,,0.04,1.71,L13998
5s2.5p4.(3P<2>).8p,2[1]*,1/2,2,,78779.938,,0.005,1.479,L3674
5s2.5p4.(3P<2>).8p,2[1]*,3/2,4,,79224.487,,0.005,1.30,L3674
5s2.5p4.(3P<2>).8p,2[3]*,7/2,8,,78844.134,,0.005,,L3674
5s2.5p4.(3P<2>).8p,2[3]*,5/2,6,,78854.578,,0.005,1.11,L3674
5s2.5p4.(3P<2>).7d,2[1],1/2,2,,78889.352,,0.005,,L3674
5s2.5p4.(3P<2>).7d,2[1],3/2,4,,79030.823,,0.005,1.23,L3674
5s2.5p4.(3P<1>).7s,2[1],3/2,4,,78891.018,,0.005,1.59,L3674
5s2.5p4.(3P<1>).7s,2[1],1/2,2,,79285.104,,0.005,,L3674
5s2.5p4.(3P<2>).7d,2[3],7/2,8,,78903.892,,0.005,1.36,L3674
5s2.5p4.(3P<2>).7d,2[3],5/2,6,,78943.172,,0.005,1.41,L3674
5s2.5p4.(3P<2>).7d,2[4],9/2,10,,79054.816,,0.005,1.332,L3674
5s2.5p4.(3P<2>).7d,2[4],7/2,8,,79150.381,,0.005,,L3674
5s2.5p4.(3P<2>).7d,2[0],1/2,2,,79393.036,,0.005,,L3674
5s2.5p4.(3P<2>).7d,2[2],3/2,4,,79395.728,,0.005,1.42,L3674
5s2.5p4.(3P<2>).7d,2[2],5/2,6,,79418.320,,0.005,1.17,L3674
5s2.5p4.(3P<2>).5f,2[4]*,9/2,10,,79829.431,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[4]*,7/2,8,,79832.786,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[2]*,3/2,4,,79834.74,,0.04,,L13998
5s2.5p4.(3P<2>).5f,2[2]*,5/2,6,,79839.983,,0.005,,L3674
