Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f11.(4I*).5d.6s.(3D),6L*,21/2,22,,20210.60,,,,  97             :     3                   (2K*)(3D) 4M*        ,L3974
4f10.(5I).5d2.(3F) (7F).6s,8F,13/2,14,,20258.27,,,,  57             :    31                   (5I)(3F). (7G) 8G    ,L3974
4f11.(4I*).5d.6s.(3D),*,17/2,18,,20315.89,,,,  25  4L*        :    23                   (4I*)(3D) 6K*        ,L3974
4f10.(5I).5d.6s2,,11/2,12,,20493.40,,,,                 :    55                   (5I) 6K              ,L3974
4f11.(4I*).5d.6s.(3D),*,13/2,14,,20493.77,,,,  35  4H*        :    23                   (4I*)(3D) 6H*        ,L3974
4f10.(5I).5d2.(3F) (7H).6s,8H,17/2,18,,20498.73,,,,  60             :    29                   (5I)(3F). (7I) 8I    ,L3974
4f11.(4I*).5d.6s.(3D),*,17/2,18,,20613.81,,,,  34  6I*        :    27                   (4I*)(3D) 2L*        ,L3974
4f11.(4I*).5d.6s.(3D),6K*,19/2,20,,20831.18,,,,  60             :    31                   (4I*)(3D) 4L*        ,L3974
4f10.5d.6s2,,11/2,12,,20849.13,,,,  96             :     4  4f11.6s.6p                            ,L3974
4f10.(5I<5>).5d<3/2>.6s2,"(5,3/2)",13/2,14,,21044.81,,,,             or  :    66                   (5I) 6L              ,L3974
4f11.(4I*).5d.6s.(3D),*,15/2,16,,21069.22,,,,  27  4K*        :    18                   (4I*)(3D) 2K*        ,L3974
4f10.(5I).5d2.(3F) (7I).6s,8I,19/2,20,,21217.11,,,,  54             :    33                   (5I)(3F). (7K) 8K    ,L3974
4f10.(5I).5d.6s2,,9/2,10,,21373.17,,,,                 :    62                   (5I) 4G              ,L3974
4f10.(5I<8>).6s2.6p<3/2>,"(8,3/2)*",17/2,18,,21378.54,,,,             or  :    38                   (5I) 6I*             ,L3974
4f10.(5I<8>).6s2.6p<3/2>,"(8,3/2)*",19/2,20,,21485.02,,,,             or  :    91                   (5I) 6K*             ,L3974
4f10.(5I<8>).6s2.6p<3/2>,"(8,3/2)*",15/2,16,,21682.90,,,,             or  :    48                   (5I) 4I*             ,L3974
4f10.(5I<8>).6s2.6p<3/2>,"(8,3/2)*",13/2,14,,22024.20,,,,             or  :    52                   (5I) 4H*             ,L3974
4f10.(5I).5d2.(3F) (7K).6s,8K,21/2,22,,21494.89,,,,  56             :    34                   (5I)(3F). (7L) 8L    ,L3974
