Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f7.6s2,a 8S*,7/2,8,,0.00,,,1.99340,  98         :     2                                6P*                ,L3974
4f7.(8S*).5d (9D*).6s,a 10D*,5/2,6,,12923.72,,,,  94                                                                   ,
4f7.(8S*).5d (9D*).6s,a 10D*,7/2,8,,13048.90,,,,  94                                                                   ,
4f7.(8S*).5d (9D*).6s,a 10D*,9/2,10,,13222.04,,,,  93                                                                   ,
4f7.(8S*).5d (9D*).6s,a 10D*,11/2,12,,13457.21,,,,  94                                                                   ,
4f7.(8S*).5d (9D*).6s,a 10D*,13/2,14,,13778.68,,,,  95                                                                   ,
4f7.(8S*).6s.6p.(3P*),z 10P,7/2,8,,14067.86,,,2.198,  92     or  :    64                                (8S*<7/2>)(3P*<0>) ,
4f7.(8S*).6s.6p.(3P*),z 10P,9/2,10,,14563.57,,,1.936,  85     or  :    91                                (8S*<7/2>)(3P*<1>) ,
4f7.(8S*).6s.6p.(3P*),z 10P,11/2,12,,15581.58,,,, 100     or  :   100                                (8S*<7/2>)(3P*<2>) ,
4f7.(8S*).5d (9D*).6s,a 8D*,3/2,4,,15137.72,,,,  87                                                                   ,
4f7.(8S*).5d (9D*).6s,a 8D*,5/2,6,,15248.76,,,,  86                                                                   ,
4f7.(8S*).5d (9D*).6s,a 8D*,7/2,8,,15421.25,,,,  85                                                                   ,
4f7.(8S*).5d (9D*).6s,a 8D*,9/2,10,,15680.28,,,,  85                                                                   ,
4f7.(8S*).5d (9D*).6s,a 8D*,11/2,12,,16079.76,,,,  87                                                                   ,
4f7.(8S*).6s.6p.(3P*),z 8P,5/2,6,,15890.53,,,2.227,  87     or  :    93  4f7.(8S*<7/2>).6s.6p.(3P*<1>)                    ,
4f7.(8S*).6s.6p.(3P*),z 8P,7/2,8,,15952.31,,,1.875,  61     or  :    51  4f7.(8S*<7/2>).6s.6p.(3P*<1>)                    ,
4f7.(8S*).6s.6p.(3P*),z 8P,9/2,10,,16611.79,,,1.797,  83     or  :    91  4f7.(8S*<7/2>).6s.6p.(3P*<2>)                    ,
4f7.(8S*).6s.6p.(3P*),z 6P,7/2,8,,17340.65,,,1.787,  64     or  :    82  4f7.(8S*<7/2>).6s.6p.(3P*<2>)                    ,
4f7.(8S*).6s.6p.(3P*),z 6P,5/2,6,,17707.42,,,1.932,  86     or  :    92  4f7.(8S*<7/2>).6s.6p.(3P*<2>)                    ,
4f7.(8S*).6s.6p.(3P*),z 6P,3/2,4,,17945.49,,,, 100     or  :   100  4f7.(8S*<7/2>).6s.6p.(3P*<2>)                    ,
