Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d10.4s.5g""","=""3G""","=""5""","=""""","=""71369.240""","=""""","=""0.012""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5g""","=""3G""","=""4""","=""""","=""71369.240""","=""""","=""0.012""","=""""","=""  72                        ""","=""L18676"""
"=""3d10.4s.5g""","=""1G""","=""4""","=""""","=""71369.240""","=""""","=""0.011""","=""""","=""  72                        ""","=""L18676"""
"=""3d10.4s.8s""","=""3S""","=""1""","=""""","=""71823.3""","=""""","=""0.5""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.8s""","=""1S""","=""0""","=""""","=""71956.23""","=""""","=""0.21""","=""""","=""  97                        ""","=""L3284"""
"=""3d10.4s.8p""","=""3P*""","=""0""","=""""","=""72495.80""","=""""","=""0.16""","=""""","="" 100                        ""","=""L3284,L18491"""
"=""3d10.4s.8p""","=""3P*""","=""1""","=""""","=""72498.78""","=""""","=""0.11""","=""""","="" 100                        ""","=""L3641,L3284"""
"=""3d10.4s.8p""","=""3P*""","=""2""","=""""","=""72504.16""","=""""","=""0.15""","=""""","="" 100                        ""","=""L18491,L3284"""
"=""3d10.4s.7d""","=""1D""","=""2""","=""""","=""72517.00""","=""""","=""0.16""","=""""","=""  97                        ""","=""L3641"""
"=""3d10.4s.7d""","=""3D""","=""2""","=""""","=""72626.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.7d""","=""3D""","=""1""","=""""","=""72626.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.7d""","=""3D""","=""3""","=""""","=""72627.05""","=""""","=""0.33""","=""""","="" 100                        ""","=""L3284"""
"=""3d10.4s.8p""","=""1P*""","=""1""","=""""","=""72626.34""","=""""","=""0.16""","=""""","=""  98                        ""","=""L3641"""
"=""3d10.4s.6f""","=""3F*""","=""2""","=""""","=""72694.18""","=""""","=""0.20""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.6f""","=""3F*""","=""4""","=""""","=""72694.18""","=""""","=""0.02""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6f""","=""3F*""","=""3""","=""""","=""72694.18""","=""""","=""0.28""","=""""","=""  95                        ""","=""L18491"""
"=""3d10.4s.6f""","=""1F*""","=""3""","=""""","=""72694.314""","=""""","=""0.012""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.6g""","=""1G""","=""4""","=""""","=""72714.245""","=""""","=""0.014""","=""""","=""  83                        ""","=""L18676"""
"=""3d10.4s.6g""","=""3G""","=""5""","=""""","=""72714.245""","=""""","=""0.015""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6g""","=""3G""","=""4""","=""""","=""72714.245""","=""""","=""0.015""","=""""","=""  83                        ""","=""L18676"""
"=""3d10.4s.6g""","=""3G""","=""3""","=""""","=""72714.245""","=""""","=""0.013""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6h""","=""(1/2,11/2)*""","=""6""","=""""","=""72718.827""","=""""","=""0.016""","=""""","="" 100     or  :   100   3H*  ""","=""L18676"""
"=""3d10.4s.6h""","=""(1/2,11/2)*""","=""5""","=""""","=""72718.827""","=""""","=""0.016""","=""""","="" 100     or  :    55   1H*  ""","=""L18676"""
"=""3d10.4s.6h""","=""(1/2,9/2)*""","=""5""","=""""","=""72718.827""","=""""","=""0.016""","=""""","="" 100     or  :    55   3H*  ""","=""L18676"""
"=""3d10.4s.6h""","=""(1/2,9/2)*""","=""4""","=""""","=""72718.827""","=""""","=""0.015""","=""""","="" 100     or  :   100   3H*  ""","=""L18676"""
"=""3d10.4s.9s""","=""3S""","=""1""","=""""","=""72985.4""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.9s""","=""1S""","=""0""","=""""","=""73060.66""","=""""","=""0.22""","=""""","=""  96                        ""","=""L3284"""
"=""3d10.4s.9p""","=""3P*""","=""0""","=""""","=""73390.69""","=""""","=""0.23""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.9p""","=""3P*""","=""1""","=""""","=""73392.83""","=""""","=""0.12""","=""""","="" 100                        ""","=""L3641,L3284"""
"=""3d10.4s.9p""","=""3P*""","=""2""","=""""","=""73395.84""","=""""","=""0.17""","=""""","="" 100                        ""","=""L3284"""
"=""3d10.4s.8d""","=""1D""","=""2""","=""""","=""73395.33""","=""""","=""0.03""","=""""","=""  97                        ""","=""L3641"""
"=""3d10.4s.9p""","=""1P*""","=""1""","=""""","=""73469.39""","=""""","=""0.16""","=""""","=""  98                        ""","=""L3641"""
"=""3d10.4s.8d""","=""3D""","=""3""","=""""","=""73471.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.8d""","=""3D""","=""2""","=""""","=""73471.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.8d""","=""3D""","=""1""","=""""","=""73471.0""","=""""","=""0.9""","=""""","="" 100                        ""","="""""
"=""3d10.4s.7f""","=""3F*""","=""4""","=""""","=""73500.4""","=""""","=""1.7""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.7f""","=""3F*""","=""3""","=""""","=""73500.4""","=""""","=""1.7""","=""""","=""  95                        ""","=""L18491"""
"=""3d10.4s.7f""","=""3F*""","=""2""","=""""","=""73500.4""","=""""","=""1.7""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.7f""","=""1F*""","=""3""","=""""","=""73500.4""","=""""","=""1.7""","=""""","=""  95                        ""","="""""
"=""3d10.4s.7g""","=""3G""","=""5""","=""""","=""73525.199""","=""""","=""0.022""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.7g""","=""3G""","=""4""","=""""","=""73525.199""","=""""","=""0.022""","=""""","=""  89                        ""","=""L18491"""
"=""3d10.4s.7g""","=""3G""","=""3""","=""""","=""73525.199""","=""""","=""0.021""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.7g""","=""1G""","=""4""","=""""","=""73525.199""","=""""","=""0.022""","=""""","=""  89                        ""","=""L18676"""
"=""3d10.4s.7h""","=""(1/2,11/2)*""","=""6""","=""""","=""73528.205""","=""""","=""0.014""","=""""","="" 100     or  :   100   3H*  ""","=""L18676"""
"=""3d10.4s.7h""","=""(1/2,11/2)*""","=""5""","=""""","=""73528.205""","=""""","=""0.014""","=""""","="" 100     or  :    55   1H*  ""","=""L18676"""
"=""3d10.4s.7h""","=""(1/2,9/2)*""","=""5""","=""""","=""73528.205""","=""""","=""0.014""","=""""","="" 100     or  :    55   3H*  ""","=""L18491"""
