Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
1s2.2s2,1S,0,1,,0.0000,,0.0000,L9172
1s2.2s.2p,3P*,0,1,,21978.31,,0.08,L9172
1s2.2s.2p,3P*,1,3,,21978.925,,0.010,L9172
1s2.2s.2p,3P*,2,5,,21981.26,,0.07,L9172
1s2.2s.2p,1P*,1,3,,42565.4502,,0.0010,L20591
1s2.2s.3s,3S,1,3,,52080.943,,0.06,L9172
1s2.2s.3s,1S,0,1,,54677.349,,0.021,L9172
1s2.2p2,1D,2,5,,56882.5474,,0.021,L9172
1s2.2s.3p,3P*,0,1,,58907.472,,0.06,L9172
1s2.2s.3p,3P*,1,3,,58907.472,,0.06,L9172
1s2.2s.3p,3P*,2,5,,58907.839,,0.06,L9172
1s2.2p2,3P,0,1,,59693.60,,0.08,L9172
1s2.2p2,3P,1,3,,59694.99,,0.06,L9172
1s2.2p2,3P,2,5,,59696.98,,0.07,L9172
1s2.2s.3p,1P*,1,3,,60187.4434,,0.021,L9172
1s2.2s.3d,3D,1,3,,62053.7385,,0.06,L9172
1s2.2s.3d,3D,2,5,,62053.742,,0.06,L9172
1s2.2s.3d,3D,3,7,,62053.742,,0.06,L9172
1s2.2s.3d,1D,2,5,,64428.4032,,0.0005,L21345
1s2.2s.4s,3S,1,3,,64506.483,,0.06,L9172
1s2.2s.4s,1S,0,1,,65245.437,,0.021,L9172
1s2.2s.4p,3P*,0,1,,66811.89,,0.14,L9172
1s2.2s.4p,3P*,1,3,,66811.89,,0.09,L9172
1s2.2s.4p,3P*,2,5,,66811.89,,0.08,L9172
1s2.2s.4p,1P*,1,3,,67034.80,,0.03,L9172
1s2.2s.4d,3D,1,3,,67941.63,,0.08,L9172
1s2.2s.4d,3D,2,5,,67941.65,,0.07,L9172
1s2.2s.4d,3D,3,7,,67941.68,,0.07,L9172
1s2.2s.4f,3F*,4,9,,68241.04,,0.3,L9172
1s2.2s.4f,3F*,2,5,,68241.041,,0.06,L9172
1s2.2s.4f,3F*,3,7,,68241.044,,0.06,L9172
1s2.2s.4f,1F*,3,7,,68241.30,,0.03,L9172
1s2.2s.4d,1D,2,5,,68780.96,,0.07,L9172
1s2.2s.5s,3S,1,3,,69010.18,,0.06,L9172
1s2.2s.5s,1S,0,1,,69322.30,,0.07,L9172
1s2.2s.5p,3P*,0,1,[,70065.40,],0.10,L9172
1s2.2s.5p,3P*,1,3,[,70065.40,],0.14,L9172
