Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
6d.7s2,2D,3/2,4,,0.000,,0.000,  94                                     ,L7344
6d.7s2,2D,5/2,6,,2231.432,,0.008,  93                                     ,"L22136,L7344"
7s2.7p,2P*,1/2,2,,7477.36,,0.04,  90         :     6  6d.7s.(3D).7p 2P*  ,L21471
7s2.7p,2P*,3/2,4,,12276.591,,0.020,  84         :    10  6d.7s.(3D).7p 2P*  ,L21471
6d2.(3F).7s,4F,3/2,4,,9217.288,,0.013,  93         :     5  6d2.(1D).7s   2D   ,"L22136,L7344"
6d2.(3F).7s,4F,5/2,6,,9863.589,,0.012,  91                                     ,"L22136,L7344"
6d2.(3F).7s,4F,7/2,8,,10906.027,,0.014,  98                                     ,"L22136,L7344"
6d2.(3F).7s,4F,9/2,10,,12078.067,,0.019,  93         :     6  6d2.(1G).7s   2G   ,"L22136,L7344"
6d.7s.(3D).7p,4F*,3/2,4,,13712.902,,0.012,  84         :    10  6d.7s.(3D).7p 2D*  ,"L22136,L7344,L21471"
6d.7s.(3D).7p,4F*,5/2,6,,14940.714,,0.009,  73         :    11  6d.7s.(3D).7p 2D*  ,"L22136,L7344"
6d.7s.(3D).7p,4F*,7/2,8,,17683.869,,0.015,  87         :     8  6d.7s.(3D).7p 4D*  ,"L22136,L7344"
6d2.(3P).7s,4P,5/2,6,,13877.59,,0.04,  59         :    28  6d2.(1D).7s   2D   ,L22136
6d.7s.(3D).7p,4D*,1/2,2,,17199.710,,0.018,  87         :     6  6d.7s.(3D).7p 2P*  ,"L22136,L7344"
6d.7s.(3D).7p,4D*,3/2,4,,17736.265,,0.013,  76         :    12  6d.7s.(3D).7p 4P*  ,"L22136,L7344"
6d.7s.(3D).7p,4D*,5/2,6,,19121.32,?,0.05,  64         :    14  6d.7s.(3D).7p 4F*  ,L22136
6d.7s.(3D).7p,4D*,7/2,8,,21232.31,?,0.05,  81         :     9  6d.7s.(3D).7p 4F*  ,L22136
6d.7s.(3D).7p,2D*,5/2,6,,17950.709,,0.013,  28         :    29  6d.7s.(3D).7p 4P*  ,"L22136,L7344"
6d.7s.(3D).7p,2D*,3/2,4,,19012.450,,0.020,  44         :    23  6d.7s.(1D).7p 2D*  ,"L22136,L7344"
6d.7s.(1D).7p,2F*,5/2,6,,21195.870,,0.018,  41         :    29  6d.7s.(3D).7p 4P*  ,"L22136,L7344"
6d.7s.(1D).7p,2F*,7/2,8,,24632.95,,0.03,  66         :    19  6d2.(1D).7p   2F*  ,"L22136,L7344"
6d.7s.(3D).7p,4P*,5/2,6,,22801.11,,0.04,  37         :    20  6d.7s.(3D).7p 2D*  ,"L22136,L7344,L21172"
6d.7s.(3D).7p,2F*,5/2,6,,23898.867,,0.018,  64         :    13  6d.7s.(1D).7p 2D*  ,"L22136,L7344"
6d.7s.(3D).7p,2F*,7/2,8,,24969.294,,0.017,  77         :     8  6d.7s.(3D).7p 4D*  ,"L22136,L7344"
6d.7s.(1D).7p,2D*,3/2,4,,23916.835,,0.023,  31         :    29  6d.7s.(3D).7p 2D*  ,"L22136,L7344"
6d.7s.(1D).7p,2D*,5/2,6,,26836.194,,0.014,  31         :    16  6d.7s.(3D).7p 2F*  ,"L22136,L7344"
6d.7s.(3D).7p,2P*,1/2,2,,25729.03,,0.03,  57         :    16  6d.7s.(1D).7p 2P*  ,"L22136,L7344"
6d.7s.(3D).7p,2P*,3/2,4,,28245.12,,0.09,  67         :     7  7s2.7p        2P*  ,"L22136,L7344"
6d.7s.(1D).7p,2P*,3/2,4,,26066.045,,0.018,  51         :    17  6d2.(1D).7p   2P*  ,"L22136,L7344"
7s2.8s,2S,1/2,2,,26467.30,?,0.06,  91                                     ,L22136
6d2.(3F).7p,4G*,5/2,6,,27009.857,,0.015,  88                                     ,"L22136,L7344"
6d2.(3F).7p,4G*,7/2,8,,28568.376,,0.018,  89                                     ,"L22136,L7344"
6d2.(3F).7p,4G*,9/2,10,,30485.96,,0.05,  84         :     7  6d2.(3F).7p   4F*  ,L22136
6d2.(3F).7p,4G*,11/2,12,,33322.58,,0.03,  98                                     ,"L22136,L7344"
6d2.(3F).7p,4F*,3/2,4,,30396.575,,0.031,  76         :     9  6d2.(3F).7p   2D*  ,"L22136,L7344"
6d2.(3F).7p,4F*,5/2,6,,31494.679,,0.020,  63         :    11  6d2.(3F).7p   4D*  ,"L22136,L7344"
6d2.(3F).7p,4F*,7/2,8,,32219.622,,0.021,  66         :    11  6d2.(3F).7p   4D*  ,"L22136,L7344"
6d2.(3F).7p,4F*,9/2,10,,34788.09,,0.04,  46         :    38  6d2.(1G).7p   2H*  ,"L22136,L7344"
5f.7s2,2F*,7/2,8,,31240.17,,0.11,  94                                     ,L22136
5f.7s2,2F*,5/2,6,,31800.350,,0.018,  92                                     ,"L22136,L7344"
7s2.7d,2D,3/2,4,,31530.46,,0.04,  46         :    28  6d.7s.(3D).8s 2D   ,L22136
6d2.(3F).7p,2F*,5/2,6,,32495.679,,0.019,  18         :    22  6d2.(3F).7p   4F*  ,"L22136,L7344"
6d2.(3F).7p,2F*,7/2,8,,33756.455,,0.021,  25         :    29  6d2.(3F).7p   4D*  ,"L22136,L7344"
6d2.(1G).7p,2G*,9/2,10,,32867.395,,0.026,  21         :    33  6d2.(3F).7p   4F*  ,"L22136,L7344"
6d2.(1G).7p,2G*,7/2,8,,34360.247,,0.019,  27         :    25  6d2.(3F).7p   4F*  ,"L22136,L7344"
6d2.(3F).7p,4D*,1/2,2,,32873.72,?,0.07,  93                                     ,L22136
6d2.(3F).7p,4D*,5/2,6,,34658.472,,0.017,  59         :    10  6d2.(3F).7p   2F*  ,"L22136,L7344"
6d2.(3F).7p,4D*,7/2,8,,35870.009,,0.022,  32         :    24  6d2.(3F).7p   2F*  ,"L22136,L7344"
6d2.(3P).7p,2D*,3/2,4,,32918.416,,0.018,  20         :    38  6d2.(3P).7p   4D*  ,"L22136,L7344"
6d.7s.(3D).8s,4D,5/2,6,,33452.12,,0.03,  68         :    22  7s2.7d        2D   ,L22136
6d.7s.(3D).8s,4D,7/2,8,,33928.090,,0.026,  98                                     ,L22136
6d2.(3P).7p,4D*,3/2,4,,33673.650,,0.017,  26         :    28  7s2.8p        2P*  ,"L22136,L7344"
6d2.(3P).7p,4P*,3/2,4,,34761.82,,0.06,  35         :    28  6d2.(3P).7p   4S*  ,L22136
