Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5p6,1S,0,1,,0.000,,,,L9794
5p5.(2P*<3/2>).6s,2[3/2]*,2,5,,67067.547,,,1.50095,L763
5p5.(2P*<3/2>).6s,2[3/2]*,1,3,,68045.156,,,1.2055,L763
5p5.(2P*<1/2>).6s,2[1/2]*,0,1,,76196.767,,,,L9794
5p5.(2P*<1/2>).6s,2[1/2]*,1,3,,77185.041,,,1.321,L763
5p5.(2P*<3/2>).6p,2[1/2],1,3,,77269.145,,,1.852,L763
5p5.(2P*<3/2>).6p,2[1/2],0,1,,80118.962,,,,L763
5p5.(2P*<3/2>).6p,2[5/2],2,5,,78119.798,,,1.11103,L763
5p5.(2P*<3/2>).6p,2[5/2],3,7,,78403.061,,,1.336,L763
5p5.(2P*<3/2>).6p,2[3/2],1,3,,78956.031,,,1.02348,L763
5p5.(2P*<3/2>).6p,2[3/2],2,5,,79212.465,,,1.3836,L763
5p5.(2P*<3/2>).5d,2[1/2]*,0,1,,79771.267,,,,L763
5p5.(2P*<3/2>).5d,2[1/2]*,1,3,,79986.618,,,1.395,L763
5p5.(2P*<3/2>).5d,2[7/2]*,4,9,,80196.629,,,1.2506,L763
5p5.(2P*<3/2>).5d,2[7/2]*,3,7,,80970.438,,,1.0749,L763
5p5.(2P*<3/2>).5d,2[3/2]*,2,5,,80322.746,,,1.3750,L763
5p5.(2P*<3/2>).5d,2[3/2]*,1,3,,83889.971,,,,L763
5p5.(2P*<3/2>).5d,2[5/2]*,2,5,,81925.514,,,,L763
5p5.(2P*<3/2>).5d,2[5/2]*,3,7,,82430.204,,,,L763
5p5.(2P*<3/2>).7s,2[3/2]*,2,5,,85188.777,,,,L763
5p5.(2P*<3/2>).7s,2[3/2]*,1,3,,85440.017,,,,L763
5p5.(2P*<3/2>).7p,2[1/2],1,3,,87927.131,,,1.7272,L763
5p5.(2P*<3/2>).7p,2[1/2],0,1,,88842.256,,,,L763
5p5.(2P*<3/2>).7p,2[5/2],2,5,,88351.681,,,1.1276,L763
5p5.(2P*<3/2>).7p,2[5/2],3,7,,88469.213,,,1.330,L763
5p5.(2P*<1/2>).6p,2[3/2],1,3,,88379.126,,,0.7925,L763
5p5.(2P*<1/2>).6p,2[3/2],2,5,,89162.356,,,1.190,L763
5p5.(2P*<3/2>).6d,2[1/2]*,0,1,,88491.020,,,,L763
5p5.(2P*<3/2>).6d,2[1/2]*,1,3,,88549.775,,,,L763
5p5.(2P*<3/2>).7p,2[3/2],2,5,,88686.500,,,1.3520,L763
5p5.(2P*<3/2>).7p,2[3/2],1,3,,88744.559,,,0.9039,L763
5p5.(2P*<3/2>).6d,2[3/2]*,2,5,,88708.466,,,,L763
5p5.(2P*<3/2>).6d,2[3/2]*,1,3,,90032.155,,,,L763
5p5.(2P*<3/2>).6d,2[7/2]*,4,9,,88911.692,,,,L763
5p5.(2P*<3/2>).6d,2[7/2]*,3,7,,89024.890,,,,L763
5p5.(2P*<3/2>).6d,2[5/2]*,2,5,,89243.258,,,,L763
5p5.(2P*<3/2>).6d,2[5/2]*,3,7,,89534.568,,,,L763
5p5.(2P*<1/2>).6p,2[1/2],1,3,,89278.706,,,1.551,L763
5p5.(2P*<1/2>).6p,2[1/2],0,1,,89860.015,,,,L763
