Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d3.(2D2).4s.4p.(3P*),4F*,9/2,10,,34529.821,,0.003,1.41,  80         :     7  3d3.(2G).4s.4p.(3P*)  4F*  ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(1P*),v 4D*,1/2,2,,34477.427,o,0.005,0.00,  18         :    20  3d3.(2D2).4s.4p.(3P*) 4D*  ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(1P*),v 4D*,3/2,4,,34537.299,,0.0013,1.05,  19         :    21  3d3.(2D2).4s.4p.(3P*) 4D*  ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(1P*),v 4D*,5/2,6,,34619.598,,0.002,1.28,  19         :    21  3d3.(2D2).4s.4p.(3P*) 4D*  ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(1P*),v 4D*,7/2,8,,34747.128,,0.0010,1.35,  21         :    17  3d3.(2D2).4s.4p.(3P*) 4D*  ,"L15916,L20010,L14162"
3d4.(3F1).4s,2F,5/2,6,,34902.028,,0.002,,  80         :     7  3d5                   2F1  ,"L15916,L20010"
3d4.(3F1).4s,2F,7/2,8,,34905.410,,0.002,,  81         :     9  3d5                   2F1  ,"L15916,L20010"
3d3.(2D2).4s.4p.(3P*),u 4D*,1/2,2,,35013.259,o,0.002,,  50         :    23  3d3.(2P).4s.4p.(3P*)  4D*  ,"L15916,L20010"
3d3.(2D2).4s.4p.(3P*),u 4D*,3/2,4,,35092.518,,0.006,1.12,  50         :    22  3d3.(2P).4s.4p.(3P*)  4D*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),u 4D*,5/2,6,,35224.990,,0.005,1.32,  51         :    21  3d3.(2P).4s.4p.(3P*)  4D*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),u 4D*,7/2,8,,35379.307,,0.002,1.33,  57         :    18  3d3.(2P).4s.4p.(3P*)  4D*  ,"L15916,L20010,L14162"
3d3.(4P).4s.4p.(3P*),y 4S*,3/2,4,,36408.402,,0.003,1.85,  22         :    24  3d3.(2D2).4s.4p.(3P*) 4P*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,2G*,7/2,8,,36461.282,,0.004,0.85,  18         :    16  3d3.(2G).4s.4p.(1P*)  2G*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,2G*,9/2,10,,36538.569,,0.004,1.05,  14         :    21  3d4.(3H).4p           2G*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,2P*,1/2,2,,36477.728,o,0.005,0.74,  24         :    24  3d3.(4P).4s.4p.(3P*)  2P*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,2P*,3/2,4,,36580.427,o,0.002,1.17,  26         :    18  3d3.(4P).4s.4p.(3P*)  2P*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),x 4P*,5/2,6,,36611.845,,0.003,1.54,  66         :    14  3d3.(2P).4s.4p.(3P*)  4P*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),x 4P*,1/2,2,,36695.612,,0.006,2.51,  59         :    13  3d3.(2P).4s.4p.(3P*)  4P*  ,"L15916,L20010,L14162"
3d3.(2D2).4s.4p.(3P*),x 4P*,3/2,4,,36814.827,,0.005,1.77,  24         :    15  3d3.(2P).4s.4p.(3P*)  4S*  ,"L15916,L20010,L14162"
3d3.(4P).4s.4p.(3P*),x 2D*,5/2,6,,36700.768,,0.012,1.13,  44         :    12  3d4.(3P2).4p          2D*  ,"L15916,L20010,L14162"
3d3.(4P).4s.4p.(3P*),x 2D*,3/2,4,,36780.091,,0.004,,  41         :    12  3d4.(3P2).4p          2D*  ,"L15916,L20010"
3d4.(3F2).4p,x 2F*,5/2,6,,36766.041,,0.006,0.89,  23         :    14  3d3.(2G).4s.4p.(1P*)  2F*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,x 2F*,7/2,8,,36925.893,o,0.004,1.05,  14         :     8  3d3.(2G).4s.4p.(1P*)  2F*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),w 4G*,7/2,8,,36822.878,,0.0013,1.06,  59         :    12  3d4.(3F2).4p          4G*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),w 4G*,5/2,6,,36863.773,,0.002,,  56         :    12  3d4.(3F2).4p          4G*  ,"L15916,L20010"
