Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d4.6s.(6D).6p,5D*,3,7,,29912.85,,0.10,1.31,                                                        ,L12177
5d4.6s.(6D).6p,5D*,4,9,,32828.12,,0.10,1.7,                                                        ,L12177
5d5.(2F1).6s,3F,2,5,,26861.64,,0.10,,  22                         :    16  5d4.6s2      3P1  ,L12177
5d5.(2F1).6s,3F,4,9,,27213.82,,0.10,,  37                         :    33  5d5.(4F).6s  5F   ,L12177
5d5.(2F1).6s,3F,3,7,,28291.88,,0.10,,  36                         :    16  5d5.(4G).6s  3G   ,L12177
5d5.(4F).6s,5F,1,3,,27670.48,,0.10,,  74                                                    ,L12177
5d5.(4F).6s,5F,2,5,,28204.20,,0.10,,  62                                                    ,L12177
5d5.(4F).6s,5F,5,11,,28233.44,,0.10,,  75                                                    ,L12177
5d5.(4F).6s,5F,3,7,,28347.60,,0.10,,  56                         :    12  5d5.(2F2).6s 3F   ,L12177
5d5.(4F).6s,5F,4,9,,29853.66,,0.10,,  33  5d5.(4G).6s 3G         :    20  5d5.(4F).6s  5F   ,L12177
5d5.(2I).6s,3I,5,11,,27849.80,,0.10,,  66                                                    ,L12177
5d5.(2I).6s,3I,6,13,,28392.70,,0.10,,  80                                                    ,L12177
5d5.(2I).6s,3I,7,15,,29460.98,,0.10,,  98                                                    ,L12177
5d4.6s.(6D).6p,5P*,1,3,,28198.90,,0.10,,                                                        ,L12177
5d4.6s.(6D).6p,5P*,2,5,,29393.40,,0.10,1.83,                                                        ,L12177
5d4.6s.(6D).6p,5P*,3,7,,30586.64,,0.10,1.64,                                                        ,L12177
5d5.(4P).6s,3P,1,3,,28720.88,,0.10,,  41                         :    37  5d4.6s2      3P1  ,L12177
5d4.6s2,3P1,2,5,,28898.96,,0.10,,  26                         :    28               1D4  ,L12177
,,3,7,,29430.50,,0.10,,  50  5d4.6s2 3F1            :    26  5d5.(4G).6s  3G   ,L12177
5d4.6s2,3F1,4,9,,29479.32,,0.10,,  34                         :    17  5d5.(4F).6s  5F   ,L12177
5d4.6s2,3F1,2,5,,30374.20,,0.10,,  19                         :    15               3P2  ,L12177
,*,1,3,,30683.54,,0.10,1.39,                                                        ,L12177
,,2,5,,31077.80,,0.10,,  28  5d5.(4D).6s 3D         :    26  5d5.(4F).6s  3F   ,L12177
,*,1,3,,31323.48,,0.10,0.86,                                                        ,L12177
5d5.(4G).6s,3G,5,11,,31389.08,,0.10,,  58                         :    20  5d5.(2I).6s  3I   ,L12177
5d5.(4G).6s,3G,4,9,,32135.94,,0.10,,  35                         :    16  5d4.6s2      1G1  ,L12177
,*,2,5,,31817.63,,0.10,1.52,                                                        ,L12177
,,3,7,,32217.91,,0.10,,  22  5d5.(2G2).6s 3G        :    16  5d5.(2D3).6s 3D   ,L12177
,*,3,7,,32238.02,,0.10,1.3,                                                        ,L12177
5d5.(2D3).6s,3D,1,3,,32378.40,,0.10,,  56                         :    18  5d5.(4D).6s  3D   ,L12177
,*,0,1,,32386.56,,0.10,,                                                        ,L12177
,,3,7,,32826.63,,0.10,,  52  5d5.(2G2).6s 3G        :    22  5d5.(2D3).6s 3D   ,L12177
,*,3,7,,32957.58,,0.10,1.43,                                                        ,L12177
,*,2,5,,33141.38,,0.10,1.51,                                                        ,L12177
5d5.(2G2).6s,3G,5,11,,33201.61,,0.10,,  37                         :    28  5d5.(2H).6s  3H   ,L12177
5d5.(2G2).6s,3G,4,9,,34302.04,,0.10,,  31                         :    20  5d5.(2F1).6s 3F   ,L12177
5d5.(2I).6s,1I,6,13,,33291.80,,0.10,,  46                         :    34  5d5.(2H).6s  3H   ,L12177
,,4,9,,33569.53,,0.10,,  25  5d4.6s2 1G1            :    22  5d5.(2H).6s  3H   ,L12177
,*,2,5,,33944.06,,0.10,,                                                        ,L12177
5d5.(4D).6s,3D,3,7,,33952.85,,0.10,,  50                         :    16  5d5.(4F).6s  3F   ,L12177
,*,4,9,,34121.68,,0.10,1.5,                                                        ,L12177
,*,3,7,,34228.60,,0.10,,                                                        ,L12177
,*,1,3,,34342.44,,0.10,1.56,                                                        ,L12177
,*,3,7,,34354.08,,0.10,0.71,                                                        ,L12177
,,3,7,,34465.83,,0.10,,  32  5d5.(2F2).6s 3F        :    30  5d5.(2G2).6s 3G   ,L12177
,*,2,5,,34485.86,,0.10,0.82,                                                        ,L12177
,*,4,9,,34632.60,,0.10,0.89,                                                        ,L12177
,*,1,3,,34719.33,,0.10,0.15,                                                        ,L12177
,*,4,9,,35116.78,,0.10,1.2,                                                        ,L12177
,,4,9,,35299.82,,0.10,,  46  5d5.(2G2).6s 3G        :    40  5d5.(2H).6s  3H   ,L12177
,*,2,5,,35311.56,,0.10,1.0,                                                        ,L12177
,*,3,7,,35499.15,,0.10,1.0,                                                        ,L12177
,*,5,11,,35507.07,,0.10,,                                                        ,L12177
,*,2,5,,35731.96,,0.10,1.5,                                                        ,L12177
,*,3,7,,35943.17,,0.10,1.4,                                                        ,L12177
,*,4,9,,36082.30,,0.10,1.24,                                                        ,L12177
,*,1,3,,36190.49,,0.10,1.62,                                                        ,L12177
,*,5,11,,36275.10,,0.10,1.27,                                                        ,L12177
,*,0,1,,36588.32,,0.10,,                                                        ,L12177
,*,2,5,,36673.70,,0.10,1.50,                                                        ,L12177
,*,3,7,,36874.36,,0.10,1.50,                                                        ,L12177
,*,2,5,,36904.16,,0.10,1.57,                                                        ,L12177
,*,4,9,,37146.36,,0.10,1.1,                                                        ,L12177
,*,5,11,,37309.16,,0.10,1.25,                                                        ,L12177
,,3,7,,37414.11,,0.10,,  42  5d5.(2F2).6s 1F        :    19  5d5.(2D2).6s 3D   ,L12177
,*,2,5,,37466.30,,0.10,1.28,                                                        ,L12177
,*,3,7,,37674.08,,0.10,1.13,                                                        ,L12177
,*,1,3,,37773.96,,0.10,,                                                        ,L12177
,*,4,9,,38001.12,,0.10,1.1,                                                        ,L12177
,*,3,7,,38053.05,,0.10,1.11,                                                        ,L12177
,*,6,13,,38203.12,,0.10,,                                                        ,L12177
,*,3,7,,38206.38,,0.10,,                                                        ,L12177
,*,4,9,,38259.40,,0.10,,                                                        ,L12177
,*,1,3,,38355.84,,0.10,,                                                        ,L12177
,*,0,1,,38576.14,,0.10,,                                                        ,L12177
,*,4,9,,38748.44,,0.10,,                                                        ,L12177
