Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,2,5,,43224.78,,,1.34,"  22  (7/2,5/2)       :    18   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
,*,3,7,,43254.78,,,1.06,                                                                      ,
,*,3,7,,43297.51,,,1.03,                                                                      ,
4f14.6s.5f,3F*,3,7,,,,,,                                                                      ,
4f14.6s.5f,3F*,4,9,,,,,,                                                                      ,
4f14.6s.5f,3F*,2,5,,43433.85,,,0.68,                                                                      ,
,*,1,3,,43532.77,,,1.54,                                                                      ,
4f14.6s.8p,3P*,0,1,,43614.27,,,,                                                                      ,
4f14.6s.8p,3P*,1,3,,43659.38,,,1.48,                                                                      ,
4f14.6s.8p,3P*,2,5,,43805.69,,,1.49,                                                                      ,
,*,3,7,,43815.67,,,1.21,                                                                      ,
4f14.6s.8p,1P*,1,3,,44017.60,,,1.00,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,4,9,,44232.66,,,1.48,"  20  (7/2,5/2)       :    16   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
,*,2,5,,44251.88,,,1.38,                                                                      ,
4f14.6s.7d,3D,1,3,,44311.38,,,,                                                                      ,
4f14.6s.7d,3D,2,5,,44313.05,,,,                                                                      ,
4f14.6s.7d,3D,3,7,,44380.82,,,1.32,                                                                      ,
4f14.6s.7d,1D,2,5,,44357.60,,,1.10,                                                                      ,
,*,4?,9,,44392.70,,,,                                                                      ,
,*,3,7,,44453.47,,,1.10,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),,3,7,,44713.12,,,1.39,"  24  (7/2,7/2)       :    13   (2F*<7/2>)(4F*<9/2>) (7/2,9/2)        ",
4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)",3,7,,,,,,  88                                                                  ,
4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)",1,3,,44834.61,,,0.66,  87                                                                  ,
4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)",4,9,,45497.62,,,,  89                                                                  ,
4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)",2,5,,45913.86,,,,  88                                                                  ,
4f14.6s.9s,3S,1,3,,45121.37,,,1.98,                                                                      ,
,*,2,5,,45155.33,,,0.98,                                                                      ,
,*,1,3,,45181.69,,,1.28,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),,2,5,,45338.53,,,1.30,"  38  (7/2,5/2)       :    23   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,5,11,,45410.91,,,1.17,"  40  (7/2,5/2)       :    18   (2F*<7/2>)(4D*<3/2>) (7/2,3/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)",1,3,,45595.14,,,1.19,"  47                  :    20   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,4,9,,45775.68,,,1.14,"  39  (7/2,5/2)       :    15   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f14.6s.6f,3F*,2,5,,45956.27,,,0.72,                                                                      ,
4f14.6s.9p,3P*,1,3,,46078.91,,,1.34,                                                                      ,
4f14.6s.9p,3P*,0,1,,46082.17,,,,                                                                      ,
4f14.6s.9p,3P*,2,5,,46184.15,,,1.50,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)",0,1,,46081.54,,,,"  79                  :    11   (2F*<7/2>)(2F*<7/2>) (7/2,7/2)        ",
,*,1,3,,46174.21,,,1.22,                                                                      ,
,*,3,7,,46251.06,,,1.15,                                                                      ,
4f14.6s.9p,1P*,1,3,,46370.30,,,1.07,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<1/2>),,3,7,,46395.60,,,1.35,"  27  (7/2,1/2)       :    26   (2F*<7/2>)(4F*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),,2,5,,46431.49,,,,"  25  (7/2,3/2)       :    23   (2F*<7/2>)(4F*<5/2>) (7/2,5/2)        ",
4f14.6s.8d,3D,1,3,,46444.96,,,0.49,                                                                      ,
4f14.6s.8d,3D,2,5,,46467.70,,,1.12,                                                                      ,
4f14.6s.8d,3D,3,7,,46480.65,,,1.35,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4P*<5/2>),,6,13,,46554.81,,,1.25,"  32  (7/2,5/2)       :    30   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f14.6s.10s,3S,1,3,,46877.10,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),"(7/2,5/2)",6,13,,47036.62,,,1.18,"  46                  :    20   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<1/2>),"(7/2,1/2)",4,9,,47047.69,,,0.86,"  63                  :     8   (2F*<7/2>)(4F*<3/2>) (7/2,3/2)        ",
,*,2,5,,47055.05,,,1.08,                                                                      ,
,*,3?,7,,47325.19,,,,                                                                      ,
4f14.6s.7f,3F*,2,5,,47326.65,,,,                                                                      ,
,*,1,3,,47332.26,,,0.95,                                                                      ,
4f14.5d2?,,2,5,,47341.82,,,,                                                                      ,
4f14.6s.(2S<1/2>).10p<1/2>,"(1/2,1/2)*",0,1,,47409.82,,,,                                                                      ,
4f14.6s.(2S<1/2>).10p<1/2>,"(1/2,1/2)*",1,3,,47420.93,,,1.36,                                                                      ,
4f14.6s.9d?,1D?,2,5,,47420.96,,,1.04,                                                                      ,
4f14.6s.(2S<1/2>).10p<3/2>,"(1/2,3/2)*",2,5,,47471.10,,,,                                                                      ,
4f14.6s.(2S<1/2>).10p<3/2>,"(1/2,3/2)*",1,3,,47498.83,,,1.03,                                                                      ,
,,1,3,,47584.34,,,0.73,                                                                      ,
4f14.5d2?,3F?,2,5,,47634.41,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,5,11,,47636.11,,,1.09,"  25  (7/2,5/2)       :    21   (2F*<7/2>)(2D*<3/2>) (7/2,3/2)        ",
