Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f3.6s2,4I*,9/2,10,,0.00,,,0.73104,  97         :     2   2H2*           ,L3974
4f3.6s2,4I*,11/2,12,,1376.60,,,0.96515,  99                                  ,
4f3.6s2,4I*,13/2,14,,2846.75,,,1.10632,  99                                  ,
4f3.6s2,4I*,15/2,16,,4381.10,,,1.19799,  99         :     1   2K*            ,
4f2.(3H).5d.6s2,4I,15/2,16,,,,,,                                      ,
4f2.(3H).5d.6s2,4I,9/2,10,,4432.22,,,0.805,                                      ,
4f2.(3H).5d.6s2,4I,11/2,12,,6313.23,,,0.96,                                      ,
4f2.(3H).5d.6s2,4I,13/2,14,,7951.31,,,1.09,                                      ,
4f2.(3H).5d.6s2,4K,17/2,18,,,,,,                                      ,
4f2.(3H).5d.6s2,4K,11/2,12,,4866.54,,,0.785,                                      ,
4f2.(3H).5d.6s2,4K,13/2,14,,6603.60,,,0.96,                                      ,
4f2.(3H).5d.6s2,4K,15/2,16,,8363.91,o,,1.06?,                                      ,
4f2.(3H).5d.6s2,2H,9/2,10,,5822.87,,,0.855,                                      ,
4f2.(3H).5d.6s2,2H,11/2,12,,6892.95,,,0.85,                                      ,
4f2.(3H).5d.6s2,4H,13/2,14,,,,,,                                      ,
4f2.(3H).5d.6s2,4H,7/2,8,,6535.51,,,0.68,                                      ,
4f2.(3H).5d.6s2,4H,9/2,10,,8029.24,,,0.965,                                      ,
4f2.(3H).5d.6s2,4H,11/2,12,,9675.01,,,1.1,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,21/2,22,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,15/2,16,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,19/2,20,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,17/2,18,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,11/2,12,,6714.22,,,0.81,                                      ,
4f2.(3H).5d2.(3F) (5L).6s,6L,13/2,14,,7630.16,,,0.87,                                      ,
4f2.5d.6s2,4G,7/2,8,,7617.44,,,0.95,                                      ,
4f2.5d2.6s,6I,13/2,14,,,,,,                                      ,
4f2.5d2.6s,6I,17/2,18,,,,,,                                      ,
4f2.5d2.6s,6I,15/2,16,,,,,,                                      ,
4f2.5d2.6s,6I,7/2,8,,8013.14,,,0.46,                                      ,
4f2.5d2.6s,6I,9/2,10,,8643.83,,,,                                      ,
4f2.5d2.6s,6I,11/2,12,,9268.75,,,1.040,                                      ,
4f3.(4I*).5d.6s.(3D),6L*,11/2,12,,8080.49,,,0.63,  95         :     2   (2H*2)(3D) 4K* ,
4f3.(4I*).5d.6s.(3D),6L*,13/2,14,,8733.50,,,0.85,  84         :     7   (4I*)(3D) 4L*  ,
4f3.(4I*).5d.6s.(3D),6L*,15/2,16,,9646.90,,,0.98,  85         :     7   (4I*)(3D) 4L*  ,
4f3.(4I*).5d.6s.(3D),6L*,17/2,18,,10720.45,,,1.06:,  89         :     5   (4I*)(3D) 4L*  ,
4f3.(4I*).5d.6s.(3D),6L*,19/2,20,,11913.21,,,1.18,  93         :     3   (4I*)(3D) 4L*  ,
4f3.(4I*).5d.6s.(3D),6L*,21/2,22,,13198.74,,,,  99         :     1   (2K*)(3D) 4M*  ,
4f3.(4I*).5d.6s.(3D),6K*,9/2,10,,8250.22,,,0.56,  93         :     3   (4I*)(3D) 4I*  ,
4f3.(4I*).5d.6s.(3D),6K*,11/2,12,,8835.42,,,0.84,  83         :     7   (4I*)(3D) 4K*  ,
4f3.(4I*).5d.6s.(3D),6K*,13/2,14,,9684.24,,,0.98,  85         :     8   (4I*)(3D) 4K*  ,
4f3.(4I*).5d.6s.(3D),6K*,15/2,16,,10669.00,,,1.13:,  87         :     7   (4I*)(3D) 4K*  ,
4f3.(4I*).5d.6s.(3D),6K*,17/2,18,,11764.29,,,,  90         :     4   (4I*)(3D) 4K*  ,
4f3.(4I*).5d.6s.(3D),6K*,19/2,20,,12945.56,,,,  94         :     3   (4I*)(3D) 6L*  ,
4f2.(3H).5d2.(3F) (5K).6s,6K,17/2,18,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5K).6s,6K,19/2,20,,,,,,                                      ,
4f2.(3H).5d2.(3F) (5K).6s,6K,9/2,10,,8320.27,,,0.54,                                      ,
4f2.(3H).5d2.(3F) (5K).6s,6K,11/2,12,,8829.06,,,0.85,                                      ,
4f2.(3H).5d2.(3F) (5K).6s,6K,13/2,14,,9464.43,,,1.01,                                      ,
4f2.(3H).5d2.(3F) (5K).6s,6K,15/2,16,,10466.73,,,1.14:,                                      ,
,,11/2,12,,9483.50,,,,                                      ,
4f2.(3F).5d.6s2,4H,13/2,14,,,,,,                                      ,
4f2.(3F).5d.6s2,4H,11/2,12,,,,,,                                      ,
4f2.(3F).5d.6s2,4H,7/2,8,,9918.17,,,0.62,                                      ,
