Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d8.(3P).4s.4p.(3P*),5P*,1,3,,40768.996,,,,  94                                                   ,
3d8.(1D).4s.4p.(3P*),3F*,4,9,,42585.212,,,1.346,  53             :    40  3d8.(3P).4s.4p.(3P*) 5D*     ,
3d8.(1D).4s.4p.(3P*),3F*,3,7,,42767.853,,,1.218,  61             :    17  3d8.(1D).4s.4p.(3P*) 5D*     ,
3d8.(1D).4s.4p.(3P*),3F*,2,5,,42954.203,,,0.840,  71             :    14  3d8.(1D).4s.4p.(3P*) 3D*     ,
3d9.(2D<5/2>).5s,2[5/2],3,7,,42605.945,,,1.34, 100                                                   ,
3d9.(2D<5/2>).5s,2[5/2],2,5,,42790.010,,,1.085,  99                                                   ,
3d8.(1D).4s.4p.(3P*),3D*,3,7,,42620.994,,,,  39             :    32  3d8.(3F).4s.4p.(1P*) 3D*     ,
3d8.(1D).4s.4p.(3P*),3D*,2,5,,42653.661,,,,  58             :    15  3d8.(1D).4s.4p.(3P*) 3F*     ,
3d8.(1D).4s.4p.(3P*),3D*,1,3,,42656.289,,,1.320,  76                                                   ,
3d8.(3F).4s.4p.(1P*),3G*,5,11,,43089.578,,,1.226,  96                                                   ,
3d8.(3F).4s.4p.(1P*),3G*,4,9,,44314.904,,,1.182,  47             :    27  3d8.(3P).4s.4p.(3P*) 5D*     ,
3d8.(3F).4s.4p.(1P*),3G*,3,7,,44565.037,,,1.044,  68             :    19  3d8.(3F).4s.4p.(1P*) 3F*     ,
3d8.(3F).4s.4p.(1P*),3F*,4,9,,43258.726,,,1.247,  54             :    31  3d8.(3F).4s.4p.(1P*) 3G*     ,
3d8.(3F).4s.4p.(1P*),3F*,3,7,,45281.089,,,0.779,  58             :    26  3d8.(3F).4s.4p.(1P*) 3G*     ,
3d8.(3F).4s.4p.(1P*),3F*,2,5,,45418.804,,,0.677,  82                                                   ,
3d8.(1D).4s.4p.(3P*),3P*,1,3,,43463.981,,,1.390,  62             :    19  3d8.(3P).4s.4p.(3P*) 3P*     ,
3d8.(1D).4s.4p.(3P*),3P*,2,5,,43933.408,,,1.476,  45             :    32  3d8.(3P).4s.4p.(3P*) 5D*     ,
3d8.(3F).4s.4p.(1P*),3D*,3,7,,43654.903,,,1.155,  21             :    25  3d8.(3P).4s.4p.(3P*) 5D*     ,
3d8.(3F).4s.4p.(1P*),3D*,2,5,,44475.099,,,0.566,  58             :    12  3d8.(1D).4s.4p.(3P*) 3D*     ,
3d8.(3F).4s.4p.(1P*),3D*,1,3,,45122.383,,,,  68             :    10  3d8.(3P).4s.4p.(3P*) 3D*     ,
3d8.(3F).4s.4p.(1P*),*,3,7,,43654.974,,,1.243,  35  3D*        :    34  3d8.(3P).4s.4p.(3P*) 5D*     ,
3d8.(3P).4s.4p.(3P*),5D*,2,5,,44093.773,,,,  53             :    31  3d8.(1D).4s.4p.(3P*) 3P*     ,
3d8.(3P).4s.4p.(3P*),5D*,1,3,,44132.250,,,,  88                                                   ,
3d8.(3P).4s.4p.(3P*),5D*,3,7,,44206.099,,,,  48             :    12  3d8.(3F).4s.4p.(1P*) 3D*     ,
3d8.(3P).4s.4p.(3P*),5D*,0,1,,44414.955,,,,  90                                                   ,
3d8.(3P).4s.4p.(3P*),5D*,4,9,,44540.525,,,,  23             :    29  3d8.(1D).4s.4p.(3P*) 3F*     ,
3d9.(2D<3/2>).5s,2[3/2],1,3,,44112.173,,,1.09, 100                                                   ,
3d9.(2D<3/2>).5s,2[3/2],2,5,,44262.599,,,,  99                                                   ,
3d8.(3P).4s.4p.(3P*),*,4,9,,44336.10,,,,  38  5D*        :    37  3d8.(1D).4s.4p.(3P*) 3F*     ,
3d8.(3P).4s.4p.(3P*),3P*,2,5,,46522.866,,,,  57             :    28  3d8.(3P).4s.4p.(3P*) 5S*     ,
3d8.(3P).4s.4p.(3P*),3P*,1,3,,47208.149,,,,  58             :    18  3d8.(1D).4s.4p.(3P*) 3P*     ,
3d8.(3P).4s.4p.(3P*),3P*,0,1,,47686.587,,,,  66             :    28  3d8.(1D).4s.4p.(3P*) 3P*     ,
3d8.(3P).4s.4p.(3P*),3D*,3,7,,47030.102,,,1.331,  92                                                   ,
3d8.(3P).4s.4p.(3P*),3D*,2,5,,47139.337,,,1.209,  45             :    37  3d8.(3P).4s.4p.(3P*) 5S*     ,
3d8.(3P).4s.4p.(3P*),3D*,1,3,,47424.785,,,0.726,  79                                                   ,
3d8.(3P).4s.4p.(3P*),5S*,2,5,,47328.784,,,,  31             :    39  3d8.(3P).4s.4p.(3P*) 3D*     ,
3d8.4s.(4F).5s,5F,5,11,,48466.490,,,1.40, 100                                                   ,
3d8.4s.(4F).5s,5F,4,9,,49085.982,,,1.33,  80             :    11  3d8.4s.(4F).5s       3F      ,
3d8.4s.(4F).5s,5F,3,7,,49777.569,,,1.23,  88             :     8  3d8.4s.(4F).5s       3F      ,
3d8.4s.(4F).5s,5F,2,5,,50346.427,,,0.95,  94                                                   ,
3d8.4s.(4F).5s,5F,1,3,,50744.552,,,0.20,  93                                                   ,
3d9.(2D).5p,1F*,3,7,,48672.049,,,,  54             :    42  3d9.(2D).5p          3F*     ,
3d9.(2D).5p,3F*,4,9,,48715.586,,,,  94                                                   ,
3d9.(2D).5p,3F*,2,5,,50039.191,,,,  72             :    14  3d8.(1G).4s.4p.(3P*) 3F*     ,
3d9.(2D).5p,3F*,3,7,,50142.991,,,,  39             :    35  3d9.(2D).5p          1F*     ,
3d9.(2D).5p,3P*,2,5,,48735.290,,,,  82             :     7  3d8.(3P).4s.4p.(3P*) 3P*     ,
3d9.(2D).5p,3P*,1,3,,49196.181,,,,  44             :    25  3d8.(3P).4s.4p.(3P*) 1P*     ,
3d9.(2D).5p,3P*,0,1,,50138.458,,,,  94             :     5  3d8.(3P).4s.4p.(3P*) 3P*     ,
3d8.(3P).4s.4p.(3P*),1P*,1,3,,48818.097,,,,  61             :    23  3d9.(2D).5p          1P*     ,
3d9.(2D<5/2>).4d,2[1/2],1,3,,48953.316,,,1.92,  99                                                   ,
3d9.(2D<5/2>).4d,2[1/2],0,1,,49610.345,,,,  74             :    22  3d9.(2D<5/2>).4d     2[1/2]  ,
3d9.(2D).5p,1D*,2,5,,49032.926,,,,  47             :    20  3d8.(3P).4s.4p.(3P*) 1D*     ,
3d9.(2D<5/2>).4d,2[9/2],5,11,,49158.480,,,1.20, 100                                                   ,
3d9.(2D<5/2>).4d,2[9/2],4,9,,49174.770,,,1.05,  99                                                   ,
3d9.(2D<5/2>).4d,2[3/2],2,5,,49159.030,,,1.43,  98                                                   ,
