Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""6d.7s2""","=""2D""","=""3/2""","=""""","=""0.000""","=""""","=""0.000""","=""  94                                     ""","=""L7344"""
"=""6d.7s2""","=""2D""","=""5/2""","=""""","=""2231.432""","=""""","=""0.008""","=""  93                                     ""","=""L22136,L7344"""
"=""7s2.7p""","=""2P*""","=""1/2""","=""""","=""7477.36""","=""""","=""0.04""","=""  90         :     6  6d.7s.(3D).7p 2P*  ""","=""L21471"""
"=""7s2.7p""","=""2P*""","=""3/2""","=""""","=""12276.591""","=""""","=""0.020""","=""  84         :    10  6d.7s.(3D).7p 2P*  ""","=""L21471"""
"=""6d2.(3F).7s""","=""4F""","=""3/2""","=""""","=""9217.288""","=""""","=""0.013""","=""  93         :     5  6d2.(1D).7s   2D   ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""5/2""","=""""","=""9863.589""","=""""","=""0.012""","=""  91                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""7/2""","=""""","=""10906.027""","=""""","=""0.014""","=""  98                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""9/2""","=""""","=""12078.067""","=""""","=""0.019""","=""  93         :     6  6d2.(1G).7s   2G   ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4F*""","=""3/2""","=""""","=""13712.902""","=""""","=""0.012""","=""  84         :    10  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344,L21471"""
"=""6d.7s.(3D).7p""","=""4F*""","=""5/2""","=""""","=""14940.714""","=""""","=""0.009""","=""  73         :    11  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4F*""","=""7/2""","=""""","=""17683.869""","=""""","=""0.015""","=""  87         :     8  6d.7s.(3D).7p 4D*  ""","=""L22136,L7344"""
"=""6d2.(3P).7s""","=""4P""","=""5/2""","=""""","=""13877.59""","=""""","=""0.04""","=""  59         :    28  6d2.(1D).7s   2D   ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""4D*""","=""1/2""","=""""","=""17199.710""","=""""","=""0.018""","=""  87         :     6  6d.7s.(3D).7p 2P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4D*""","=""3/2""","=""""","=""17736.265""","=""""","=""0.013""","=""  76         :    12  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4D*""","=""5/2""","=""""","=""19121.32""","=""?""","=""0.05""","=""  64         :    14  6d.7s.(3D).7p 4F*  ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""4D*""","=""7/2""","=""""","=""21232.31""","=""?""","=""0.05""","=""  81         :     9  6d.7s.(3D).7p 4F*  ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""2D*""","=""5/2""","=""""","=""17950.709""","=""""","=""0.013""","=""  28         :    29  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2D*""","=""3/2""","=""""","=""19012.450""","=""""","=""0.020""","=""  44         :    23  6d.7s.(1D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2F*""","=""5/2""","=""""","=""21195.870""","=""""","=""0.018""","=""  41         :    29  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2F*""","=""7/2""","=""""","=""24632.95""","=""""","=""0.03""","=""  66         :    19  6d2.(1D).7p   2F*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4P*""","=""5/2""","=""""","=""22801.11""","=""""","=""0.04""","=""  37         :    20  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344,L21172"""
"=""6d.7s.(3D).7p""","=""2F*""","=""5/2""","=""""","=""23898.867""","=""""","=""0.018""","=""  64         :    13  6d.7s.(1D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2F*""","=""7/2""","=""""","=""24969.294""","=""""","=""0.017""","=""  77         :     8  6d.7s.(3D).7p 4D*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2D*""","=""3/2""","=""""","=""23916.835""","=""""","=""0.023""","=""  31         :    29  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344"""
