Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4s2.4p4.(3P<2>).6f""","=""2[1]*""","=""1/2""","=""""","=""92232.69""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).6f""","=""2[1]*""","=""3/2""","=""""","=""92233.08""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(1D<2>).4d""","=""2[1]""","=""3/2""","=""""","=""92516.91""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[2]*""","=""5/2""","=""""","=""92584.19""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[2]*""","=""3/2""","=""""","=""92594.47""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[1]*""","=""1/2""","=""""","=""92608.84""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[1]*""","=""3/2""","=""""","=""92677.31""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[3]*""","=""7/2""","=""""","=""92620.21""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9p""","=""2[3]*""","=""5/2""","=""""","=""92626.84""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[1]""","=""1/2""","=""""","=""92650.45""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[1]""","=""3/2""","=""""","=""92774.91""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<1>).7p""","=""2[0]*""","=""1/2""","=""""","=""92728.53""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  2S*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[3]""","=""7/2""","=""""","=""92729.66""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[3]""","=""5/2""","=""""","=""92753.69""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[2]""","=""5/2""","=""""","=""92743.16""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[2]""","=""3/2""","=""""","=""92853.62""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<1>).7p""","=""2[2]*""","=""5/2""","=""""","=""92755.81""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  2D*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).7p""","=""2[2]*""","=""3/2""","=""""","=""92818.85""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  2D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[4]""","=""9/2""","=""""","=""92807.81""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[4]""","=""7/2""","=""""","=""92843.81""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8d""","=""2[0]""","=""1/2""","=""""","=""92824.33""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8d  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).7p""","=""2[1]*""","=""3/2""","=""""","=""92839.36""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  4S*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).7p""","=""2[1]*""","=""1/2""","=""""","=""92890.80""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[1]""","=""1/2""","=""""","=""92992.67""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[1]""","=""3/2""","=""""","=""93117.18""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10s""","=""2[2]""","=""5/2""","=""""","=""92995.81""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10s 4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10s""","=""2[2]""","=""3/2""","=""""","=""93039.29""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10s 4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[4]*""","=""9/2""","=""""","=""93026.10""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[4]*""","=""7/2""","=""""","=""93026.67""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[3]*""","=""7/2""","=""""","=""93028.44""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[3]*""","=""5/2""","=""""","=""93028.44""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[2]*""","=""3/2""","=""""","=""93034.99""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[2]*""","=""5/2""","=""""","=""93035.35""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[5]*""","=""11/2""","=""""","=""93036.08""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[5]*""","=""9/2""","=""""","=""93036.13""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[1]*""","=""1/2""","=""""","=""93042.39""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).7f""","=""2[1]*""","=""3/2""","=""""","=""93042.65""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(1D<2>).4d""","=""2[2]""","=""5/2""","=""""","=""93088.62""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2D   ""","=""L351"""
"=""4s2.4p4.(1D<2>).4d""","=""2[2]""","=""3/2""","=""""","=""93609.89""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[3]""","=""7/2""","=""""","=""93244.35""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2F   ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[3]""","=""5/2""","=""""","=""93342.44""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[1]""","=""1/2""","=""""","=""93282.58""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4D   ""","=""L351"""
