Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
6s2.6p2,"(1/2,1/2)",0,,0.000,,0.003,0,         or  :                   3P   ,L50
6s2.6p2,"(3/2,1/2)",1,,7819.2626,,0.0011,1.501,         or  :                   3P   ,L50
6s2.6p2,"(3/2,1/2)",2,,10650.3271,,0.0008,1.269,         or  :                   3P   ,L50
6s2.6p2,"(3/2,3/2)",2,,21457.7982,,0.0006,1.230,         or  :                   1D   ,L50
6s2.6p2,"(3/2,3/2)",0,,29466.8303,,0.0007,0,         or  :                   1S   ,L50
6s2.6p.7s,"(1/2,1/2)*",0,,34959.9084,,0.0005,0,         or  :                   3P*  ,L50
6s2.6p.7s,"(1/2,1/2)*",1,,35287.2244,,0.0004,1.349,         or  :                   3P*  ,L50
6s2.6p.7p,"(1/2,1/2)",1,,42918.6434,,0.0007,,         or  :                   3P   ,L50
6s2.6p.7p,"(1/2,1/2)",0,,44400.8898,,0.0016,0,         or  :                   3P   ,L50
6s2.6p.7p,"(1/2,3/2)",1,,44674.9859,,0.0007,,         or  :                   3D   ,L50
6s2.6p.7p,"(1/2,3/2)",2,,44809.3636,,0.0010,,         or  :                   3D   ,L50
6s2.6p.(2P*<1/2>).6d,2[5/2]*,2,,45443.1710,,0.0012,0.796,         or  :        6s2.6p.6d  3F*  ,L50
6s2.6p.(2P*<1/2>).6d,2[5/2]*,3,,46328.6668,,0.0014,1.116,         or  :        6s2.6p.6d  3F*  ,L50
6s2.6p.(2P*<1/2>).6d,2[3/2]*,2,,46060.8364,,0.0014,1.247,         or  :        6s2.6p.6d  3D*  ,L50
6s2.6p.(2P*<1/2>).6d,2[3/2]*,1,,46068.4385,,0.0013,0.864,         or  :        6s2.6p.6d  3D*  ,L50
6s2.6p.7s,"(3/2,1/2)*",2,,48188.6296,,0.0017,1.496,         or  :                   3P*  ,L50
6s2.6p.7s,"(3/2,1/2)*",1,,49439.6165,,0.0009,1.131,         or  :                   1P*  ,L50
6s2.6p.8s,"(1/2,1/2)*",1,,48686.9340,,0.0009,1.304,         or  :                   3P*  ,L50
6s2.6p.8s,"(1/2,1/2)*",0,,48726.262,,0.003,0,                                      ,L50
6s2.6p.8p,"(1/2,1/2)",1,,51320.5981,,0.0006,,         or  :                   3P   ,L50
6s2.6p.8p,"(1/2,1/2)",0,,51786.0614,,0.0007,0,         or  :                   3P   ,L50
6s2.6p.8p,"(1/2,3/2)",1,,51916.9408,,0.0006,,         or  :                   3D   ,L50
6s2.6p.8p,"(1/2,3/2)",2,,51944.1059,,0.0007,,         or  :                   3D   ,L50
