Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p6,1S,0,,0.0000,,0.04,L8826
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,2,,134041.8400,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1,,134459.2871,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,0,,134818.6405,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1,,135888.7173,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[1/2],1,,148257.7898,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[1/2],0,,150917.4307,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[5/2],3,,149657.0392,,0.0010,L8826
2s2.2p5.(2P*<3/2>).3p,2[5/2],2,,149824.2215,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[3/2],1,,150121.5922,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[3/2],2,,150315.8612,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[3/2],1,,150772.1118,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[3/2],2,,150858.5079,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[1/2],1,,151038.4524,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[1/2],0,,152970.7328,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,,158601.1152,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,,158795.9924,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,,159379.9935,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,,159534.6196,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0,,161509.6305,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,,161524.1739,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,4,,161590.3412,,0.0010,L8826
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,3,,161592.1200,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,,161607.2609,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,1,,161636.6175,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,,161699.6613,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,,161701.4486,,0.0010,L8826
2s2.2p5.(2P*<1/2>).3d,2[5/2]*,2,,162408.6535,,0.0010,L8826
2s2.2p5.(2P*<1/2>).3d,2[5/2]*,3,,162410.1736,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3d,2[3/2]*,2,,162419.9818,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3d,2[3/2]*,1,,162435.6780,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4p,2[1/2],1,,162517.8755,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[1/2],0,,163401.3061,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[5/2],3,,162830.7073,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[5/2],2,,162899.1169,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[3/2],1,,163012.6247,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[3/2],2,,163038.3544,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[3/2],1,,163657.2726,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[3/2],2,,163708.6029,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[1/2],1,,163707.7261,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[1/2],0,,164285.8872,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5s,2[3/2]*,2,,165828.1766,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5s,2[3/2]*,1,,165912.7861,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5s,2[1/2]*,0,,166606.3370,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5s,2[1/2]*,1,,166656.5114,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[1/2]*,0,,166967.6752,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[1/2]*,1,,166975.3424,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[7/2]*,4,,167000.0317,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[7/2]*,3,,167001.1327,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[3/2]*,2,,167011.5643,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,167026.9923,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[5/2]*,2,,167047.6082,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4d,2[5/2]*,3,,167048.6694,,0.0010,L8826
