Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.000""","=""""","=""0""","=""2.00""","=""                                                    ""","=""L10559"""
"=""3d9.4s2""","=""2D""","=""5/2""","=""""","=""11202.618""","=""""","=""0.022""","=""1.23""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s2""","=""2D""","=""3/2""","=""""","=""13245.443""","=""""","=""0.019""","=""0.80""","=""                                                    ""","=""L10559c152"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""30535.324""","=""""","=""0.019""","=""0.68""","=""  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ""","=""L10559c152"""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""30783.697""","=""""","=""0.018""","=""1.33""","=""  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""""","=""39018.69""","=""""","=""0.03""","=""1.600""","=""  98                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""40114.01""","=""""","=""0.03""","=""1.75""","=""  96                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""40943.78""","=""""","=""0.03""","=""2.62""","=""  97                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""","=""""","=""40909.16""","=""""","=""0.05""","=""1.3340""","="" 100                                                ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""","=""""","=""41153.47""","=""""","=""0.03""","=""1.26""","=""  89             :     8  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""","=""""","=""41562.93""","=""""","=""0.03""","=""""","=""  81             :    16  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""","=""""","=""42302.58""","=""""","=""0.03""","=""0.44""","=""  95                                                ""","=""L10559c152"""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""43137.229""","=""""","=""0.017""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""7/2""","=""""","=""43514.01""","=""""","=""0.03""","=""1.45""","=""  87             :    11  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""","=""""","=""44406.32""","=""""","=""0.03""","=""1.43""","=""  43             :    33  3d9.(2D).4s.4p.(3P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""","=""""","=""44544.16""","=""""","=""0.03""","=""1.09""","=""  65             :    26  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""","=""""","=""44915.68""","=""""","=""0.04""","=""0.00""","=""  64             :    33  3d9.(2D).4s.4p.(3P*) 2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""5/2""","=""""","=""43726.24""","=""""","=""0.03""","=""""","=""  51             :    38  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""","=""""","=""44963.26""","=""""","=""0.03""","=""1.22""","=""  78             :    11  3d9.(2D).4s.4p.(3P*) 4F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""","=""""","=""45820.94""","=""""","=""0.03""","=""""","=""  65             :    33  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""","=""""","=""45879.32""","=""""","=""0.03""","=""1.22""","=""  55             :    35  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""*""","=""3/2""","=""""","=""46172.89""","=""""","=""0.03""","=""0.69""","=""  40  2P*        :    36  3d9.(2D).4s.4p.(3P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(3P*)""","=""2D*""","=""5/2""","=""""","=""46598.35""","=""""","=""0.03""","=""1.22""","=""  83             :    15  3d9.(2D).4s.4p.(3P*) 4D*  ""","=""L10559c152"""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""49382.945""","=""""","=""0.017""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""49383.264""","=""""","=""0.007""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""49935.195""","=""""","=""0.013""","=""0.82""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""49942.051""","=""""","=""0.013""","=""1.19""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.6s""","=""2S""","=""1/2""","=""""","=""52848.751""","=""""","=""0.003""","=""1.99""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.6p""","=""2P*""","=""3/2""","=""""","=""54784.065""","=""""","=""0.005""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6p""","=""2P*""","=""1/2""","=""""","=""55027.762""","=""""","=""0.007""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5d""","=""2D""","=""3/2""","=""""","=""55387.667""","=""""","=""0.005""","=""0.77""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.5d""","=""2D""","=""5/2""","=""""","=""55391.297""","=""""","=""0.005""","=""1.22""","=""                                                    ""","=""L18473c152,L10559"""
"=""3d10.4f""","=""2F*""","=""7/2""","=""""","=""55426.3543""","=""""","=""0.013""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.4f""","=""2F*""","=""5/2""","=""""","=""55429.3199""","=""""","=""0.013""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""7/2""","=""""","=""56029.89""","=""""","=""0.07""","=""""","=""  94             :     2  3d8.(3F).4s2.4p      2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""","=""""","=""58119.37""","=""""","=""0.07""","=""""","=""  80             :    14  3d9.(2D).4s.4p.(1P*) 2D*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""","=""""","=""56343.62""","=""""","=""0.05""","=""""","=""  92             :     4  3d8.(3P).4s2.4p      2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""","=""""","=""58364.66""","=""""","=""0.07""","=""""","=""  96             :     4  3d8.(3P).4s2.4p      2P*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""","=""""","=""56651.41""","=""""","=""0.04""","=""1.17""","=""  75             :    15  3d9.(2D).4s.4p.(1P*) 2F*  ""","=""L10559c152"""
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""","=""""","=""58690.91""","=""""","=""0.05""","=""""","=""  87             :     6  3d8.(3F).4s2.4p      2D*  ""","=""L10559c152"""
"=""3d10.7s""","=""2S""","=""1/2""","=""""","=""56671.377""","=""""","=""0.013""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.7p""","=""2P*""","=""1/2""","=""""","=""57419.24""","=""""","=""0.05""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.7p""","=""2P*""","=""3/2""","=""""","=""57948.568""","=""""","=""0.017""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6d""","=""2D""","=""3/2""","=""""","=""57892.995""","=""""","=""0.008""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.6d""","=""2D""","=""5/2""","=""""","=""57895.024""","=""""","=""0.010""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5f""","=""2F*""","=""5/2""","=""""","=""57905.117""","=""""","=""0.006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5f""","=""2F*""","=""7/2""","=""""","=""57912.353""","=""""","=""0.006""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5g""","=""2G""","=""7/2""","=""""","=""57924.129""","=""""","=""0.013""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.5g""","=""2G""","=""9/2""","=""""","=""57924.129""","=""""","=""0.013""","=""""","=""                                                    ""","=""L18473c152"""
"=""3d10.8s""","=""2S""","=""1/2""","=""""","=""58568.90""","=""""","=""0.11""","=""""","=""                                                    ""","=""L10559c152"""
