Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p2.(3P<1>).7p,"(1,3/2)*",1/2,,64209.430,,0.005,,  81             :     4  5p2.8p  ,L10083
5p2.(3P).6d,,1/2,,63825.759,,0.005,,  29  4D         :    21  5p2.5d  ,L10083
5p2.(3P<0>).8p,"(0,1/2)*",1/2,,64098.356,,0.005,,  90             :     5  5p2.7p  ,L10083
5p2.(3P).7d,,5/2,,64213.708,,0.005,,                                  ,L10083
5p2.(3P).6d,2P,3/2,,64220.607,,0.005,,  44             :    16  5p2.7s  ,L10083
5p2.(3P).6d,2P,1/2,,66353.859,,0.005,,  51             :    21  5p2.5d  ,L10083
5p2.(3P<0>).8p,"(0,3/2)*",3/2,,64273.857,,0.005,,  85             :     7  5p2.7p  ,L10083
5p2.(3P).7d,,3/2,,64432.395,,0.005,,                                  ,L10083
5p2.(1D<2>).6p,"(2,1/2)*",5/2,,64512.389,,0.005,,  77             :     9  5p2.7p  ,L10083
5p2.(1D<2>).6p,"(2,1/2)*",3/2,,64984.586,,0.005,,  57             :    16  5p2.7p  ,L10083
5p2.(3P).6d,2F,5/2,,64513.705,,0.005,,  49             :    22  5p2.5d  ,L10083
5p2.(3P).6d,2F,7/2,,68079.696,,0.005,,  46             :    35  5p2.5d  ,L10083
5p2.(3P).6d,4D,1/2,,64769.175,,0.005,,  43             :    16  5p2.5d  ,L10083
5p2.(3P).6d,4D,3/2?,,65143.60,,0.05,,  51             :    22  5p2.5d  ,L10083
5p2.(3P).6d,4D,7/2,,66743.125,,0.005,,  50             :     7  5p2.5d  ,L10083
5p2.(1D).5d,2D,3/2,,64843.421,,0.005,,  52             :    21  5p2.6d  ,L10083
5p2.(1D).5d,2D,5/2,,65243.250,,0.005,,  23             :    39  5p2.6d  ,L10083
5p2.(1D<2>).6p,"(2,3/2)*",5/2,,64878.958,,0.005,,  75             :     6  5p2.7p  ,L10083
5p2.(1D<2>).6p,"(2,3/2)*",7/2,,64957.231,,0.005,,  86                              ,L10083
5p2.(1D<2>).6p,"(2,3/2)*",1/2,,65479.617,,0.005,,  75             :    18  5p2.7p  ,L10083
5p2.(1D<2>).6p,"(2,3/2)*",3/2,,65959.0,,0.5,,  35             :    36  5p2.7p  ,L6684
5p2.(3P<0>).5f,2[3]*,5/2,,64973.822,,0.005,,  94                              ,L10083
5p2.(3P<0>).5f,2[3]*,7/2,,64978.245,,0.005,,  94                              ,L10083
5p2.(3P).9s,4P,1/2,,65257.562,,0.005,,                                  ,L10083
5p2.(3P).9s,4P,3/2?,,68347.7,,0.3,,                                  ,"L6231,L4893"
5p2.(3P).9s,4P,5/2,,70880.7,,0.4,,                                  ,"L6231,L4893"
5p2.(1D).5d,2F,7/2,,65403.798,,0.005,,  50             :    13  5p2.6d  ,L10083
5p2.(3P<1>).4f,2[3]*,5/2,,65460.149,,0.005,,  99                              ,L10083
5p2.(3P<1>).4f,2[3]*,7/2,,65467.216,,0.005,,  99                              ,L10083
5p2.(3P<1>).4f,2[4]*,9/2,,65527.792,,0.02,,  99                              ,L10083
5p2.(3P<1>).4f,2[4]*,7/2,,65531.410,,0.005,,  99                              ,L10083
5p2.(3P<1>).4f,2[2]*,3/2,,65565.236,,0.005,,  99                              ,L10083
